카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년02월_계_총인구수,"51,963","20,994","1,950","2,869","2,223","3,437","2,453","4,529","2,308","2,560","2,219","2,679","2,602","1,140"
2021년02월_계_연령구간인구수,"51,963","20,994","1,950","2,869","2,223","3,437","2,453","4,529","2,308","2,560","2,219","2,679","2,602","1,140"
2021년02월_계_0~9세,"2,531","1,646",42,58,73,102,47,210,70,48,64,73,74,24
2021년02월_계_10~19세,"3,705","2,355",64,116,119,148,83,282,108,93,87,107,114,29
2021년02월_계_20~29세,"4,218","2,168",115,192,161,202,128,372,153,144,164,183,175,61
2021년02월_계_30~39세,"3,856","2,043",111,158,169,225,112,353,135,115,121,125,122,67
2021년02월_계_40~49세,"6,113","3,115",152,261,225,383,188,532,218,224,179,257,268,111
2021년02월_계_50~59세,"8,798","3,461",308,482,398,507,444,865,402,416,409,441,459,206
2021년02월_계_60~69세,"9,684","2,995",454,567,451,761,561,915,580,530,450,575,570,275
2021년02월_계_70~79세,"7,707","1,993",373,572,344,714,493,626,413,525,411,529,497,217
2021년02월_계_80~89세,"4,688","1,094",281,403,239,354,350,330,198,407,298,339,272,123
2021년02월_계_90~99세,625,117,46,59,42,39,44,42,28,56,33,48,46,25
2021년02월_계_100세 이상,38,7,4,1,2,2,3,2,3,2,3,2,5,2
2021년02월_남_총인구수,"25,838","10,289",948,"1,456","1,150","1,734","1,220","2,325","1,181","1,259","1,089","1,311","1,272",604
2021년02월_남_연령구간인구수,"25,838","10,289",948,"1,456","1,150","1,734","1,220","2,325","1,181","1,259","1,089","1,311","1,272",604
2021년02월_남_0~9세,"1,328",853,23,38,26,44,24,117,40,24,38,42,46,13
2021년02월_남_10~19세,"1,945","1,221",40,63,63,75,48,143,64,50,45,56,62,15
2021년02월_남_20~29세,"2,383","1,196",66,115,85,108,72,211,105,82,85,106,116,36
2021년02월_남_30~39세,"2,089","1,007",67,91,106,145,67,204,74,79,74,68,65,42
2021년02월_남_40~49세,"3,430","1,559",97,182,140,246,128,330,127,141,104,145,158,73
2021년02월_남_50~59세,"4,802","1,720",178,285,234,303,243,470,225,247,242,269,250,136
2021년02월_남_60~69세,"4,856","1,483",220,299,259,362,295,456,276,267,242,286,268,143
2021년02월_남_70~79세,"3,356",862,157,240,150,314,219,289,201,216,174,210,225,99
2021년02월_남_80~89세,"1,505",364,92,128,76,125,112,96,65,136,81,115,74,41
2021년02월_남_90~99세,138,23,8,15,10,12,11,9,4,17,3,14,7,5
2021년02월_남_100세 이상,6,1,0,0,1,0,1,0,0,0,1,0,1,1
2021년02월_여_총인구수,"26,125","10,705","1,002","1,413","1,073","1,703","1,233","2,204","1,127","1,301","1,130","1,368","1,330",536
2021년02월_여_연령구간인구수,"26,125","10,705","1,002","1,413","1,073","1,703","1,233","2,204","1,127","1,301","1,130","1,368","1,330",536
2021년02월_여_0~9세,"1,203",793,19,20,47,58,23,93,30,24,26,31,28,11
2021년02월_여_10~19세,"1,760","1,134",24,53,56,73,35,139,44,43,42,51,52,14
2021년02월_여_20~29세,"1,835",972,49,77,76,94,56,161,48,62,79,77,59,25
2021년02월_여_30~39세,"1,767","1,036",44,67,63,80,45,149,61,36,47,57,57,25
2021년02월_여_40~49세,"2,683","1,556",55,79,85,137,60,202,91,83,75,112,110,38
2021년02월_여_50~59세,"3,996","1,741",130,197,164,204,201,395,177,169,167,172,209,70
2021년02월_여_60~69세,"4,828","1,512",234,268,192,399,266,459,304,263,208,289,302,132
2021년02월_여_70~79세,"4,351","1,131",216,332,194,400,274,337,212,309,237,319,272,118
2021년02월_여_80~89세,"3,183",730,189,275,163,229,238,234,133,271,217,224,198,82
2021년02월_여_90~99세,487,94,38,44,32,27,33,33,24,39,30,34,39,20
2021년02월_여_100세 이상,32,6,4,1,1,2,2,2,3,2,2,2,4,1
