,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년02월_계_총인구수,"230,113","17,647","9,925","7,650","19,748","16,136","14,173","10,237","12,282","20,939","28,096","8,696","6,937","9,257","21,107","13,149","14,134"
2021년02월_계_연령구간인구수,"230,113","17,647","9,925","7,650","19,748","16,136","14,173","10,237","12,282","20,939","28,096","8,696","6,937","9,257","21,107","13,149","14,134"
2021년02월_계_0~9세,"13,335",931,349,186,662,"1,311",924,761,744,"1,140","2,723",554,229,428,"1,154",791,448
2021년02월_계_10~19세,"15,488","1,262",525,258,"1,158",868,"1,246",750,822,"1,008","2,905",514,275,484,"1,165","1,464",784
2021년02월_계_20~29세,"33,441","2,588","1,532",948,"4,185","2,481","1,876","1,584","1,842","3,329","2,955",937,"1,060","1,394","2,758","1,783","2,189"
2021년02월_계_30~39세,"38,137","2,795","1,739","1,051","3,128","3,703","2,078","1,879","2,006","4,225","3,614","1,449","1,159","1,667","3,990","1,499","2,155"
2021년02월_계_40~49세,"35,623","2,784","1,374","1,097","2,736","2,613","2,298","1,574","1,845","2,908","4,915","1,256",888,"1,415","3,392","2,456","2,072"
2021년02월_계_50~59세,"37,072","2,873","1,438","1,641","3,128","2,225","2,350","1,577","1,986","3,479","4,577","1,416","1,122","1,300","3,268","2,212","2,480"
2021년02월_계_60~69세,"29,118","2,284","1,469","1,380","2,397","1,637","1,731","1,062","1,558","2,581","3,064","1,348","1,089","1,209","2,806","1,449","2,054"
2021년02월_계_70~79세,"17,185","1,364",929,688,"1,521",843,"1,038",643,985,"1,408","1,833",769,647,832,"1,636",796,"1,253"
2021년02월_계_80~89세,"8,718",607,457,298,695,366,548,335,409,678,"1,234",373,365,430,739,607,577
2021년02월_계_90~99세,"1,623",126,91,70,105,70,73,59,72,139,242,66,79,84,162,86,99
2021년02월_계_100세 이상,373,33,22,33,33,19,11,13,13,44,34,14,24,14,37,6,23
2021년02월_남_총인구수,"110,646","8,544","4,776","4,657","9,278","7,748","6,667","4,849","5,855","10,054","13,145","4,086","3,313","4,261","10,150","6,289","6,974"
2021년02월_남_연령구간인구수,"110,646","8,544","4,776","4,657","9,278","7,748","6,667","4,849","5,855","10,054","13,145","4,086","3,313","4,261","10,150","6,289","6,974"
2021년02월_남_0~9세,"6,857",475,181,90,323,653,467,393,371,590,"1,433",288,110,220,614,404,245
2021년02월_남_10~19세,"7,871",694,269,149,626,457,499,392,427,529,"1,461",259,140,221,578,727,443
2021년02월_남_20~29세,"15,873","1,293",805,444,"1,666","1,046",874,736,886,"1,457","1,443",463,565,697,"1,404",884,"1,210"
2021년02월_남_30~39세,"19,007","1,445",893,564,"1,692","1,793","1,046",911,979,"2,021","1,607",733,633,822,"1,954",715,"1,199"
2021년02월_남_40~49세,"17,543","1,342",706,697,"1,381","1,342","1,138",751,916,"1,427","2,215",628,437,681,"1,683","1,162","1,037"
2021년02월_남_50~59세,"18,309","1,407",668,"1,148","1,542","1,105","1,155",754,978,"1,717","2,206",655,525,575,"1,569","1,103","1,202"
2021년02월_남_60~69세,"13,895","1,054",657,974,"1,121",797,820,491,707,"1,309","1,460",598,491,509,"1,297",720,890
2021년02월_남_70~79세,"7,407",596,416,394,618,374,459,271,411,653,752,327,244,349,702,321,520
2021년02월_남_80~89세,"3,267",199,153,153,273,154,187,123,159,284,466,121,141,160,287,218,189
2021년02월_남_90~99세,504,32,22,28,26,22,19,24,16,52,93,12,20,24,51,32,31
2021년02월_남_100세 이상,113,7,6,16,10,5,3,3,5,15,9,2,7,3,11,3,8
2021년02월_여_총인구수,"119,467","9,103","5,149","2,993","10,470","8,388","7,506","5,388","6,427","10,885","14,951","4,610","3,624","4,996","10,957","6,860","7,160"
2021년02월_여_연령구간인구수,"119,467","9,103","5,149","2,993","10,470","8,388","7,506","5,388","6,427","10,885","14,951","4,610","3,624","4,996","10,957","6,860","7,160"
2021년02월_여_0~9세,"6,478",456,168,96,339,658,457,368,373,550,"1,290",266,119,208,540,387,203
2021년02월_여_10~19세,"7,617",568,256,109,532,411,747,358,395,479,"1,444",255,135,263,587,737,341
2021년02월_여_20~29세,"17,568","1,295",727,504,"2,519","1,435","1,002",848,956,"1,872","1,512",474,495,697,"1,354",899,979
2021년02월_여_30~39세,"19,130","1,350",846,487,"1,436","1,910","1,032",968,"1,027","2,204","2,007",716,526,845,"2,036",784,956
2021년02월_여_40~49세,"18,080","1,442",668,400,"1,355","1,271","1,160",823,929,"1,481","2,700",628,451,734,"1,709","1,294","1,035"
2021년02월_여_50~59세,"18,763","1,466",770,493,"1,586","1,120","1,195",823,"1,008","1,762","2,371",761,597,725,"1,699","1,109","1,278"
2021년02월_여_60~69세,"15,223","1,230",812,406,"1,276",840,911,571,851,"1,272","1,604",750,598,700,"1,509",729,"1,164"
2021년02월_여_70~79세,"9,778",768,513,294,903,469,579,372,574,755,"1,081",442,403,483,934,475,733
2021년02월_여_80~89세,"5,451",408,304,145,422,212,361,212,250,394,768,252,224,270,452,389,388
2021년02월_여_90~99세,"1,119",94,69,42,79,48,54,35,56,87,149,54,59,60,111,54,68
2021년02월_여_100세 이상,260,26,16,17,23,14,8,10,8,29,25,12,17,11,26,3,15
