,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년10월_계_총인구수,"285,507","14,812","26,402","20,483","39,139","42,922","15,539","30,548","12,452","12,542","11,210","12,845","27,395","19,218"
2020년10월_계_연령구간인구수,"285,507","14,812","26,402","20,483","39,139","42,922","15,539","30,548","12,452","12,542","11,210","12,845","27,395","19,218"
2020년10월_계_0~9세,"19,235",758,"1,477",974,"2,188","4,139",993,"2,647",487,467,467,965,"2,363","1,310"
2020년10월_계_10~19세,"23,634",714,"1,798","1,567","3,256","4,574","1,278","4,027",580,650,649,780,"2,414","1,347"
2020년10월_계_20~29세,"38,017","2,082","3,723","3,010","4,587","6,011","2,291","4,022","1,562","1,937","1,455","1,531","3,321","2,485"
2020년10월_계_30~39세,"33,992","1,986","3,348","2,058","3,908","5,561","1,709","3,213","1,554","1,548","1,205","2,048","3,426","2,428"
2020년10월_계_40~49세,"40,744","1,782","3,499","2,937","5,348","6,663","2,021","5,529","1,525","1,558","1,491","1,588","4,258","2,545"
2020년10월_계_50~59세,"54,535","2,965","5,343","4,349","7,643","8,455","3,249","5,485","2,279","2,384","1,994","2,244","4,671","3,474"
2020년10월_계_60~69세,"44,920","2,681","4,437","3,472","6,555","5,105","2,331","3,138","2,482","2,354","2,148","2,241","4,364","3,612"
2020년10월_계_70~79세,"21,188","1,292","2,001","1,561","3,604","1,740","1,114","1,709","1,329","1,143","1,273","1,064","1,881","1,477"
2020년10월_계_80~89세,"8,106",483,683,492,"1,843",589,441,695,580,434,473,332,600,461
2020년10월_계_90~99세,"1,035",64,76,59,204,80,74,82,70,62,49,47,90,78
2020년10월_계_100세 이상,101,5,17,4,3,5,38,1,4,5,6,5,7,1
2020년10월_남_총인구수,"141,291","7,493","13,575","10,524","18,982","21,131","7,578","14,958","6,135","6,247","5,479","6,309","13,479","9,401"
2020년10월_남_연령구간인구수,"141,291","7,493","13,575","10,524","18,982","21,131","7,578","14,958","6,135","6,247","5,479","6,309","13,479","9,401"
2020년10월_남_0~9세,"9,934",362,809,516,"1,121","2,144",512,"1,359",244,239,250,480,"1,227",671
2020년10월_남_10~19세,"12,287",343,957,844,"1,662","2,349",652,"2,105",315,345,335,400,"1,256",724
2020년10월_남_20~29세,"20,510","1,097","2,030","1,704","2,494","3,243","1,240","2,153",856,"1,002",780,789,"1,752","1,370"
2020년10월_남_30~39세,"17,594","1,111","1,827","1,132","2,064","2,639",898,"1,498",846,885,664,"1,070","1,718","1,242"
2020년10월_남_40~49세,"20,175",998,"1,829","1,522","2,597","3,086",959,"2,516",797,833,804,831,"2,132","1,271"
2020년10월_남_50~59세,"26,026","1,463","2,670","2,151","3,626","3,962","1,480","2,750","1,110","1,154",961,"1,026","2,185","1,488"
2020년10월_남_60~69세,"22,136","1,336","2,229","1,741","3,345","2,640","1,167","1,516","1,169","1,121",986,"1,081","2,081","1,724"
2020년10월_남_70~79세,"9,685",607,961,725,"1,468",871,502,755,592,514,546,508,908,728
2020년10월_남_80~89세,"2,719",161,251,180,557,187,134,288,189,141,141,120,200,170
2020년10월_남_90~99세,203,14,10,9,48,10,21,18,17,12,10,3,18,13
2020년10월_남_100세 이상,22,1,2,0,0,0,13,0,0,1,2,1,2,0
2020년10월_여_총인구수,"144,216","7,319","12,827","9,959","20,157","21,791","7,961","15,590","6,317","6,295","5,731","6,536","13,916","9,817"
2020년10월_여_연령구간인구수,"144,216","7,319","12,827","9,959","20,157","21,791","7,961","15,590","6,317","6,295","5,731","6,536","13,916","9,817"
2020년10월_여_0~9세,"9,301",396,668,458,"1,067","1,995",481,"1,288",243,228,217,485,"1,136",639
2020년10월_여_10~19세,"11,347",371,841,723,"1,594","2,225",626,"1,922",265,305,314,380,"1,158",623
2020년10월_여_20~29세,"17,507",985,"1,693","1,306","2,093","2,768","1,051","1,869",706,935,675,742,"1,569","1,115"
2020년10월_여_30~39세,"16,398",875,"1,521",926,"1,844","2,922",811,"1,715",708,663,541,978,"1,708","1,186"
2020년10월_여_40~49세,"20,569",784,"1,670","1,415","2,751","3,577","1,062","3,013",728,725,687,757,"2,126","1,274"
2020년10월_여_50~59세,"28,509","1,502","2,673","2,198","4,017","4,493","1,769","2,735","1,169","1,230","1,033","1,218","2,486","1,986"
2020년10월_여_60~69세,"22,784","1,345","2,208","1,731","3,210","2,465","1,164","1,622","1,313","1,233","1,162","1,160","2,283","1,888"
2020년10월_여_70~79세,"11,503",685,"1,040",836,"2,136",869,612,954,737,629,727,556,973,749
2020년10월_여_80~89세,"5,387",322,432,312,"1,286",402,307,407,391,293,332,212,400,291
2020년10월_여_90~99세,832,50,66,50,156,70,53,64,53,50,39,44,72,65
2020년10월_여_100세 이상,79,4,15,4,3,5,25,1,4,4,4,4,5,1
