카테고리,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년03월_계_총인구수,"48,174","21,410","3,412","4,373","2,298","1,949","2,401","3,287",980,"2,859","1,877","3,328"
2020년03월_계_연령구간인구수,"48,174","21,410","3,412","4,373","2,298","1,949","2,401","3,287",980,"2,859","1,877","3,328"
2020년03월_계_0~9세,"2,514","1,623",121,187,44,57,73,116,32,101,49,111
2020년03월_계_10~19세,"3,589","2,262",169,263,122,96,110,192,53,101,84,137
2020년03월_계_20~29세,"4,606","2,787",241,324,163,124,116,329,49,165,101,207
2020년03월_계_30~39세,"3,546","2,105",191,284,114,89,116,190,42,138,82,195
2020년03월_계_40~49세,"5,597","3,120",346,456,211,156,203,297,73,219,197,319
2020년03월_계_50~59세,"8,642","3,591",686,826,457,364,418,643,184,536,332,605
2020년03월_계_60~69세,"8,795","2,893",741,927,498,454,573,660,220,667,403,759
2020년03월_계_70~79세,"6,446","1,942",507,682,391,320,458,497,188,512,360,589
2020년03월_계_80~89세,"3,854",951,352,376,254,261,280,329,121,354,222,354
2020년03월_계_90~99세,552,122,54,43,43,27,53,33,17,62,47,51
2020년03월_계_100세 이상,33,14,4,5,1,1,1,1,1,4,0,1
2020년03월_남_총인구수,"23,895","10,577","1,722","2,194","1,129",950,"1,160","1,658",481,"1,440",936,"1,648"
2020년03월_남_연령구간인구수,"23,895","10,577","1,722","2,194","1,129",950,"1,160","1,658",481,"1,440",936,"1,648"
2020년03월_남_0~9세,"1,299",834,66,102,21,29,32,48,17,63,30,57
2020년03월_남_10~19세,"1,834","1,127",86,135,61,53,68,110,31,50,41,72
2020년03월_남_20~29세,"2,569","1,507",135,194,100,68,64,203,23,100,61,114
2020년03월_남_30~39세,"1,869","1,067",111,146,61,55,62,114,27,78,51,97
2020년03월_남_40~49세,"3,071","1,599",192,265,128,97,123,166,44,144,117,196
2020년03월_남_50~59세,"4,534","1,832",373,442,238,192,225,348,103,290,177,314
2020년03월_남_60~69세,"4,444","1,438",390,479,247,234,285,330,115,328,209,389
2020년03월_남_70~79세,"2,818",824,240,290,170,125,200,216,79,243,161,270
2020년03월_남_80~89세,"1,319",323,116,132,93,91,90,115,37,126,74,122
2020년03월_남_90~99세,129,21,12,8,9,6,11,8,5,17,15,17
2020년03월_남_100세 이상,9,5,1,1,1,0,0,0,0,1,0,0
2020년03월_여_총인구수,"24,279","10,833","1,690","2,179","1,169",999,"1,241","1,629",499,"1,419",941,"1,680"
2020년03월_여_연령구간인구수,"24,279","10,833","1,690","2,179","1,169",999,"1,241","1,629",499,"1,419",941,"1,680"
2020년03월_여_0~9세,"1,215",789,55,85,23,28,41,68,15,38,19,54
2020년03월_여_10~19세,"1,755","1,135",83,128,61,43,42,82,22,51,43,65
2020년03월_여_20~29세,"2,037","1,280",106,130,63,56,52,126,26,65,40,93
2020년03월_여_30~39세,"1,677","1,038",80,138,53,34,54,76,15,60,31,98
2020년03월_여_40~49세,"2,526","1,521",154,191,83,59,80,131,29,75,80,123
2020년03월_여_50~59세,"4,108","1,759",313,384,219,172,193,295,81,246,155,291
2020년03월_여_60~69세,"4,351","1,455",351,448,251,220,288,330,105,339,194,370
2020년03월_여_70~79세,"3,628","1,118",267,392,221,195,258,281,109,269,199,319
2020년03월_여_80~89세,"2,535",628,236,244,161,170,190,214,84,228,148,232
2020년03월_여_90~99세,423,101,42,35,34,21,42,25,12,45,32,34
2020년03월_여_100세 이상,24,9,3,4,0,1,1,1,1,3,0,1
