카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2020년09월_계_총인구수,"24,855","8,440","2,731","2,906","4,295","6,483"
2020년09월_계_연령구간인구수,"24,855","8,440","2,731","2,906","4,295","6,483"
2020년09월_계_0~9세,"1,838",723,59,136,314,606
2020년09월_계_10~19세,"1,818",769,148,281,161,459
2020년09월_계_20~29세,"3,874","1,193",276,271,"1,118","1,016"
2020년09월_계_30~39세,"2,874","1,035",143,252,542,902
2020년09월_계_40~49세,"2,757","1,160",214,382,338,663
2020년09월_계_50~59세,"3,969","1,335",597,543,530,964
2020년09월_계_60~69세,"3,714","1,045",608,485,603,973
2020년09월_계_70~79세,"2,449",746,410,326,400,567
2020년09월_계_80~89세,"1,329",379,228,198,244,280
2020년09월_계_90~99세,218,52,47,27,43,49
2020년09월_계_100세 이상,15,3,1,5,2,4
2020년09월_남_총인구수,"13,458","4,403","1,458","1,512","2,601","3,484"
2020년09월_남_연령구간인구수,"13,458","4,403","1,458","1,512","2,601","3,484"
2020년09월_남_0~9세,922,362,32,74,147,307
2020년09월_남_10~19세,921,404,70,142,89,216
2020년09월_남_20~29세,"2,691",726,210,149,903,703
2020년09월_남_30~39세,"1,679",583,84,126,371,515
2020년09월_남_40~49세,"1,499",600,104,221,204,370
2020년09월_남_50~59세,"2,143",724,337,305,282,495
2020년09월_남_60~69세,"1,989",553,336,265,333,502
2020년09월_남_70~79세,"1,076",303,189,154,173,257
2020년09월_남_80~89세,475,135,83,67,89,101
2020년09월_남_90~99세,56,12,12,7,9,16
2020년09월_남_100세 이상,7,1,1,2,1,2
2020년09월_여_총인구수,"11,397","4,037","1,273","1,394","1,694","2,999"
2020년09월_여_연령구간인구수,"11,397","4,037","1,273","1,394","1,694","2,999"
2020년09월_여_0~9세,916,361,27,62,167,299
2020년09월_여_10~19세,897,365,78,139,72,243
2020년09월_여_20~29세,"1,183",467,66,122,215,313
2020년09월_여_30~39세,"1,195",452,59,126,171,387
2020년09월_여_40~49세,"1,258",560,110,161,134,293
2020년09월_여_50~59세,"1,826",611,260,238,248,469
2020년09월_여_60~69세,"1,725",492,272,220,270,471
2020년09월_여_70~79세,"1,373",443,221,172,227,310
2020년09월_여_80~89세,854,244,145,131,155,179
2020년09월_여_90~99세,162,40,35,20,34,33
2020년09월_여_100세 이상,8,2,0,3,1,2
