카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년03월_계_총인구수,"27,064","7,155","6,449","2,428","3,828","7,204",0
2020년03월_계_연령구간인구수,"27,064","7,155","6,449","2,428","3,828","7,204",0
2020년03월_계_0~9세,"1,306",572,236,58,166,274,0
2020년03월_계_10~19세,"1,724",608,383,114,195,424,0
2020년03월_계_20~29세,"3,035",945,560,179,425,926,0
2020년03월_계_30~39세,"2,234",810,385,154,322,563,0
2020년03월_계_40~49세,"3,163",946,682,215,412,908,0
2020년03월_계_50~59세,"4,976","1,181","1,187",469,728,"1,411",0
2020년03월_계_60~69세,"4,961",997,"1,341",562,712,"1,349",0
2020년03월_계_70~79세,"3,569",676,"1,041",433,542,877,0
2020년03월_계_80~89세,"1,742",339,514,212,283,394,0
2020년03월_계_90~99세,338,76,116,32,40,74,0
2020년03월_계_100세 이상,16,5,4,0,3,4,0
2020년03월_남_총인구수,"13,981","3,736","3,216","1,195","1,995","3,839",0
2020년03월_남_연령구간인구수,"13,981","3,736","3,216","1,195","1,995","3,839",0
2020년03월_남_0~9세,670,296,118,27,81,148,0
2020년03월_남_10~19세,926,340,197,68,98,223,0
2020년03월_남_20~29세,"1,921",581,366,99,266,609,0
2020년03월_남_30~39세,"1,276",428,219,94,200,335,0
2020년03월_남_40~49세,"1,778",521,372,135,241,509,0
2020년03월_남_50~59세,"2,667",616,644,244,388,775,0
2020년03월_남_60~69세,"2,540",509,664,284,374,709,0
2020년03월_남_70~79세,"1,546",318,443,177,237,371,0
2020년03월_남_80~89세,575,105,165,61,100,144,0
2020년03월_남_90~99세,79,21,28,6,10,14,0
2020년03월_남_100세 이상,3,1,0,0,0,2,0
2020년03월_여_총인구수,"13,083","3,419","3,233","1,233","1,833","3,365",0
2020년03월_여_연령구간인구수,"13,083","3,419","3,233","1,233","1,833","3,365",0
2020년03월_여_0~9세,636,276,118,31,85,126,0
2020년03월_여_10~19세,798,268,186,46,97,201,0
2020년03월_여_20~29세,"1,114",364,194,80,159,317,0
2020년03월_여_30~39세,958,382,166,60,122,228,0
2020년03월_여_40~49세,"1,385",425,310,80,171,399,0
2020년03월_여_50~59세,"2,309",565,543,225,340,636,0
2020년03월_여_60~69세,"2,421",488,677,278,338,640,0
2020년03월_여_70~79세,"2,023",358,598,256,305,506,0
2020년03월_여_80~89세,"1,167",234,349,151,183,250,0
2020년03월_여_90~99세,259,55,88,26,30,60,0
2020년03월_여_100세 이상,13,4,4,0,3,2,0
