,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2021년06월_계_총인구수,"230,168","23,343","43,059","18,878","24,329","15,384","33,052","21,415","10,875","20,468","19,365"
2021년06월_계_연령구간인구수,"230,168","23,343","43,059","18,878","24,329","15,384","33,052","21,415","10,875","20,468","19,365"
2021년06월_계_0~9세,"12,028",669,"3,227",830,956,638,"1,727","1,515",521,"1,041",904
2021년06월_계_10~19세,"14,295",674,"2,313","1,157","1,327",957,"2,240","2,076",678,"1,478","1,395"
2021년06월_계_20~29세,"37,184","6,706","7,549","2,847","3,928","2,252","4,889","2,412","1,394","2,676","2,531"
2021년06월_계_30~39세,"35,651","5,594","8,731","2,503","3,570","2,006","4,728","2,380","1,397","2,532","2,210"
2021년06월_계_40~49세,"32,099","2,723","6,310","2,544","3,149","2,010","4,771","3,449","1,484","2,859","2,800"
2021년06월_계_50~59세,"39,505","2,933","6,279","3,742","4,644","3,168","5,794","3,672","1,964","3,821","3,488"
2021년06월_계_60~69세,"33,986","2,425","5,029","3,117","3,988","2,551","4,987","3,324","1,964","3,489","3,112"
2021년06월_계_70~79세,"17,877","1,168","2,576","1,543","1,922","1,335","2,728","1,769","1,052","1,826","1,958"
2021년06월_계_80~89세,"6,635",395,932,522,727,419,"1,030",711,382,662,855
2021년06월_계_90~99세,862,53,105,70,114,46,153,103,38,81,99
2021년06월_계_100세 이상,46,3,8,3,4,2,5,4,1,3,13
2021년06월_남_총인구수,"116,491","12,757","22,157","9,573","12,212","7,764","16,458","10,326","5,412","10,161","9,671"
2021년06월_남_연령구간인구수,"116,491","12,757","22,157","9,573","12,212","7,764","16,458","10,326","5,412","10,161","9,671"
2021년06월_남_0~9세,"6,220",321,"1,683",434,517,333,889,772,268,528,475
2021년06월_남_10~19세,"7,201",323,"1,128",625,648,480,"1,196","1,019",335,746,701
2021년06월_남_20~29세,"18,586","3,123","3,726","1,483","1,927","1,142","2,463","1,235",750,"1,385","1,352"
2021년06월_남_30~39세,"19,707","3,459","4,845","1,342","1,994","1,103","2,510","1,163",746,"1,344","1,201"
2021년06월_남_40~49세,"16,950","1,722","3,476","1,306","1,646","1,006","2,443","1,692",763,"1,435","1,461"
2021년06월_남_50~59세,"19,895","1,720","3,182","1,894","2,301","1,614","2,843","1,745",956,"1,852","1,788"
2021년06월_남_60~69세,"16,663","1,316","2,535","1,525","1,932","1,262","2,398","1,585",917,"1,708","1,485"
2021년06월_남_70~79세,"8,410",589,"1,147",748,935,635,"1,268",829,522,873,864
2021년06월_남_80~89세,"2,638",173,404,196,286,177,400,269,150,263,320
2021년06월_남_90~99세,208,10,29,20,25,12,45,16,5,25,21
2021년06월_남_100세 이상,13,1,2,0,1,0,3,1,0,2,3
2021년06월_여_총인구수,"113,677","10,586","20,902","9,305","12,117","7,620","16,594","11,089","5,463","10,307","9,694"
2021년06월_여_연령구간인구수,"113,677","10,586","20,902","9,305","12,117","7,620","16,594","11,089","5,463","10,307","9,694"
2021년06월_여_0~9세,"5,808",348,"1,544",396,439,305,838,743,253,513,429
2021년06월_여_10~19세,"7,094",351,"1,185",532,679,477,"1,044","1,057",343,732,694
2021년06월_여_20~29세,"18,598","3,583","3,823","1,364","2,001","1,110","2,426","1,177",644,"1,291","1,179"
2021년06월_여_30~39세,"15,944","2,135","3,886","1,161","1,576",903,"2,218","1,217",651,"1,188","1,009"
2021년06월_여_40~49세,"15,149","1,001","2,834","1,238","1,503","1,004","2,328","1,757",721,"1,424","1,339"
2021년06월_여_50~59세,"19,610","1,213","3,097","1,848","2,343","1,554","2,951","1,927","1,008","1,969","1,700"
2021년06월_여_60~69세,"17,323","1,109","2,494","1,592","2,056","1,289","2,589","1,739","1,047","1,781","1,627"
2021년06월_여_70~79세,"9,467",579,"1,429",795,987,700,"1,460",940,530,953,"1,094"
2021년06월_여_80~89세,"3,997",222,528,326,441,242,630,442,232,399,535
2021년06월_여_90~99세,654,43,76,50,89,34,108,87,33,56,78
2021년06월_여_100세 이상,33,2,6,3,3,2,2,3,1,1,10
