카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2021년04월_계_총인구수,"31,653","8,266","3,358","1,828","3,803","1,898","3,147","2,835","2,799","3,719"
2021년04월_계_연령구간인구수,"31,653","8,266","3,358","1,828","3,803","1,898","3,147","2,835","2,799","3,719"
2021년04월_계_0~9세,"1,308",510,127,63,130,48,96,102,90,142
2021년04월_계_10~19세,"2,078",760,184,65,217,86,269,132,132,233
2021년04월_계_20~29세,"2,422",748,180,116,264,133,250,195,244,292
2021년04월_계_30~39세,"2,003",672,165,110,215,97,185,176,176,207
2021년04월_계_40~49세,"3,394","1,114",349,169,364,166,276,255,291,410
2021년04월_계_50~59세,"5,357","1,343",555,280,645,343,574,473,518,626
2021년04월_계_60~69세,"6,050","1,301",662,433,787,385,567,647,573,695
2021년04월_계_70~79세,"5,037","1,025",659,311,633,336,512,469,433,659
2021년04월_계_80~89세,"3,487",687,430,242,474,264,363,338,294,395
2021년04월_계_90~99세,504,104,46,38,72,39,53,48,47,57
2021년04월_계_100세 이상,13,2,1,1,2,1,2,0,1,3
2021년04월_남_총인구수,"15,934","4,081","1,679",910,"1,905",924,"1,627","1,410","1,439","1,959"
2021년04월_남_연령구간인구수,"15,934","4,081","1,679",910,"1,905",924,"1,627","1,410","1,439","1,959"
2021년04월_남_0~9세,687,257,55,36,76,18,53,56,49,87
2021년04월_남_10~19세,"1,103",415,92,30,109,47,154,63,65,128
2021년04월_남_20~29세,"1,448",414,110,63,170,90,157,119,144,181
2021년04월_남_30~39세,"1,077",332,91,65,115,56,112,96,92,118
2021년04월_남_40~49세,"2,020",603,235,116,228,97,152,148,165,276
2021년04월_남_50~59세,"3,142",748,328,151,373,202,356,279,316,389
2021년04월_남_60~69세,"3,174",649,345,223,421,205,288,360,313,370
2021년04월_남_70~79세,"2,124",433,268,142,262,128,229,193,188,281
2021년04월_남_80~89세,"1,045",210,145,74,136,72,116,89,92,111
2021년04월_남_90~99세,114,20,10,10,15,9,10,7,15,18
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"15,719","4,185","1,679",918,"1,898",974,"1,520","1,425","1,360","1,760"
2021년04월_여_연령구간인구수,"15,719","4,185","1,679",918,"1,898",974,"1,520","1,425","1,360","1,760"
2021년04월_여_0~9세,621,253,72,27,54,30,43,46,41,55
2021년04월_여_10~19세,975,345,92,35,108,39,115,69,67,105
2021년04월_여_20~29세,974,334,70,53,94,43,93,76,100,111
2021년04월_여_30~39세,926,340,74,45,100,41,73,80,84,89
2021년04월_여_40~49세,"1,374",511,114,53,136,69,124,107,126,134
2021년04월_여_50~59세,"2,215",595,227,129,272,141,218,194,202,237
2021년04월_여_60~69세,"2,876",652,317,210,366,180,279,287,260,325
2021년04월_여_70~79세,"2,913",592,391,169,371,208,283,276,245,378
2021년04월_여_80~89세,"2,442",477,285,168,338,192,247,249,202,284
2021년04월_여_90~99세,390,84,36,28,57,30,43,41,32,39
2021년04월_여_100세 이상,13,2,1,1,2,1,2,0,1,3
