,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2020년04월_계_총인구수,"35,054","13,910","4,237","2,383","1,172","2,567","1,845","2,855","1,888","1,684",670,"1,843"
2020년04월_계_연령구간인구수,"35,054","13,910","4,237","2,383","1,172","2,567","1,845","2,855","1,888","1,684",670,"1,843"
2020년04월_계_0~9세,"1,885","1,072",224,79,28,69,90,119,48,52,23,81
2020년04월_계_10~19세,"2,597","1,413",327,133,49,135,98,136,80,90,47,89
2020년04월_계_20~29세,"2,899","1,535",345,158,63,130,84,186,120,100,33,145
2020년04월_계_30~39세,"2,633","1,421",301,117,60,130,95,175,99,79,29,127
2020년04월_계_40~49세,"3,868","1,884",467,208,118,206,177,266,134,160,58,190
2020년04월_계_50~59세,"5,826","2,308",710,401,184,399,306,456,334,270,111,347
2020년04월_계_60~69세,"6,061","1,978",709,466,253,543,394,583,346,325,110,354
2020년04월_계_70~79세,"5,258","1,417",600,466,261,520,323,515,391,319,131,315
2020년04월_계_80~89세,"3,522",769,484,315,133,379,251,366,294,244,109,178
2020년04월_계_90~99세,474,102,68,38,22,50,25,50,40,43,19,17
2020년04월_계_100세 이상,31,11,2,2,1,6,2,3,2,2,0,0
2020년04월_남_총인구수,"16,886","6,677","2,056","1,151",549,"1,233",877,"1,398",913,788,329,915
2020년04월_남_연령구간인구수,"16,886","6,677","2,056","1,151",549,"1,233",877,"1,398",913,788,329,915
2020년04월_남_0~9세,954,563,110,42,7,33,31,63,27,22,13,43
2020년04월_남_10~19세,"1,328",697,180,60,28,70,55,66,42,54,28,48
2020년04월_남_20~29세,"1,608",812,215,90,36,79,45,114,69,52,19,77
2020년04월_남_30~39세,"1,337",695,160,65,33,72,41,90,58,44,10,69
2020년04월_남_40~49세,"2,150",940,251,122,75,126,116,157,93,105,42,123
2020년04월_남_50~59세,"3,119","1,168",381,228,96,228,169,255,194,142,69,189
2020년04월_남_60~69세,"3,008",949,380,237,117,279,184,301,167,166,56,172
2020년04월_남_70~79세,"2,218",607,228,199,120,218,149,217,162,117,62,139
2020년04월_남_80~89세,"1,069",226,136,102,35,114,83,123,94,77,25,54
2020년04월_남_90~99세,90,19,15,6,2,13,3,11,6,9,5,1
2020년04월_남_100세 이상,5,1,0,0,0,1,1,1,1,0,0,0
2020년04월_여_총인구수,"18,168","7,233","2,181","1,232",623,"1,334",968,"1,457",975,896,341,928
2020년04월_여_연령구간인구수,"18,168","7,233","2,181","1,232",623,"1,334",968,"1,457",975,896,341,928
2020년04월_여_0~9세,931,509,114,37,21,36,59,56,21,30,10,38
2020년04월_여_10~19세,"1,269",716,147,73,21,65,43,70,38,36,19,41
2020년04월_여_20~29세,"1,291",723,130,68,27,51,39,72,51,48,14,68
2020년04월_여_30~39세,"1,296",726,141,52,27,58,54,85,41,35,19,58
2020년04월_여_40~49세,"1,718",944,216,86,43,80,61,109,41,55,16,67
2020년04월_여_50~59세,"2,707","1,140",329,173,88,171,137,201,140,128,42,158
2020년04월_여_60~69세,"3,053","1,029",329,229,136,264,210,282,179,159,54,182
2020년04월_여_70~79세,"3,040",810,372,267,141,302,174,298,229,202,69,176
2020년04월_여_80~89세,"2,453",543,348,213,98,265,168,243,200,167,84,124
2020년04월_여_90~99세,384,83,53,32,20,37,22,39,34,34,14,16
2020년04월_여_100세 이상,26,10,2,2,1,5,1,2,1,2,0,0
