카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2021년12월_계_총인구수,"207,144","29,232","12,232","9,988","10,429","16,775","20,674","9,160","16,154","16,588","16,699","14,138","35,075"
2021년12월_계_연령구간인구수,"207,144","29,232","12,232","9,988","10,429","16,775","20,674","9,160","16,154","16,588","16,699","14,138","35,075"
2021년12월_계_0~9세,"13,970","2,351",981,459,638,"1,247","1,958",510,623,726,"1,012","1,169","2,296"
2021년12월_계_10~19세,"16,236","3,536","1,565",670,977,"1,265","1,257",495,891,643,979,"1,116","2,842"
2021년12월_계_20~29세,"24,911","3,224","1,271","1,082","1,183","1,774","2,314",923,"2,267","3,392","1,787","1,500","4,194"
2021년12월_계_30~39세,"26,303","2,857","1,164","1,068","1,047","2,198","3,463","1,228","1,909","3,160","2,235","1,781","4,193"
2021년12월_계_40~49세,"31,562","5,374","2,271","1,273","1,606","2,558","3,134","1,237","2,152","2,286","2,259","2,229","5,183"
2021년12월_계_50~59세,"33,531","4,788","1,982","1,615","1,786","2,689","3,079","1,449","2,647","2,393","2,570","2,342","6,191"
2021년12월_계_60~69세,"33,606","3,738","1,663","1,849","1,823","2,925","2,927","1,802","3,174","2,228","3,037","2,353","6,087"
2021년12월_계_70~79세,"18,582","2,297",924,"1,248",928,"1,508","1,728","1,077","1,737","1,235","1,887","1,205","2,808"
2021년12월_계_80~89세,"7,528",958,369,645,380,549,711,400,673,488,841,391,"1,123"
2021년12월_계_90~99세,889,103,41,79,60,59,100,38,79,35,90,52,153
2021년12월_계_100세 이상,26,6,1,0,1,3,3,1,2,2,2,0,5
2021년12월_남_총인구수,"99,761","14,122","5,817","4,734","5,120","8,186","9,944","4,440","7,798","7,924","8,051","6,875","16,750"
2021년12월_남_연령구간인구수,"99,761","14,122","5,817","4,734","5,120","8,186","9,944","4,440","7,798","7,924","8,051","6,875","16,750"
2021년12월_남_0~9세,"7,045","1,220",448,244,328,640,989,277,306,354,503,588,"1,148"
2021년12월_남_10~19세,"8,352","1,861",748,359,537,685,615,245,442,347,515,557,"1,441"
2021년12월_남_20~29세,"12,631","1,711",646,524,636,944,"1,191",484,"1,088","1,404",968,796,"2,239"
2021년12월_남_30~39세,"13,228","1,346",563,547,557,"1,108","1,686",657,"1,016","1,606","1,147",870,"2,125"
2021년12월_남_40~49세,"15,562","2,473","1,067",642,771,"1,276","1,571",622,"1,098","1,204","1,209","1,134","2,495"
2021년12월_남_50~59세,"15,861","2,354",989,757,837,"1,247","1,449",685,"1,297","1,173","1,212","1,123","2,738"
2021년12월_남_60~69세,"15,459","1,701",778,835,856,"1,355","1,329",821,"1,449","1,054","1,354","1,103","2,824"
2021년12월_남_70~79세,"8,479","1,012",426,555,445,693,818,490,805,566,808,555,"1,306"
2021년12월_남_80~89세,"2,938",418,143,248,140,218,268,150,274,211,317,140,411
2021년12월_남_90~99세,201,24,8,23,12,19,28,9,23,5,18,9,23
2021년12월_남_100세 이상,5,2,1,0,1,1,0,0,0,0,0,0,0
2021년12월_여_총인구수,"107,383","15,110","6,415","5,254","5,309","8,589","10,730","4,720","8,356","8,664","8,648","7,263","18,325"
2021년12월_여_연령구간인구수,"107,383","15,110","6,415","5,254","5,309","8,589","10,730","4,720","8,356","8,664","8,648","7,263","18,325"
2021년12월_여_0~9세,"6,925","1,131",533,215,310,607,969,233,317,372,509,581,"1,148"
2021년12월_여_10~19세,"7,884","1,675",817,311,440,580,642,250,449,296,464,559,"1,401"
2021년12월_여_20~29세,"12,280","1,513",625,558,547,830,"1,123",439,"1,179","1,988",819,704,"1,955"
2021년12월_여_30~39세,"13,075","1,511",601,521,490,"1,090","1,777",571,893,"1,554","1,088",911,"2,068"
2021년12월_여_40~49세,"16,000","2,901","1,204",631,835,"1,282","1,563",615,"1,054","1,082","1,050","1,095","2,688"
2021년12월_여_50~59세,"17,670","2,434",993,858,949,"1,442","1,630",764,"1,350","1,220","1,358","1,219","3,453"
2021년12월_여_60~69세,"18,147","2,037",885,"1,014",967,"1,570","1,598",981,"1,725","1,174","1,683","1,250","3,263"
2021년12월_여_70~79세,"10,103","1,285",498,693,483,815,910,587,932,669,"1,079",650,"1,502"
2021년12월_여_80~89세,"4,590",540,226,397,240,331,443,250,399,277,524,251,712
2021년12월_여_90~99세,688,79,33,56,48,40,72,29,56,30,72,43,130
2021년12월_여_100세 이상,21,4,0,0,0,2,3,1,2,2,2,0,5
