,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년12월_계_총인구수,"1,441,611","103,470","291,231","215,575","427,114","404,221"
2021년12월_계_연령구간인구수,"1,441,611","103,470","291,231","215,575","427,114","404,221"
2021년12월_계_0~9세,"114,065","7,294","20,175","17,062","31,994","37,540"
2021년12월_계_10~19세,"152,404","7,263","29,862","22,739","41,359","51,181"
2021년12월_계_20~29세,"206,472","14,859","44,576","27,524","61,142","58,371"
2021년12월_계_30~39세,"181,189","13,419","35,000","25,221","54,563","52,986"
2021년12월_계_40~49세,"236,167","14,115","46,978","34,277","65,746","75,051"
2021년12월_계_50~59세,"235,764","15,475","49,483","32,988","71,348","66,470"
2021년12월_계_60~69세,"172,124","15,134","35,833","29,154","56,057","35,946"
2021년12월_계_70~79세,"94,547","10,228","19,467","17,585","30,050","17,217"
2021년12월_계_80~89세,"42,636","4,976","8,610","7,860","12,971","8,219"
2021년12월_계_90~99세,"6,066",688,"1,208","1,137","1,827","1,206"
2021년12월_계_100세 이상,177,19,39,28,57,34
2021년12월_남_총인구수,"713,015","51,046","142,721","103,542","211,999","203,707"
2021년12월_남_연령구간인구수,"713,015","51,046","142,721","103,542","211,999","203,707"
2021년12월_남_0~9세,"58,516","3,775","10,423","8,699","16,375","19,244"
2021년12월_남_10~19세,"78,857","3,709","15,742","11,345","21,770","26,291"
2021년12월_남_20~29세,"107,781","7,640","22,837","14,094","32,157","31,053"
2021년12월_남_30~39세,"92,783","6,925","17,822","12,515","28,456","27,065"
2021년12월_남_40~49세,"117,383","7,394","22,778","16,861","33,096","37,254"
2021년12월_남_50~59세,"116,983","7,666","24,204","15,697","34,959","34,457"
2021년12월_남_60~69세,"82,025","7,112","16,843","13,319","26,636","18,115"
2021년12월_남_70~79세,"42,016","4,550","8,644","7,827","13,488","7,507"
2021년12월_남_80~89세,"15,333","2,074","3,151","2,935","4,671","2,502"
2021년12월_남_90~99세,"1,316",197,275,244,385,215
2021년12월_남_100세 이상,22,4,2,6,6,4
2021년12월_여_총인구수,"728,596","52,424","148,510","112,033","215,115","200,514"
2021년12월_여_연령구간인구수,"728,596","52,424","148,510","112,033","215,115","200,514"
2021년12월_여_0~9세,"55,549","3,519","9,752","8,363","15,619","18,296"
2021년12월_여_10~19세,"73,547","3,554","14,120","11,394","19,589","24,890"
2021년12월_여_20~29세,"98,691","7,219","21,739","13,430","28,985","27,318"
2021년12월_여_30~39세,"88,406","6,494","17,178","12,706","26,107","25,921"
2021년12월_여_40~49세,"118,784","6,721","24,200","17,416","32,650","37,797"
2021년12월_여_50~59세,"118,781","7,809","25,279","17,291","36,389","32,013"
2021년12월_여_60~69세,"90,099","8,022","18,990","15,835","29,421","17,831"
2021년12월_여_70~79세,"52,531","5,678","10,823","9,758","16,562","9,710"
2021년12월_여_80~89세,"27,303","2,902","5,459","4,925","8,300","5,717"
2021년12월_여_90~99세,"4,750",491,933,893,"1,442",991
2021년12월_여_100세 이상,155,15,37,22,51,30
