,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020년12월_계_총인구수,"34,857","6,840","1,413","1,065","2,035","2,884","1,836","4,156","5,603","5,732","1,187","2,106"
2020년12월_계_연령구간인구수,"34,857","6,840","1,413","1,065","2,035","2,884","1,836","4,156","5,603","5,732","1,187","2,106"
2020년12월_계_0~9세,"1,329",381,47,40,54,83,33,129,163,326,37,36
2020년12월_계_10~19세,"2,088",538,41,47,96,153,80,285,206,494,43,105
2020년12월_계_20~29세,"2,469",639,71,40,101,168,110,308,360,517,55,100
2020년12월_계_30~39세,"2,127",617,56,44,88,190,70,213,298,421,53,77
2020년12월_계_40~49세,"3,509",830,113,89,130,275,154,453,524,665,98,178
2020년12월_계_50~59세,"6,529","1,175",231,171,321,524,397,883,"1,160","1,110",178,379
2020년12월_계_60~69세,"7,280","1,161",334,210,442,584,423,916,"1,346","1,083",307,474
2020년12월_계_70~79세,"5,304",848,262,211,440,503,334,574,898,603,230,401
2020년12월_계_80~89세,"3,661",544,227,185,320,345,207,342,566,455,156,314
2020년12월_계_90~99세,543,103,31,27,41,57,27,51,79,57,30,40
2020년12월_계_100세 이상,18,4,0,1,2,2,1,2,3,1,0,2
2020년12월_남_총인구수,"17,110","3,306",692,511,979,"1,421",903,"2,054","2,818","2,817",566,"1,043"
2020년12월_남_연령구간인구수,"17,110","3,306",692,511,979,"1,421",903,"2,054","2,818","2,817",566,"1,043"
2020년12월_남_0~9세,697,193,25,19,37,46,22,62,101,161,16,15
2020년12월_남_10~19세,"1,119",279,27,30,58,82,47,157,110,246,20,63
2020년12월_남_20~29세,"1,402",368,39,17,59,91,64,164,210,301,33,56
2020년12월_남_30~39세,"1,142",309,34,23,53,107,44,108,169,223,31,41
2020년12월_남_40~49세,"1,953",428,67,57,89,161,84,239,311,343,61,113
2020년12월_남_50~59세,"3,523",617,139,103,186,289,207,477,610,555,110,230
2020년12월_남_60~69세,"3,765",574,176,112,222,304,221,446,712,587,161,250
2020년12월_남_70~79세,"2,322",364,116,86,174,213,140,266,428,259,93,183
2020년12월_남_80~89세,"1,076",154,60,60,94,113,69,120,157,132,36,81
2020년12월_남_90~99세,109,20,9,4,6,15,5,14,10,10,5,11
2020년12월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2020년12월_여_총인구수,"17,747","3,534",721,554,"1,056","1,463",933,"2,102","2,785","2,915",621,"1,063"
2020년12월_여_연령구간인구수,"17,747","3,534",721,554,"1,056","1,463",933,"2,102","2,785","2,915",621,"1,063"
2020년12월_여_0~9세,632,188,22,21,17,37,11,67,62,165,21,21
2020년12월_여_10~19세,969,259,14,17,38,71,33,128,96,248,23,42
2020년12월_여_20~29세,"1,067",271,32,23,42,77,46,144,150,216,22,44
2020년12월_여_30~39세,985,308,22,21,35,83,26,105,129,198,22,36
2020년12월_여_40~49세,"1,556",402,46,32,41,114,70,214,213,322,37,65
2020년12월_여_50~59세,"3,006",558,92,68,135,235,190,406,550,555,68,149
2020년12월_여_60~69세,"3,515",587,158,98,220,280,202,470,634,496,146,224
2020년12월_여_70~79세,"2,982",484,146,125,266,290,194,308,470,344,137,218
2020년12월_여_80~89세,"2,585",390,167,125,226,232,138,222,409,323,120,233
2020년12월_여_90~99세,434,83,22,23,35,42,22,37,69,47,25,29
2020년12월_여_100세 이상,16,4,0,1,1,2,1,1,3,1,0,2
