카테고리,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년08월_계_총인구수,"295,335",180,"3,275","9,772","13,699","14,221","10,570","21,256","10,999","6,287","34,740","13,169","26,016","13,868","20,148","12,399","31,800","50,794","2,142"
2021년08월_계_연령구간인구수,"295,335",180,"3,275","9,772","13,699","14,221","10,570","21,256","10,999","6,287","34,740","13,169","26,016","13,868","20,148","12,399","31,800","50,794","2,142"
2021년08월_계_0~9세,"22,356",0,109,337,650,812,773,"1,580",880,202,"3,047",990,"2,178",938,"1,389",925,"2,880","4,607",59
2021년08월_계_10~19세,"29,892",4,231,614,911,"1,229","1,104","1,829","1,374",407,"4,373","1,155","3,175","1,012","1,799","1,370","4,265","4,955",85
2021년08월_계_20~29세,"37,388",10,387,"1,237","1,781","1,783","1,263","2,722","1,485",914,"4,345","1,659","3,173","1,748","2,421","1,651","3,697","6,915",197
2021년08월_계_30~39세,"40,537",20,367,"1,178","1,818","1,702","1,212","3,161","1,472",817,"4,065","2,289","2,966","2,500","2,781","1,976","3,852","8,156",205
2021년08월_계_40~49세,"50,426",24,457,"1,339","1,916","2,287","1,779","3,318","1,982",875,"6,457","2,254","4,851","2,323","3,348","2,254","6,067","8,681",214
2021년08월_계_50~59세,"49,049",53,582,"1,847","2,384","2,415","1,781","3,490","1,831","1,333","5,764","2,137","4,428","2,173","3,309","2,067","4,912","8,123",420
2021년08월_계_60~69세,"39,182",48,630,"1,825","2,491","2,306","1,573","3,146","1,216","1,037","4,204","1,644","3,258","1,746","2,637","1,304","3,782","5,801",534
2021년08월_계_70~79세,"17,675",16,361,969,"1,253","1,149",759,"1,395",514,454,"1,627",766,"1,321",822,"1,464",545,"1,592","2,433",235
2021년08월_계_80~89세,"7,689",2,139,383,439,475,296,532,216,212,746,245,568,519,866,271,642,972,166
2021년08월_계_90~99세,"1,104",3,12,40,55,63,28,82,28,35,109,27,93,85,128,35,109,146,26
2021년08월_계_100세 이상,37,0,0,3,1,0,2,1,1,1,3,3,5,2,6,1,2,5,1
2021년08월_남_총인구수,"145,603",100,"1,683","4,733","6,724","7,018","5,208","10,507","5,434","3,317","17,038","6,609","12,948","6,531","9,515","6,022","15,493","25,505","1,218"
2021년08월_남_연령구간인구수,"145,603",100,"1,683","4,733","6,724","7,018","5,208","10,507","5,434","3,317","17,038","6,609","12,948","6,531","9,515","6,022","15,493","25,505","1,218"
2021년08월_남_0~9세,"11,386",0,64,165,323,429,364,770,445,97,"1,522",526,"1,115",463,748,490,"1,466","2,367",32
2021년08월_남_10~19세,"15,412",3,139,326,455,630,583,917,717,210,"2,281",597,"1,629",514,922,696,"2,196","2,542",55
2021년08월_남_20~29세,"19,439",5,209,647,912,980,655,"1,460",781,478,"2,241",889,"1,677",870,"1,203",838,"1,876","3,606",112
2021년08월_남_30~39세,"20,595",12,217,662,"1,000",866,605,"1,627",741,469,"1,928","1,154","1,472","1,313","1,401","1,032","1,838","4,136",122
2021년08월_남_40~49세,"24,891",14,248,686,966,"1,160",872,"1,686",920,466,"3,056","1,132","2,367","1,148","1,631","1,055","2,911","4,435",138
2021년08월_남_50~59세,"24,455",34,297,877,"1,181","1,174",892,"1,680",907,746,"2,877","1,092","2,259","1,022","1,606","1,000","2,429","4,131",251
2021년08월_남_60~69세,"18,615",22,294,807,"1,164","1,079",759,"1,492",600,557,"2,038",778,"1,605",723,"1,186",593,"1,808","2,806",304
2021년08월_남_70~79세,"7,988",8,163,419,561,522,358,665,239,207,790,358,629,324,542,222,744,"1,114",123
2021년08월_남_80~89세,"2,584",1,47,138,150,164,114,191,78,80,281,78,176,137,248,90,202,333,76
2021년08월_남_90~99세,230,1,5,4,12,14,6,19,6,7,23,3,19,17,27,6,23,33,5
2021년08월_남_100세 이상,8,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,2,0
2021년08월_여_총인구수,"149,732",80,"1,592","5,039","6,975","7,203","5,362","10,749","5,565","2,970","17,702","6,560","13,068","7,337","10,633","6,377","16,307","25,289",924
2021년08월_여_연령구간인구수,"149,732",80,"1,592","5,039","6,975","7,203","5,362","10,749","5,565","2,970","17,702","6,560","13,068","7,337","10,633","6,377","16,307","25,289",924
2021년08월_여_0~9세,"10,970",0,45,172,327,383,409,810,435,105,"1,525",464,"1,063",475,641,435,"1,414","2,240",27
2021년08월_여_10~19세,"14,480",1,92,288,456,599,521,912,657,197,"2,092",558,"1,546",498,877,674,"2,069","2,413",30
2021년08월_여_20~29세,"17,949",5,178,590,869,803,608,"1,262",704,436,"2,104",770,"1,496",878,"1,218",813,"1,821","3,309",85
2021년08월_여_30~39세,"19,942",8,150,516,818,836,607,"1,534",731,348,"2,137","1,135","1,494","1,187","1,380",944,"2,014","4,020",83
2021년08월_여_40~49세,"25,535",10,209,653,950,"1,127",907,"1,632","1,062",409,"3,401","1,122","2,484","1,175","1,717","1,199","3,156","4,246",76
2021년08월_여_50~59세,"24,594",19,285,970,"1,203","1,241",889,"1,810",924,587,"2,887","1,045","2,169","1,151","1,703","1,067","2,483","3,992",169
2021년08월_여_60~69세,"20,567",26,336,"1,018","1,327","1,227",814,"1,654",616,480,"2,166",866,"1,653","1,023","1,451",711,"1,974","2,995",230
2021년08월_여_70~79세,"9,687",8,198,550,692,627,401,730,275,247,837,408,692,498,922,323,848,"1,319",112
2021년08월_여_80~89세,"5,105",1,92,245,289,311,182,341,138,132,465,167,392,382,618,181,440,639,90
2021년08월_여_90~99세,874,2,7,36,43,49,22,63,22,28,86,24,74,68,101,29,86,113,21
2021년08월_여_100세 이상,29,0,0,1,1,0,2,1,1,1,2,1,5,2,5,1,2,3,1
