카테고리,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020년02월_계_총인구수,"70,018","24,838","3,028","3,358","2,924","6,311","2,901","2,049","3,079","2,229","2,496","5,009","3,936","4,154","3,706"
2020년02월_계_연령구간인구수,"70,018","24,838","3,028","3,358","2,924","6,311","2,901","2,049","3,079","2,229","2,496","5,009","3,936","4,154","3,706"
2020년02월_계_0~9세,"4,319","2,387",106,153,84,320,111,48,107,92,96,223,224,219,149
2020년02월_계_10~19세,"5,506","3,016",161,159,159,393,187,114,173,92,129,274,206,242,201
2020년02월_계_20~29세,"5,690","2,679",218,220,163,496,190,116,203,96,151,307,271,284,296
2020년02월_계_30~39세,"5,476","2,695",201,236,142,444,157,92,143,124,129,323,282,258,250
2020년02월_계_40~49세,"8,374","3,870",301,330,291,673,262,195,339,221,239,416,416,415,406
2020년02월_계_50~59세,"11,961","4,077",567,552,510,"1,138",483,331,533,339,446,931,672,744,638
2020년02월_계_60~69세,"11,967","3,079",609,668,621,"1,161",581,405,555,440,462,"1,104",714,822,746
2020년02월_계_70~79세,"10,122","1,998",512,640,571,"1,049",566,429,574,419,481,835,713,743,592
2020년02월_계_80~89세,"5,791",898,315,364,339,578,325,281,373,357,314,524,382,372,369
2020년02월_계_90~99세,772,137,36,35,41,57,38,37,74,44,44,67,54,53,55
2020년02월_계_100세 이상,40,2,2,1,3,2,1,1,5,5,5,5,2,2,4
2020년02월_남_총인구수,"34,542","12,238","1,514","1,675","1,460","3,102","1,393",969,"1,518","1,051","1,252","2,454","1,959","2,063","1,894"
2020년02월_남_연령구간인구수,"34,542","12,238","1,514","1,675","1,460","3,102","1,393",969,"1,518","1,051","1,252","2,454","1,959","2,063","1,894"
2020년02월_남_0~9세,"2,183","1,198",53,81,41,162,51,29,54,46,56,110,113,113,76
2020년02월_남_10~19세,"2,862","1,560",88,80,85,207,101,55,93,52,72,147,96,129,97
2020년02월_남_20~29세,"3,172","1,457",120,113,97,296,101,65,112,58,90,187,147,171,158
2020년02월_남_30~39세,"2,803","1,274",114,145,92,246,81,51,72,60,67,181,154,124,142
2020년02월_남_40~49세,"4,774","1,947",190,211,179,396,151,122,208,141,161,247,284,252,285
2020년02월_남_50~59세,"6,572","2,117",306,329,297,599,259,196,319,179,272,516,381,423,379
2020년02월_남_60~69세,"5,911","1,486",317,319,313,553,283,197,284,219,230,543,374,407,386
2020년02월_남_70~79세,"4,345",904,217,273,238,463,254,158,238,165,197,355,304,330,249
2020년02월_남_80~89세,"1,766",265,100,118,114,174,98,92,126,115,96,155,101,102,110
2020년02월_남_90~99세,152,30,9,6,4,6,14,4,12,15,10,13,5,12,12
2020년02월_남_100세 이상,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020년02월_여_총인구수,"35,476","12,600","1,514","1,683","1,464","3,209","1,508","1,080","1,561","1,178","1,244","2,555","1,977","2,091","1,812"
2020년02월_여_연령구간인구수,"35,476","12,600","1,514","1,683","1,464","3,209","1,508","1,080","1,561","1,178","1,244","2,555","1,977","2,091","1,812"
2020년02월_여_0~9세,"2,136","1,189",53,72,43,158,60,19,53,46,40,113,111,106,73
2020년02월_여_10~19세,"2,644","1,456",73,79,74,186,86,59,80,40,57,127,110,113,104
2020년02월_여_20~29세,"2,518","1,222",98,107,66,200,89,51,91,38,61,120,124,113,138
2020년02월_여_30~39세,"2,673","1,421",87,91,50,198,76,41,71,64,62,142,128,134,108
2020년02월_여_40~49세,"3,600","1,923",111,119,112,277,111,73,131,80,78,169,132,163,121
2020년02월_여_50~59세,"5,389","1,960",261,223,213,539,224,135,214,160,174,415,291,321,259
2020년02월_여_60~69세,"6,056","1,593",292,349,308,608,298,208,271,221,232,561,340,415,360
2020년02월_여_70~79세,"5,777","1,094",295,367,333,586,312,271,336,254,284,480,409,413,343
2020년02월_여_80~89세,"4,025",633,215,246,225,404,227,189,247,242,218,369,281,270,259
2020년02월_여_90~99세,620,107,27,29,37,51,24,33,62,29,34,54,49,41,43
2020년02월_여_100세 이상,38,2,2,1,3,2,1,1,5,4,4,5,2,2,4
