카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2020년01월_계_총인구수,"32,052","10,205","3,185","2,200","2,044","4,460","2,249","1,580","2,284","1,768","2,077"
2020년01월_계_연령구간인구수,"32,052","10,205","3,185","2,200","2,044","4,460","2,249","1,580","2,284","1,768","2,077"
2020년01월_계_0~9세,"1,501",660,110,56,78,188,59,38,58,34,220
2020년01월_계_10~19세,"1,954",916,145,110,80,250,98,82,111,43,119
2020년01월_계_20~29세,"2,170",939,162,153,115,265,110,74,120,101,131
2020년01월_계_30~39세,"2,117",843,171,144,106,260,101,66,113,66,247
2020년01월_계_40~49세,"3,397","1,342",259,187,169,416,219,144,213,148,300
2020년01월_계_50~59세,"5,985","1,822",628,406,361,872,453,346,464,288,345
2020년01월_계_60~69세,"6,504","1,596",737,493,446,944,556,394,525,444,369
2020년01월_계_70~79세,"4,825","1,194",557,355,371,716,381,249,401,380,221
2020년01월_계_80~89세,"3,106",750,366,261,281,453,238,164,244,238,111
2020년01월_계_90~99세,465,137,47,34,36,89,29,22,34,23,14
2020년01월_계_100세 이상,28,6,3,1,1,7,5,1,1,3,0
2020년01월_남_총인구수,"16,119","5,030","1,586","1,072","1,032","2,219","1,125",795,"1,204",913,"1,143"
2020년01월_남_연령구간인구수,"16,119","5,030","1,586","1,072","1,032","2,219","1,125",795,"1,204",913,"1,143"
2020년01월_남_0~9세,801,356,57,31,40,102,35,21,31,16,112
2020년01월_남_10~19세,"1,054",455,89,51,42,150,53,50,71,26,67
2020년01월_남_20~29세,"1,235",526,89,92,69,143,68,38,79,64,67
2020년01월_남_30~39세,"1,146",409,97,81,66,130,51,35,75,41,161
2020년01월_남_40~49세,"1,989",708,143,119,107,245,139,83,137,104,204
2020년01월_남_50~59세,"3,186",963,329,203,199,453,236,178,257,164,204
2020년01월_남_60~69세,"3,392",813,393,251,242,480,293,221,277,224,198
2020년01월_남_70~79세,"2,123",511,253,151,156,320,173,110,182,176,91
2020년01월_남_80~89세,"1,082",269,124,84,101,168,69,52,90,92,33
2020년01월_남_90~99세,106,19,12,8,10,25,8,7,5,6,6
2020년01월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2020년01월_여_총인구수,"15,933","5,175","1,599","1,128","1,012","2,241","1,124",785,"1,080",855,934
2020년01월_여_연령구간인구수,"15,933","5,175","1,599","1,128","1,012","2,241","1,124",785,"1,080",855,934
2020년01월_여_0~9세,700,304,53,25,38,86,24,17,27,18,108
2020년01월_여_10~19세,900,461,56,59,38,100,45,32,40,17,52
2020년01월_여_20~29세,935,413,73,61,46,122,42,36,41,37,64
2020년01월_여_30~39세,971,434,74,63,40,130,50,31,38,25,86
2020년01월_여_40~49세,"1,408",634,116,68,62,171,80,61,76,44,96
2020년01월_여_50~59세,"2,799",859,299,203,162,419,217,168,207,124,141
2020년01월_여_60~69세,"3,112",783,344,242,204,464,263,173,248,220,171
2020년01월_여_70~79세,"2,702",683,304,204,215,396,208,139,219,204,130
2020년01월_여_80~89세,"2,024",481,242,177,180,285,169,112,154,146,78
2020년01월_여_90~99세,359,118,35,26,26,64,21,15,29,17,8
2020년01월_여_100세 이상,23,5,3,0,1,4,5,1,1,3,0
