카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년09월_계_총인구수,"389,977","19,453","20,444","17,244","19,592","21,234","16,263","24,807","25,470","18,405","18,684","37,805","36,834","49,006","25,184","39,552"
2021년09월_계_연령구간인구수,"389,977","19,453","20,444","17,244","19,592","21,234","16,263","24,807","25,470","18,405","18,684","37,805","36,834","49,006","25,184","39,552"
2021년09월_계_0~9세,"37,651","1,292","1,400",859,881,"1,347",919,"1,174","2,292","1,314","1,473","3,038","4,788","6,754","3,723","6,397"
2021년09월_계_10~19세,"43,070","1,847","2,167","1,054","1,529","1,628","1,189","1,667","2,664","1,931","2,825","5,491","6,397","6,055","2,968","3,658"
2021년09월_계_20~29세,"51,219","2,577","2,857","2,409","3,015","3,245","2,184","3,371","3,324","2,554","2,502","6,481","3,615","6,198","2,794","4,093"
2021년09월_계_30~39세,"56,987","2,234","2,381","2,220","2,510","3,202","2,137","3,050","3,691","2,617","1,771","4,318","4,333","9,097","4,563","8,863"
2021년09월_계_40~49세,"68,900","3,055","3,248","2,348","3,132","3,024","2,136","3,496","4,176","2,825","3,291","6,582","8,529","9,998","5,269","7,791"
2021년09월_계_50~59세,"65,020","3,719","3,915","3,264","3,987","3,806","2,997","5,169","4,663","3,485","3,382","6,365","5,613","6,207","3,430","5,018"
2021년09월_계_60~69세,"42,335","2,642","2,647","3,144","2,794","2,996","2,642","4,098","3,168","2,350","2,088","3,681","2,380","3,185","1,734","2,786"
2021년09월_계_70~79세,"15,792","1,347","1,171","1,256","1,154","1,175","1,199","1,755",934,808,847,"1,185",757,"1,040",495,669
2021년09월_계_80~89세,"7,597",647,557,589,509,678,705,886,455,457,417,542,351,400,183,221
2021년09월_계_90~99세,"1,355",93,96,95,77,129,145,135,99,63,88,119,68,70,23,55
2021년09월_계_100세 이상,51,0,5,6,4,4,10,6,4,1,0,3,3,2,2,1
2021년09월_남_총인구수,"193,641","9,630","10,085","8,913","10,729","10,454","7,733","12,898","12,495","8,929","9,092","18,576","18,052","24,012","12,451","19,592"
2021년09월_남_연령구간인구수,"193,641","9,630","10,085","8,913","10,729","10,454","7,733","12,898","12,495","8,929","9,092","18,576","18,052","24,012","12,451","19,592"
2021년09월_남_0~9세,"19,195",667,691,460,447,709,479,582,"1,180",663,733,"1,557","2,430","3,408","1,902","3,287"
2021년09월_남_10~19세,"22,113",962,"1,127",544,843,821,607,859,"1,327","1,001","1,455","2,795","3,275","3,094","1,492","1,911"
2021년09월_남_20~29세,"26,579","1,396","1,525","1,360","1,700","1,730","1,102","1,930","1,715","1,304","1,311","3,257","1,848","3,005","1,399","1,997"
2021년09월_남_30~39세,"28,000","1,158","1,163","1,265","1,506","1,679","1,130","1,750","1,791","1,330",780,"2,065","1,802","4,236","2,103","4,242"
2021년09월_남_40~49세,"33,919","1,497","1,606","1,297","1,810","1,486","1,016","1,893","2,037","1,319","1,477","3,022","3,956","4,895","2,629","3,979"
2021년09월_남_50~59세,"32,022","1,809","1,868","1,563","2,170","1,789","1,350","2,644","2,154","1,605","1,672","3,173","2,986","3,123","1,726","2,390"
2021년09월_남_60~69세,"21,687","1,298","1,346","1,618","1,513","1,507","1,322","2,112","1,650","1,181","1,098","1,913","1,280","1,605",876,"1,368"
2021년09월_남_70~79세,"7,299",584,552,580,543,518,507,789,468,366,394,574,337,491,251,345
2021년09월_남_80~89세,"2,538",235,187,210,179,188,195,308,145,145,150,197,127,137,70,65
2021년09월_남_90~99세,279,24,19,16,18,26,22,28,28,15,22,23,11,16,3,8
