카테고리,충청남도 계룡시,충청남도 계룡시 두마면,충청남도 계룡시 엄사면,충청남도 계룡시 신도안면,충청남도 계룡시 금암동
2020년01월_계_총인구수,"42,735","6,821","18,548","8,750","8,616"
2020년01월_계_연령구간인구수,"42,735","6,821","18,548","8,750","8,616"
2020년01월_계_0~9세,"4,090",656,"1,319","1,324",791
2020년01월_계_10~19세,"6,505",883,"2,490","2,010","1,122"
2020년01월_계_20~29세,"4,924",739,"2,424",762,999
2020년01월_계_30~39세,"4,742",696,"1,716","1,376",954
2020년01월_계_40~49세,"8,462","1,136","3,300","2,464","1,562"
2020년01월_계_50~59세,"6,761","1,256","3,434",635,"1,436"
2020년01월_계_60~69세,"4,058",882,"1,995",83,"1,098"
2020년01월_계_70~79세,"1,944",366,"1,089",65,424
2020년01월_계_80~89세,"1,069",167,676,28,198
2020년01월_계_90~99세,169,36,100,3,30
2020년01월_계_100세 이상,11,4,5,0,2
2020년01월_남_총인구수,"21,250","3,323","9,105","4,498","4,324"
2020년01월_남_연령구간인구수,"21,250","3,323","9,105","4,498","4,324"
2020년01월_남_0~9세,"2,089",329,695,668,397
2020년01월_남_10~19세,"3,383",459,"1,310","1,017",597
2020년01월_남_20~29세,"2,744",388,"1,328",441,587
2020년01월_남_30~39세,"2,327",318,887,659,463
2020년01월_남_40~49세,"4,101",538,"1,545","1,282",736
2020년01월_남_50~59세,"3,403",620,"1,684",391,708
2020년01월_남_60~69세,"1,968",440,959,15,554
2020년01월_남_70~79세,872,180,471,17,204
2020년01월_남_80~89세,327,45,206,7,69
2020년01월_남_90~99세,36,6,20,1,9
2020년01월_남_100세 이상,0,0,0,0,0
2020년01월_여_총인구수,"21,485","3,498","9,443","4,252","4,292"
2020년01월_여_연령구간인구수,"21,485","3,498","9,443","4,252","4,292"
2020년01월_여_0~9세,"2,001",327,624,656,394
2020년01월_여_10~19세,"3,122",424,"1,180",993,525
2020년01월_여_20~29세,"2,180",351,"1,096",321,412
2020년01월_여_30~39세,"2,415",378,829,717,491
2020년01월_여_40~49세,"4,361",598,"1,755","1,182",826
2020년01월_여_50~59세,"3,358",636,"1,750",244,728
2020년01월_여_60~69세,"2,090",442,"1,036",68,544
2020년01월_여_70~79세,"1,072",186,618,48,220
2020년01월_여_80~89세,742,122,470,21,129
2020년01월_여_90~99세,133,30,80,2,21
2020년01월_여_100세 이상,11,4,5,0,2
