,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2020년10월_계_총인구수,"78,286","33,499","9,903","2,512","3,068","3,193","1,771","2,523","6,708","2,527","4,550","3,574","4,458"
2020년10월_계_연령구간인구수,"78,286","33,499","9,903","2,512","3,068","3,193","1,771","2,523","6,708","2,527","4,550","3,574","4,458"
2020년10월_계_0~9세,"3,663","2,144",530,62,64,80,37,59,266,75,133,104,109
2020년10월_계_10~19세,"5,699","3,337",645,87,158,136,57,143,400,148,249,129,210
2020년10월_계_20~29세,"6,866","3,565","1,117",133,150,176,89,187,486,142,266,245,310
2020년10월_계_30~39세,"6,181","3,007","1,127",157,185,136,90,140,453,150,250,219,267
2020년10월_계_40~49세,"9,602","5,025","1,156",231,270,287,149,248,769,238,441,333,455
2020년10월_계_50~59세,"13,757","5,957","1,601",434,487,553,279,462,"1,331",424,794,603,832
2020년10월_계_60~69세,"14,648","5,335","1,623",586,717,692,471,570,"1,400",531,931,805,987
2020년10월_계_70~79세,"10,443","3,270","1,163",472,577,581,335,392,930,447,876,648,752
2020년10월_계_80~89세,"6,560","1,645",837,307,412,494,227,282,580,315,553,440,468
2020년10월_계_90~99세,828,203,97,39,46,57,36,39,88,54,55,47,67
2020년10월_계_100세 이상,39,11,7,4,2,1,1,1,5,3,2,1,1
2020년10월_남_총인구수,"39,276","16,629","4,981","1,297","1,558","1,575",886,"1,309","3,328","1,273","2,310","1,810","2,320"
2020년10월_남_연령구간인구수,"39,276","16,629","4,981","1,297","1,558","1,575",886,"1,309","3,328","1,273","2,310","1,810","2,320"
2020년10월_남_0~9세,"1,902","1,121",264,30,36,42,21,31,136,38,67,55,61
2020년10월_남_10~19세,"2,927","1,691",331,44,91,67,31,79,209,68,125,76,115
2020년10월_남_20~29세,"3,876","1,952",612,76,97,96,48,115,287,92,157,148,196
2020년10월_남_30~39세,"3,450","1,585",643,92,111,77,55,90,251,92,154,128,172
2020년10월_남_40~49세,"5,271","2,546",646,163,157,174,92,161,424,143,277,197,291
2020년10월_남_50~59세,"7,339","3,066",843,249,269,318,150,242,690,242,453,346,471
2020년10월_남_60~69세,"7,226","2,552",793,302,363,365,248,288,682,258,463,417,495
2020년10월_남_70~79세,"4,724","1,477",529,219,262,251,161,181,418,205,407,284,330
2020년10월_남_80~89세,"2,372",590,301,116,165,168,78,112,208,118,198,146,172
2020년10월_남_90~99세,184,47,19,5,7,17,2,9,23,16,9,13,17
2020년10월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2020년10월_여_총인구수,"39,010","16,870","4,922","1,215","1,510","1,618",885,"1,214","3,380","1,254","2,240","1,764","2,138"
2020년10월_여_연령구간인구수,"39,010","16,870","4,922","1,215","1,510","1,618",885,"1,214","3,380","1,254","2,240","1,764","2,138"
2020년10월_여_0~9세,"1,761","1,023",266,32,28,38,16,28,130,37,66,49,48
2020년10월_여_10~19세,"2,772","1,646",314,43,67,69,26,64,191,80,124,53,95
2020년10월_여_20~29세,"2,990","1,613",505,57,53,80,41,72,199,50,109,97,114
2020년10월_여_30~39세,"2,731","1,422",484,65,74,59,35,50,202,58,96,91,95
2020년10월_여_40~49세,"4,331","2,479",510,68,113,113,57,87,345,95,164,136,164
2020년10월_여_50~59세,"6,418","2,891",758,185,218,235,129,220,641,182,341,257,361
2020년10월_여_60~69세,"7,422","2,783",830,284,354,327,223,282,718,273,468,388,492
2020년10월_여_70~79세,"5,719","1,793",634,253,315,330,174,211,512,242,469,364,422
2020년10월_여_80~89세,"4,188","1,055",536,191,247,326,149,170,372,197,355,294,296
2020년10월_여_90~99세,644,156,78,34,39,40,34,30,65,38,46,34,50
2020년10월_여_100세 이상,34,9,7,3,2,1,1,0,5,2,2,1,1
