카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년08월_계_총인구수,"432,815","16,668","22,996","15,494","14,800","24,111","14,955","15,421","18,263","23,110","15,091","24,983","35,598","16,641","39,064","26,519","19,561","24,367","13,796","16,119","35,258"
2021년08월_계_연령구간인구수,"432,815","16,668","22,996","15,494","14,800","24,111","14,955","15,421","18,263","23,110","15,091","24,983","35,598","16,641","39,064","26,519","19,561","24,367","13,796","16,119","35,258"
2021년08월_계_0~9세,"28,048",753,"1,042",545,790,"1,920",429,963,"1,386","1,446",570,"1,531","3,737","1,411","2,552","1,956","1,038","1,756",577,"1,716","1,930"
2021년08월_계_10~19세,"36,466","1,155","1,817",946,"1,253","2,797",822,923,"1,718","1,815",927,"2,079","4,887","1,436","3,628","2,565","1,442","1,902",865,"1,354","2,135"
2021년08월_계_20~29세,"66,073","2,769","4,189","4,506","1,974","2,907","5,184","2,598","2,250","3,212","3,080","3,256","3,396","2,032","5,653","3,031","3,482","3,377","1,984","2,045","5,148"
2021년08월_계_30~39세,"58,980","2,470","3,238","2,508","1,935","2,936","2,024","2,575","2,592","3,060","1,820","3,093","4,352","2,403","5,096","3,529","2,700","3,371","1,788","2,574","4,916"
2021년08월_계_40~49세,"68,197","2,516","3,462","1,944","2,086","4,331","1,585","2,349","3,122","3,501","1,828","4,075","7,735","2,867","6,282","4,508","2,750","3,720","1,880","2,616","5,040"
2021년08월_계_50~59세,"69,039","2,753","3,700","1,942","2,657","4,110","1,960","2,487","2,844","3,743","2,337","4,150","5,093","2,766","6,319","4,190","2,986","4,213","2,392","2,530","5,867"
2021년08월_계_60~69세,"56,540","2,098","2,798","1,517","2,212","2,786","1,505","1,939","2,277","3,419","2,289","3,640","3,355","2,142","4,938","3,656","2,758","3,437","2,258","1,972","5,544"
2021년08월_계_70~79세,"32,655","1,289","1,783","1,032","1,249","1,463",936,"1,066","1,354","1,953","1,425","2,127","2,063","1,083","2,856","2,100","1,596","1,747","1,392",926,"3,215"
2021년08월_계_80~89세,"14,721",711,849,473,574,727,449,458,639,842,707,892,854,444,"1,505",880,708,755,587,347,"1,320"
2021년08월_계_90~99세,"1,988",135,103,68,66,131,56,59,79,115,105,135,122,55,227,104,97,87,70,34,140
2021년08월_계_100세 이상,108,19,15,13,4,3,5,4,2,4,3,5,4,2,8,0,4,2,3,5,3
2021년08월_남_총인구수,"208,711","7,786","10,962","6,522","6,932","11,409","7,518","7,433","8,793","11,180","7,479","12,046","16,924","7,991","19,370","12,814","9,421","11,913","6,821","7,938","17,459"
2021년08월_남_연령구간인구수,"208,711","7,786","10,962","6,522","6,932","11,409","7,518","7,433","8,793","11,180","7,479","12,046","16,924","7,991","19,370","12,814","9,421","11,913","6,821","7,938","17,459"
2021년08월_남_0~9세,"14,313",364,545,267,389,962,218,479,718,749,296,807,"1,917",726,"1,308",984,558,882,294,874,976
2021년08월_남_10~19세,"18,505",600,947,401,610,"1,399",426,446,863,936,483,"1,081","2,393",761,"1,985","1,236",722,979,429,676,"1,132"
2021년08월_남_20~29세,"31,683","1,281","1,873","1,476",912,"1,414","2,679","1,243","1,118","1,595","1,700","1,669","1,632",948,"3,001","1,432","1,488","1,711",980,986,"2,545"
2021년08월_남_30~39세,"29,482","1,183","1,584","1,159",955,"1,385","1,133","1,336","1,280","1,570","1,039","1,502","1,947","1,162","2,584","1,751","1,400","1,758",936,"1,252","2,566"
2021년08월_남_40~49세,"33,591","1,201","1,695",929,971,"2,035",820,"1,170","1,502","1,727",904,"2,007","3,701","1,373","3,089","2,247","1,396","1,857","1,018","1,333","2,616"
2021년08월_남_50~59세,"34,037","1,301","1,844",967,"1,275","1,962",981,"1,201","1,401","1,799","1,147","1,996","2,620","1,361","3,142","2,103","1,510","2,035","1,219","1,281","2,892"
2021년08월_남_60~69세,"26,618",980,"1,374",683,"1,031","1,308",703,917,"1,064","1,589","1,022","1,640","1,494","1,009","2,390","1,749","1,331","1,619","1,069",945,"2,701"
2021년08월_남_70~79세,"14,242",532,748,440,565,629,384,459,571,865,609,956,873,472,"1,217",925,715,765,626,451,"1,440"
