카테고리,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020년06월_계_총인구수,"1,471,040","224,300","238,540","481,436","351,882","174,882"
2020년06월_계_연령구간인구수,"1,471,040","224,300","238,540","481,436","351,882","174,882"
2020년06월_계_0~9세,"118,539","15,620","15,970","39,613","35,998","11,338"
2020년06월_계_10~19세,"149,539","20,396","22,556","50,868","38,611","17,108"
2020년06월_계_20~29세,"212,938","30,402","31,394","74,125","52,652","24,365"
2020년06월_계_30~39세,"197,697","26,508","27,059","67,440","57,035","19,655"
2020년06월_계_40~49세,"240,090","34,293","37,605","79,699","60,773","27,720"
2020년06월_계_50~59세,"242,755","37,104","40,185","78,041","53,963","33,462"
2020년06월_계_60~69세,"173,812","31,766","33,006","53,252","32,293","23,495"
2020년06월_계_70~79세,"89,871","18,864","20,396","25,513","13,226","11,872"
2020년06월_계_80~89세,"39,740","8,150","9,037","11,147","6,237","5,169"
2020년06월_계_90~99세,"5,712","1,103","1,254","1,652","1,039",664
2020년06월_계_100세 이상,347,94,78,86,55,34
2020년06월_남_총인구수,"734,441","113,088","117,801","236,945","177,640","88,967"
2020년06월_남_연령구간인구수,"734,441","113,088","117,801","236,945","177,640","88,967"
2020년06월_남_0~9세,"60,891","8,031","8,180","20,383","18,554","5,743"
2020년06월_남_10~19세,"77,383","10,538","11,613","26,266","20,055","8,911"
2020년06월_남_20~29세,"111,813","16,177","16,134","37,760","28,181","13,561"
2020년06월_남_30~39세,"102,796","14,253","13,932","34,354","29,589","10,668"
2020년06월_남_40~49세,"119,772","18,033","19,105","38,594","29,935","14,105"
2020년06월_남_50~59세,"120,905","18,972","20,251","37,819","26,825","17,038"
2020년06월_남_60~69세,"84,574","15,397","15,660","25,723","16,141","11,653"
2020년06월_남_70~79세,"40,742","8,450","9,191","11,707","6,084","5,310"
2020년06월_남_80~89세,"14,169","2,940","3,415","3,947","2,032","1,835"
2020년06월_남_90~99세,"1,312",270,301,375,231,135
2020년06월_남_100세 이상,84,27,19,17,13,8
2020년06월_여_총인구수,"736,599","111,212","120,739","244,491","174,242","85,915"
2020년06월_여_연령구간인구수,"736,599","111,212","120,739","244,491","174,242","85,915"
2020년06월_여_0~9세,"57,648","7,589","7,790","19,230","17,444","5,595"
2020년06월_여_10~19세,"72,156","9,858","10,943","24,602","18,556","8,197"
2020년06월_여_20~29세,"101,125","14,225","15,260","36,365","24,471","10,804"
2020년06월_여_30~39세,"94,901","12,255","13,127","33,086","27,446","8,987"
2020년06월_여_40~49세,"120,318","16,260","18,500","41,105","30,838","13,615"
2020년06월_여_50~59세,"121,850","18,132","19,934","40,222","27,138","16,424"
2020년06월_여_60~69세,"89,238","16,369","17,346","27,529","16,152","11,842"
2020년06월_여_70~79세,"49,129","10,414","11,205","13,806","7,142","6,562"
2020년06월_여_80~89세,"25,571","5,210","5,622","7,200","4,205","3,334"
2020년06월_여_90~99세,"4,400",833,953,"1,277",808,529
2020년06월_여_100세 이상,263,67,59,69,42,26
