카테고리,경상남도 사천시,경상남도 사천시 사천읍,경상남도 사천시 정동면,경상남도 사천시 사남면,경상남도 사천시 용현면,경상남도 사천시 축동면,경상남도 사천시 곤양면,경상남도 사천시 곤명면,경상남도 사천시 서포면,경상남도 사천시 동서동,경상남도 사천시 선구동,경상남도 사천시 동서금동,경상남도 사천시 벌용동,경상남도 사천시 향촌동,경상남도 사천시 남양동,경상남도 사천시 신수출장소
2020년04월_계_총인구수,"111,365","18,744","10,708","16,044","7,839","1,667","3,529","2,926","3,564","6,394","5,320","6,304","15,639","6,938","5,469",280
2020년04월_계_연령구간인구수,"111,365","18,744","10,708","16,044","7,839","1,667","3,529","2,926","3,564","6,394","5,320","6,304","15,639","6,938","5,469",280
2020년04월_계_0~9세,"8,514","1,556","1,080","2,141",718,48,111,81,72,197,246,430,"1,135",366,326,7
2020년04월_계_10~19세,"10,434","1,992","1,298","2,043",644,57,173,98,150,322,347,474,"1,722",668,437,9
2020년04월_계_20~29세,"10,884","2,409","1,142","1,625",548,129,293,183,266,430,499,569,"1,624",683,475,9
2020년04월_계_30~39세,"12,418","2,557","1,329","2,643",975,106,209,162,160,488,485,687,"1,493",614,491,19
2020년04월_계_40~49세,"17,829","3,371","1,953","3,062","1,257",188,361,285,354,770,741,971,"2,558","1,162",761,35
2020년04월_계_50~59세,"18,551","3,116","1,662","1,891","1,253",309,636,551,706,"1,146","1,001","1,099","2,910","1,306",918,47
2020년04월_계_60~69세,"15,752","1,899","1,077","1,269","1,192",382,713,657,759,"1,428",996,"1,053","2,197","1,083",984,63
2020년04월_계_70~79세,"10,610","1,119",702,846,770,239,606,513,649,"1,074",660,704,"1,335",669,658,66
2020년04월_계_80~89세,"5,565",624,401,460,418,188,380,356,380,468,305,277,602,330,351,25
2020년04월_계_90~99세,782,95,64,63,63,21,44,38,67,69,40,34,62,56,66,0
2020년04월_계_100세 이상,26,6,0,1,1,0,3,2,1,2,0,6,1,1,2,0
2020년04월_남_총인구수,"56,119","9,747","5,318","8,394","3,893",882,"1,798","1,445","1,771","3,119","2,635","3,099","7,621","3,561","2,693",143
2020년04월_남_연령구간인구수,"56,119","9,747","5,318","8,394","3,893",882,"1,798","1,445","1,771","3,119","2,635","3,099","7,621","3,561","2,693",143
2020년04월_남_0~9세,"4,422",802,557,"1,157",344,27,66,46,40,106,122,219,588,175,169,4
2020년04월_남_10~19세,"5,382",990,667,"1,043",343,33,96,56,78,166,192,249,891,351,223,4
2020년04월_남_20~29세,"6,497","1,417",649,"1,023",317,77,184,109,165,257,311,343,937,417,283,8
2020년04월_남_30~39세,"6,605","1,432",655,"1,394",482,62,120,91,96,299,269,362,743,328,262,10
2020년04월_남_40~49세,"9,542","1,801",980,"1,639",712,119,211,186,230,449,411,526,"1,226",616,409,27
2020년04월_남_50~59세,"9,732","1,659",875,"1,046",626,192,361,314,397,585,494,533,"1,449",710,462,29
2020년04월_남_60~69세,"7,606",962,527,596,591,197,358,317,369,652,467,464,"1,042",555,481,28
2020년04월_남_70~79세,"4,488",475,271,360,336,108,266,212,289,447,268,303,545,294,287,27
2020년04월_남_80~89세,"1,715",192,126,126,130,62,124,105,102,149,95,93,192,105,108,6
2020년04월_남_90~99세,124,17,11,10,12,5,11,8,4,9,6,5,8,9,9,0
2020년04월_남_100세 이상,6,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0
2020년04월_여_총인구수,"55,246","8,997","5,390","7,650","3,946",785,"1,731","1,481","1,793","3,275","2,685","3,205","8,018","3,377","2,776",137
2020년04월_여_연령구간인구수,"55,246","8,997","5,390","7,650","3,946",785,"1,731","1,481","1,793","3,275","2,685","3,205","8,018","3,377","2,776",137
2020년04월_여_0~9세,"4,092",754,523,984,374,21,45,35,32,91,124,211,547,191,157,3
2020년04월_여_10~19세,"5,052","1,002",631,"1,000",301,24,77,42,72,156,155,225,831,317,214,5
2020년04월_여_20~29세,"4,387",992,493,602,231,52,109,74,101,173,188,226,687,266,192,1
2020년04월_여_30~39세,"5,813","1,125",674,"1,249",493,44,89,71,64,189,216,325,750,286,229,9
2020년04월_여_40~49세,"8,287","1,570",973,"1,423",545,69,150,99,124,321,330,445,"1,332",546,352,8
2020년04월_여_50~59세,"8,819","1,457",787,845,627,117,275,237,309,561,507,566,"1,461",596,456,18
2020년04월_여_60~69세,"8,146",937,550,673,601,185,355,340,390,776,529,589,"1,155",528,503,35
2020년04월_여_70~79세,"6,122",644,431,486,434,131,340,301,360,627,392,401,790,375,371,39
2020년04월_여_80~89세,"3,850",432,275,334,288,126,256,251,278,319,210,184,410,225,243,19
2020년04월_여_90~99세,658,78,53,53,51,16,33,30,63,60,34,29,54,47,57,0
2020년04월_여_100세 이상,20,6,0,1,1,0,2,1,0,2,0,4,1,0,2,0
