,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2021년08월_계_총인구수,"67,797","24,626","2,910","3,162","2,771","6,067","2,787","1,961","2,935","2,108","2,386","4,792","3,721","3,988","3,583"
2021년08월_계_연령구간인구수,"67,797","24,626","2,910","3,162","2,771","6,067","2,787","1,961","2,935","2,108","2,386","4,792","3,721","3,988","3,583"
2021년08월_계_0~9세,"3,722","2,188",91,115,66,275,89,35,76,70,67,178,171,179,122
2021년08월_계_10~19세,"5,026","2,859",144,118,125,353,164,82,149,79,125,232,190,219,187
2021년08월_계_20~29세,"5,511","2,775",214,203,144,454,176,123,190,83,131,280,226,261,251
2021년08월_계_30~39세,"4,726","2,433",155,178,125,364,121,70,121,98,101,264,246,231,219
2021년08월_계_40~49세,"7,748","3,755",258,274,228,608,240,153,298,196,228,394,376,371,369
2021년08월_계_50~59세,"11,419","4,112",542,524,478,"1,061",456,327,500,290,411,816,603,674,625
2021년08월_계_60~69세,"12,638","3,355",621,672,630,"1,243",589,410,572,472,475,"1,173",757,871,798
2021년08월_계_70~79세,"9,884","2,020",526,636,557,977,555,414,540,396,460,832,682,716,573
2021년08월_계_80~89세,"6,194",982,305,403,363,657,350,306,414,369,324,544,405,401,371
2021년08월_계_90~99세,887,145,52,38,51,71,46,41,68,54,59,74,63,63,62
2021년08월_계_100세 이상,42,2,2,1,4,4,1,0,7,1,5,5,2,2,6
2021년08월_남_총인구수,"33,556","12,092","1,461","1,574","1,381","2,981","1,353",936,"1,472",990,"1,208","2,351","1,903","1,999","1,855"
2021년08월_남_연령구간인구수,"33,556","12,092","1,461","1,574","1,381","2,981","1,353",936,"1,472",990,"1,208","2,351","1,903","1,999","1,855"
2021년08월_남_0~9세,"1,881","1,098",43,62,38,134,42,20,42,31,38,87,87,95,64
2021년08월_남_10~19세,"2,599","1,459",78,62,66,182,86,39,82,44,73,125,95,117,91
2021년08월_남_20~29세,"3,116","1,513",116,103,96,278,101,70,99,50,83,177,129,165,136
2021년08월_남_30~39세,"2,512","1,187",95,114,79,215,60,40,71,48,57,152,139,118,137
2021년08월_남_40~49세,"4,317","1,807",161,179,134,356,147,97,185,127,150,233,268,221,252
2021년08월_남_50~59세,"6,353","2,152",299,309,279,566,253,193,295,162,260,458,355,388,384
2021년08월_남_60~69세,"6,343","1,628",327,329,328,593,291,209,307,232,240,586,412,437,424
2021년08월_남_70~79세,"4,339",911,227,283,243,439,242,161,239,174,196,358,291,330,245
2021년08월_남_80~89세,"1,935",308,103,125,111,210,114,102,141,109,99,162,122,118,111
2021년08월_남_90~99세,161,29,12,8,7,8,17,5,11,13,12,13,5,10,11
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"34,241","12,534","1,449","1,588","1,390","3,086","1,434","1,025","1,463","1,118","1,178","2,441","1,818","1,989","1,728"
2021년08월_여_연령구간인구수,"34,241","12,534","1,449","1,588","1,390","3,086","1,434","1,025","1,463","1,118","1,178","2,441","1,818","1,989","1,728"
2021년08월_여_0~9세,"1,841","1,090",48,53,28,141,47,15,34,39,29,91,84,84,58
2021년08월_여_10~19세,"2,427","1,400",66,56,59,171,78,43,67,35,52,107,95,102,96
2021년08월_여_20~29세,"2,395","1,262",98,100,48,176,75,53,91,33,48,103,97,96,115
2021년08월_여_30~39세,"2,214","1,246",60,64,46,149,61,30,50,50,44,112,107,113,82
2021년08월_여_40~49세,"3,431","1,948",97,95,94,252,93,56,113,69,78,161,108,150,117
2021년08월_여_50~59세,"5,066","1,960",243,215,199,495,203,134,205,128,151,358,248,286,241
2021년08월_여_60~69세,"6,295","1,727",294,343,302,650,298,201,265,240,235,587,345,434,374
2021년08월_여_70~79세,"5,545","1,109",299,353,314,538,313,253,301,222,264,474,391,386,328
2021년08월_여_80~89세,"4,259",674,202,278,252,447,236,204,273,260,225,382,283,283,260
2021년08월_여_90~99세,726,116,40,30,44,63,29,36,57,41,47,61,58,53,51
2021년08월_여_100세 이상,42,2,2,1,4,4,1,0,7,1,5,5,2,2,6
