카테고리,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년02월_계_총인구수,"371,200","25,848","37,973","21,697","21,814","14,459","12,160","23,053","24,773","25,345","18,132","20,778","18,913","15,555","19,333","40,179","31,188"
2021년02월_계_연령구간인구수,"371,200","25,848","37,973","21,697","21,814","14,459","12,160","23,053","24,773","25,345","18,132","20,778","18,913","15,555","19,333","40,179","31,188"
2021년02월_계_0~9세,"24,519","2,820","2,256","1,476","2,238",678,935,"1,682","1,835",837,"1,092","1,032","1,147",607,945,"2,462","2,477"
2021년02월_계_10~19세,"28,232","1,695","2,300","1,606","2,046",893,"1,144","1,897","1,724","1,217",943,"1,329","1,558",802,"1,468","3,459","4,151"
2021년02월_계_20~29세,"61,599","3,155","6,365","2,970","2,223","3,395","1,817","3,420","4,773","6,228","3,554","3,484","2,866","3,231","3,128","6,688","4,302"
2021년02월_계_30~39세,"64,115","5,110","6,552","3,631","3,726","2,398","1,865","3,717","4,092","5,403","3,701","3,918","2,954","3,091","3,370","6,652","3,935"
2021년02월_계_40~49세,"60,829","4,315","5,513","3,190","4,405","2,091","2,195","3,906","4,001","3,731","2,650","3,245","3,259","2,335","3,330","6,551","6,112"
2021년02월_계_50~59세,"54,414","3,878","6,410","3,517","2,976","2,038","1,780","3,579","3,682","3,113","2,356","2,991","2,830","2,015","2,893","5,795","4,561"
2021년02월_계_60~69세,"39,913","2,787","4,505","2,703","2,185","1,502","1,178","2,484","2,474","2,316","1,959","2,424","2,169","1,741","2,204","4,279","3,003"
2021년02월_계_70~79세,"24,272","1,234","2,587","1,564","1,281",897,791,"1,547","1,399","1,568","1,223","1,614","1,468","1,114","1,364","2,887","1,734"
2021년02월_계_80~89세,"11,256",676,"1,276",867,630,463,395,688,680,760,546,655,576,508,554,"1,198",784
2021년02월_계_90~99세,"1,704",125,170,145,93,80,47,115,95,144,88,79,67,91,62,191,112
2021년02월_계_100세 이상,347,53,39,28,11,24,13,18,18,28,20,7,19,20,15,17,17
2021년02월_남_총인구수,"174,741","12,112","17,893","10,392","10,284","6,966","5,852","11,199","11,801","11,598","8,423","9,756","8,891","7,347","9,102","18,249","14,876"
2021년02월_남_연령구간인구수,"174,741","12,112","17,893","10,392","10,284","6,966","5,852","11,199","11,801","11,598","8,423","9,756","8,891","7,347","9,102","18,249","14,876"
2021년02월_남_0~9세,"12,468","1,376","1,187",805,"1,067",354,462,858,954,425,574,518,586,297,458,"1,235","1,312"
2021년02월_남_10~19세,"14,227",819,"1,143",842,"1,011",470,569,"1,013",868,576,453,653,764,429,729,"1,804","2,084"
2021년02월_남_20~29세,"27,751","1,376","2,787","1,433","1,023","1,535",870,"1,734","2,268","2,648","1,562","1,617","1,315","1,494","1,466","2,691","1,932"
2021년02월_남_30~39세,"30,341","2,355","3,162","1,753","1,714","1,208",893,"1,813","1,929","2,514","1,770","1,874","1,392","1,513","1,636","3,013","1,802"
2021년02월_남_40~49세,"29,543","2,172","2,733","1,532","2,107","1,047","1,113","1,834","1,914","1,821","1,281","1,575","1,598","1,162","1,605","3,132","2,917"
2021년02월_남_50~59세,"26,715","1,876","3,126","1,678","1,504","1,070",903,"1,790","1,772","1,509","1,119","1,475","1,390",960,"1,365","2,820","2,358"
2021년02월_남_60~69세,"18,537","1,323","2,172","1,283","1,039",706,560,"1,198","1,192","1,048",895,"1,095",954,790,"1,000","1,918","1,364"
2021년02월_남_70~79세,"10,227",504,"1,077",705,546,367,300,636,595,678,537,687,630,461,587,"1,148",769
2021년02월_남_80~89세,"4,365",263,449,322,245,185,167,279,280,325,204,237,233,200,230,437,309
2021년02월_남_90~99세,479,34,48,33,25,20,12,39,27,43,24,25,22,35,20,45,27
2021년02월_남_100세 이상,88,14,9,6,3,4,3,5,2,11,4,0,7,6,6,6,2
2021년02월_여_총인구수,"196,459","13,736","20,080","11,305","11,530","7,493","6,308","11,854","12,972","13,747","9,709","11,022","10,022","8,208","10,231","21,930","16,312"
2021년02월_여_연령구간인구수,"196,459","13,736","20,080","11,305","11,530","7,493","6,308","11,854","12,972","13,747","9,709","11,022","10,022","8,208","10,231","21,930","16,312"
2021년02월_여_0~9세,"12,051","1,444","1,069",671,"1,171",324,473,824,881,412,518,514,561,310,487,"1,227","1,165"
2021년02월_여_10~19세,"14,005",876,"1,157",764,"1,035",423,575,884,856,641,490,676,794,373,739,"1,655","2,067"
2021년02월_여_20~29세,"33,848","1,779","3,578","1,537","1,200","1,860",947,"1,686","2,505","3,580","1,992","1,867","1,551","1,737","1,662","3,997","2,370"
2021년02월_여_30~39세,"33,774","2,755","3,390","1,878","2,012","1,190",972,"1,904","2,163","2,889","1,931","2,044","1,562","1,578","1,734","3,639","2,133"
2021년02월_여_40~49세,"31,286","2,143","2,780","1,658","2,298","1,044","1,082","2,072","2,087","1,910","1,369","1,670","1,661","1,173","1,725","3,419","3,195"
2021년02월_여_50~59세,"27,699","2,002","3,284","1,839","1,472",968,877,"1,789","1,910","1,604","1,237","1,516","1,440","1,055","1,528","2,975","2,203"
2021년02월_여_60~69세,"21,376","1,464","2,333","1,420","1,146",796,618,"1,286","1,282","1,268","1,064","1,329","1,215",951,"1,204","2,361","1,639"
2021년02월_여_70~79세,"14,045",730,"1,510",859,735,530,491,911,804,890,686,927,838,653,777,"1,739",965
2021년02월_여_80~89세,"6,891",413,827,545,385,278,228,409,400,435,342,418,343,308,324,761,475
2021년02월_여_90~99세,"1,225",91,122,112,68,60,35,76,68,101,64,54,45,56,42,146,85
2021년02월_여_100세 이상,259,39,30,22,8,20,10,13,16,17,16,7,12,14,9,11,15
