,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년08월_계_총인구수,"62,439","39,313",922,428,"1,771","1,042","1,768","3,240","2,864","1,438",969,"1,589","1,597","2,127","3,371"
2021년08월_계_연령구간인구수,"62,439","39,313",922,428,"1,771","1,042","1,768","3,240","2,864","1,438",969,"1,589","1,597","2,127","3,371"
2021년08월_계_0~9세,"3,333","2,767",17,9,30,29,33,115,82,31,17,30,30,48,95
2021년08월_계_10~19세,"5,557","4,558",39,16,60,22,43,258,118,57,36,66,58,61,165
2021년08월_계_20~29세,"6,676","5,135",58,12,111,54,97,262,211,80,66,76,107,140,267
2021년08월_계_30~39세,"4,651","3,503",39,17,83,36,73,210,171,46,44,64,57,110,198
2021년08월_계_40~49세,"7,986","6,098",101,35,119,60,131,325,266,99,69,105,110,164,304
2021년08월_계_50~59세,"11,292","7,128",164,71,301,187,310,528,542,257,200,288,297,377,642
2021년08월_계_60~69세,"9,986","4,870",199,95,393,223,392,703,648,324,212,367,333,487,740
2021년08월_계_70~79세,"7,335","3,236",180,103,334,193,338,487,419,292,174,340,327,392,520
2021년08월_계_80~89세,"4,911","1,772",111,64,297,213,296,310,347,227,131,218,236,296,393
2021년08월_계_90~99세,681,231,13,6,43,24,52,42,59,24,18,34,41,49,45
2021년08월_계_100세 이상,31,15,1,0,0,1,3,0,1,1,2,1,1,3,2
2021년08월_남_총인구수,"30,870","19,317",471,204,903,508,865,"1,597","1,433",737,498,796,756,"1,076","1,709"
2021년08월_남_연령구간인구수,"30,870","19,317",471,204,903,508,865,"1,597","1,433",737,498,796,756,"1,076","1,709"
2021년08월_남_0~9세,"1,695","1,408",7,2,17,15,19,57,32,18,8,19,15,30,48
2021년08월_남_10~19세,"2,889","2,368",22,12,34,10,20,117,69,34,16,31,27,35,94
2021년08월_남_20~29세,"3,631","2,750",35,7,59,32,54,159,120,48,44,49,61,73,140
2021년08월_남_30~39세,"2,369","1,726",22,11,49,18,43,117,106,27,22,34,36,60,98
2021년08월_남_40~49세,"4,109","2,950",64,19,78,47,78,179,160,60,44,72,61,110,187
2021년08월_남_50~59세,"6,146","3,692",102,46,191,111,194,292,309,161,114,179,164,224,367
2021년08월_남_60~69세,"5,280","2,423",100,45,238,138,219,371,348,182,122,206,196,274,418
2021년08월_남_70~79세,"3,096","1,350",83,41,146,75,151,205,192,117,78,135,124,165,234
2021년08월_남_80~89세,"1,493",596,36,20,80,56,76,92,81,82,41,64,67,90,112
2021년08월_남_90~99세,159,53,0,1,11,6,9,8,16,8,9,7,5,15,11
2021년08월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"31,569","19,996",451,224,868,534,903,"1,643","1,431",701,471,793,841,"1,051","1,662"
2021년08월_여_연령구간인구수,"31,569","19,996",451,224,868,534,903,"1,643","1,431",701,471,793,841,"1,051","1,662"
2021년08월_여_0~9세,"1,638","1,359",10,7,13,14,14,58,50,13,9,11,15,18,47
2021년08월_여_10~19세,"2,668","2,190",17,4,26,12,23,141,49,23,20,35,31,26,71
2021년08월_여_20~29세,"3,045","2,385",23,5,52,22,43,103,91,32,22,27,46,67,127
2021년08월_여_30~39세,"2,282","1,777",17,6,34,18,30,93,65,19,22,30,21,50,100
2021년08월_여_40~49세,"3,877","3,148",37,16,41,13,53,146,106,39,25,33,49,54,117
2021년08월_여_50~59세,"5,146","3,436",62,25,110,76,116,236,233,96,86,109,133,153,275
2021년08월_여_60~69세,"4,706","2,447",99,50,155,85,173,332,300,142,90,161,137,213,322
2021년08월_여_70~79세,"4,239","1,886",97,62,188,118,187,282,227,175,96,205,203,227,286
2021년08월_여_80~89세,"3,418","1,176",75,44,217,157,220,218,266,145,90,154,169,206,281
2021년08월_여_90~99세,522,178,13,5,32,18,43,34,43,16,9,27,36,34,34
2021년08월_여_100세 이상,28,14,1,0,0,1,1,0,1,1,2,1,1,3,2
