,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년06월_계_총인구수,"1,597,503","847,392","193,737","193,472","266,518","193,665","209,638","132,313","32,096","50,282","46,316","36,499","84,746","37,337","92,232","28,652"
2021년06월_계_연령구간인구수,"1,597,503","847,392","193,737","193,472","266,518","193,665","209,638","132,313","32,096","50,282","46,316","36,499","84,746","37,337","92,232","28,652"
2021년06월_계_0~9세,"120,162","72,740","16,228","13,232","23,818","19,462","14,149","8,425","1,392","2,521","2,211","3,062","7,599","1,261","5,653","1,149"
2021년06월_계_10~19세,"147,347","85,073","19,724","19,792","26,267","19,290","18,608","11,507","2,052","3,797","3,243","3,341","8,384","1,937","7,494","1,911"
2021년06월_계_20~29세,"197,067","119,824","24,894","28,189","40,831","25,910","24,058","14,675","2,330","4,254","4,081","4,449","9,269","2,754","9,254","2,119"
2021년06월_계_30~39세,"192,382","118,110","23,516","22,212","41,291","31,091","23,141","12,687","2,070","3,785","3,079","4,513","11,507","2,331","9,253","1,906"
2021년06월_계_40~49세,"238,483","136,168","30,671","30,168","43,178","32,151","30,393","17,984","3,225","6,114","5,102","5,531","13,681","3,698","13,430","3,157"
2021년06월_계_50~59세,"269,456","136,904","33,148","33,664","42,647","27,445","36,937","23,511","5,681","8,757","8,097","5,994","13,728","7,047","17,371","5,429"
2021년06월_계_60~69세,"235,661","103,162","25,683","26,528","29,405","21,546","33,523","23,780","7,162","10,314","9,623","5,240","11,034","9,052","16,109","6,662"
2021년06월_계_70~79세,"119,763","47,497","12,380","12,506","12,206","10,405","17,206","12,365","4,511","6,305","6,388","2,666","5,496","5,342","8,146","3,841"
