카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년10월_계_총인구수,"347,569","8,110","4,023","8,763","2,198","1,884","2,564","1,570","1,478","1,441","3,191","21,010","4,676","1,578","4,009","1,038","2,190","27,720","10,414","11,039","13,897","19,377","24,267","11,575","26,859","27,469","11,622","11,933","21,063","27,657","32,954"
2021년10월_계_연령구간인구수,"347,569","8,110","4,023","8,763","2,198","1,884","2,564","1,570","1,478","1,441","3,191","21,010","4,676","1,578","4,009","1,038","2,190","27,720","10,414","11,039","13,897","19,377","24,267","11,575","26,859","27,469","11,622","11,933","21,063","27,657","32,954"
2021년10월_계_0~9세,"27,064",611,323,978,34,41,94,20,27,39,51,"2,059",213,16,125,22,50,"1,481",410,297,525,898,"1,256",684,"3,225","1,996",619,636,"2,268","2,383","5,683"
2021년10월_계_10~19세,"34,676",633,448,526,101,48,179,44,45,70,122,"2,722",411,45,181,43,86,"2,416",689,639,"1,025","1,560","2,356","1,017","3,995","3,370","1,072","1,224","2,997","2,579","4,033"
2021년10월_계_20~29세,"44,927",755,437,"1,078",138,119,206,69,56,101,197,"2,302",409,77,325,90,138,"4,324","1,411","1,097","1,781","2,858","3,689","1,478","3,293","4,093","1,575","1,505","2,309","5,624","3,393"
2021년10월_계_30~39세,"40,938",880,387,"1,736",121,118,155,61,76,61,151,"2,360",359,54,221,45,97,"2,707","1,118",848,"1,235","1,966","2,457","1,366","3,600","2,981","1,146","1,080","2,369","4,233","6,950"
2021년10월_계_40~49세,"53,337","1,015",646,"1,206",178,134,268,94,139,136,247,"3,663",617,100,403,88,198,"3,857","1,485","1,293","1,795","2,690","3,500","1,681","5,248","4,518","1,571","1,713","4,053","4,105","6,696"
2021년10월_계_50~59세,"57,177","1,364",680,"1,290",356,335,487,254,202,243,558,"3,373",877,280,753,178,381,"4,534","1,696","1,858","2,555","3,513","4,905","2,022","4,162","5,121","2,015","2,305","3,260","4,017","3,603"
2021년10월_계_60~69세,"48,600","1,449",577,"1,154",496,491,520,444,372,311,752,"2,611",860,383,"1,017",258,556,"4,238","1,901","2,456","2,581","3,311","3,744","1,929","2,047","3,121","1,986","2,015","2,308","2,872","1,840"
2021년10월_계_70~79세,"25,813",820,309,477,402,295,358,306,296,250,564,"1,225",545,327,563,154,337,"2,700","1,105","1,688","1,607","1,814","1,618",988,869,"1,376","1,039",989,"1,005","1,259",528
2021년10월_계_80~89세,"13,112",488,186,267,312,259,268,245,231,191,476,621,333,257,359,134,309,"1,296",509,759,692,699,655,361,365,763,528,403,441,517,188
2021년10월_계_90~99세,"1,846",93,29,48,58,43,27,33,33,38,70,73,52,38,59,24,36,160,83,90,99,66,84,48,49,128,68,59,52,68,38
2021년10월_계_100세 이상,79,2,1,3,2,1,2,0,1,1,3,1,0,1,3,2,2,7,7,14,2,2,3,1,6,2,3,4,1,0,2
2021년10월_남_총인구수,"171,749","4,109","2,019","4,455","1,044",932,"1,253",787,725,722,"1,597","10,536","2,335",775,"1,964",498,"1,066","13,587","5,151","5,317","6,861","9,571","12,123","5,884","13,586","13,138","5,496","5,874","10,024","14,009","16,311"
2021년10월_남_연령구간인구수,"171,749","4,109","2,019","4,455","1,044",932,"1,253",787,725,722,"1,597","10,536","2,335",775,"1,964",498,"1,066","13,587","5,151","5,317","6,861","9,571","12,123","5,884","13,586","13,138","5,496","5,874","10,024","14,009","16,311"
2021년10월_남_0~9세,"14,003",335,179,480,17,24,49,15,12,18,31,"1,072",110,7,67,11,30,790,212,159,291,443,679,334,"1,726","1,010",321,336,"1,147","1,274","2,824"
2021년10월_남_10~19세,"18,274",342,238,271,54,23,95,29,25,30,69,"1,458",207,29,89,20,46,"1,334",364,359,544,812,"1,277",494,"2,266","1,739",550,698,"1,433","1,330","2,049"
