,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2021년01월_계_총인구수,"939,774","241,568","13,511","20,239","11,309","15,566","15,696","13,566","13,529","12,611","16,161","15,866","10,043","9,998","11,081","45,649","4,823","8,685","3,235","216,142","33,963","14,109","7,023","24,627","10,647","24,568","25,889","13,759","12,547","21,169","27,841","482,064","26,434","18,104","10,649","14,039","19,765","31,041","15,934","15,587","32,360","18,771","25,943","13,715","17,699","16,815","29,139","23,899","24,890","27,690","28,797","17,808","31,389","21,596"
2021년01월_계_연령구간인구수,"939,774","241,568","13,511","20,239","11,309","15,566","15,696","13,566","13,529","12,611","16,161","15,866","10,043","9,998","11,081","45,649","4,823","8,685","3,235","216,142","33,963","14,109","7,023","24,627","10,647","24,568","25,889","13,759","12,547","21,169","27,841","482,064","26,434","18,104","10,649","14,039","19,765","31,041","15,934","15,587","32,360","18,771","25,943","13,715","17,699","16,815","29,139","23,899","24,890","27,690","28,797","17,808","31,389","21,596"
2021년01월_계_0~9세,"68,301","15,723",505,"1,779",424,505,743,616,698,387,787,"1,063",474,593,728,"5,024",522,715,160,"13,176","1,575",878,431,"1,253",656,"1,297","1,672",525,568,"1,459","2,862","39,402","1,995","1,268","1,176","1,040","1,433","2,055",910,"1,332","2,442","1,423","2,268","1,013","1,324","1,271","2,193","3,010","2,731","2,896","1,909","1,325","2,204","2,184"
2021년01월_계_10~19세,"87,577","17,506",723,"1,624",649,773,"1,094",923,"1,198",682,"1,097","1,283",819,931,437,"4,137",448,528,160,"16,494","1,951",871,453,"1,928","1,016","1,977","1,828",972,882,"1,769","2,847","53,577","2,965","2,238","1,970","2,427","1,933","3,302","1,380","1,766","4,351","2,324","3,128","1,849","1,300","1,798","2,072","3,451","3,028","3,108","2,348","1,691","2,734","2,414"
2021년01월_계_20~29세,"132,058","35,164","2,003","2,648","1,753","2,803","2,493","1,943","2,066","1,772","2,356","2,180","1,287","1,393","2,260","5,529",743,"1,408",527,"31,200","5,869","1,567",951,"3,800","1,819","3,650","3,503","1,762","1,800","3,124","3,355","65,694","3,728","2,482",966,"1,868","3,127","4,718","2,056","2,052","4,604","2,788","3,403","1,793","2,759","2,136","4,183","2,343","3,067","3,822","4,064","2,732","4,538","2,465"
2021년01월_계_30~39세,"136,762","35,907","1,805","3,394","1,531","2,165","2,165","1,737","1,644","1,469","2,116","2,208","1,258","1,132","2,616","7,374",892,"1,870",531,"31,128","5,859","1,923","1,106","3,381","1,374","3,060","4,002","1,626","1,563","2,890","4,344","69,727","3,606","2,455",868,"1,536","3,512","5,033","2,962","2,314","4,240","2,368","3,591","1,353","2,897","2,096","5,344","3,092","3,587","3,801","4,660","2,785","4,512","3,115"
2021년01월_계_40~49세,"156,911","37,605","2,021","3,062","1,753","2,126","2,267","2,014","2,134","1,764","2,320","2,474","1,672","1,652","1,996","8,061",776,"1,082",431,"32,875","4,800","2,200","1,040","3,717","1,645","3,692","3,981","1,975","1,802","3,067","4,956","86,431","4,648","3,740","2,636","3,169","3,222","5,943","2,651","2,840","6,294","3,269","4,640","2,377","2,758","2,768","4,373","5,290","4,672","4,701","4,424","2,978","4,984","4,054"
2021년01월_계_50~59세,"155,826","41,184","2,535","3,481","2,150","2,710","2,808","2,579","2,391","2,535","2,884","2,745","1,734","1,730","1,340","7,151",613,"1,319",479,"38,171","5,557","2,624","1,218","4,311","1,763","4,485","4,625","2,911","2,542","3,932","4,203","76,471","4,281","2,845","1,476","2,122","2,947","4,797","2,391","2,408","5,051","3,315","4,145","2,401","2,680","2,599","4,553","3,411","3,964","4,813","4,579","2,940","5,248","3,505"
2021년01월_계_60~69세,"114,432","33,711","2,255","2,697","1,717","2,434","2,290","2,139","1,820","2,209","2,603","2,165","1,475","1,405","1,070","5,318",523,"1,050",541,"30,941","4,711","2,327","1,089","3,637","1,321","3,454","3,753","2,342","2,006","3,122","3,179","49,780","2,904","1,397",767,"1,110","2,109","2,509","1,754","1,437","2,767","1,934","2,639","1,640","2,284","2,247","3,776","1,998","2,357","2,793","3,528","1,835","3,520","2,475"
2021년01월_계_70~79세,"58,135","17,213","1,141","1,108",962,"1,442","1,243","1,103","1,060","1,239","1,446","1,182",948,817,465,"2,053",212,502,290,"15,366","2,512","1,193",482,"1,817",733,"2,050","1,788","1,158",962,"1,250","1,421","25,556","1,443",933,480,496,"1,011","1,682","1,032",813,"1,560",835,"1,367",803,"1,130","1,196","1,729",876,987,"1,189","2,000",942,"2,118",934
