,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2021년02월_계_총인구수,"341,661","7,607","10,638","10,007","12,768","6,538","13,189","12,371","7,497","14,154","13,941","4,195","21,706","14,908","15,892","18,209","15,123","43,329","11,336","21,300","29,352","18,873","18,728"
2021년02월_계_연령구간인구수,"341,661","7,607","10,638","10,007","12,768","6,538","13,189","12,371","7,497","14,154","13,941","4,195","21,706","14,908","15,892","18,209","15,123","43,329","11,336","21,300","29,352","18,873","18,728"
2021년02월_계_0~9세,"24,865",271,"1,001",945,388,215,755,888,159,536,679,192,"2,246",669,827,863,724,"3,753",633,"2,436","2,499","3,053","1,133"
2021년02월_계_10~19세,"26,456",427,830,651,682,397,899,"1,029",351,823,970,250,"2,288",926,943,"1,256",922,"3,700",663,"2,674","2,960","1,483","1,332"
2021년02월_계_20~29세,"41,464",884,"1,014","1,108","1,849",783,"1,534","1,606","1,293","1,852","1,772",608,"2,252","1,968","2,149","2,354","1,859","5,219","1,425","2,158","3,861","1,973","1,943"
2021년02월_계_30~39세,"43,500",663,"1,400","1,597","1,473",566,"1,513","1,495","1,055","1,389","1,539",469,"2,810","1,537","1,911","1,738","1,578","5,670","1,373","3,066","4,065","4,604","1,989"
2021년02월_계_40~49세,"51,283",945,"1,850","1,390","1,679",849,"1,908","1,929",993,"1,705","1,962",486,"4,009","1,822","2,044","2,265","1,912","6,798","1,445","4,253","4,935","3,514","2,590"
2021년02월_계_50~59세,"56,876","1,343","1,537","1,544","2,513","1,223","2,205","2,179","1,283","2,591","2,351",736,"3,295","2,943","2,959","3,526","2,790","6,988","2,219","2,857","4,653","1,762","3,379"
2021년02월_계_60~69세,"52,015","1,430","1,442","1,455","2,294","1,288","2,145","1,708","1,248","2,675","2,474",736,"2,755","2,859","2,753","3,325","2,810","6,338","1,974","1,987","3,646","1,520","3,153"
2021년02월_계_70~79세,"30,279","1,044","1,032",878,"1,304",812,"1,458",969,740,"1,737","1,458",471,"1,411","1,508","1,560","1,898","1,721","3,214","1,117","1,288","1,903",689,"2,067"
2021년02월_계_80~89세,"13,272",535,464,391,511,370,693,500,338,757,640,223,556,610,675,892,725,"1,456",427,523,747,235,"1,004"
2021년02월_계_90~99세,"1,522",60,57,46,66,31,72,59,31,78,84,24,79,62,69,87,79,186,55,56,74,38,129
2021년02월_계_100세 이상,129,5,11,2,9,4,7,9,6,11,12,0,5,4,2,5,3,7,5,2,9,2,9
2021년02월_남_총인구수,"168,276","3,782","5,037","4,954","6,461","3,124","6,295","6,090","3,765","7,032","6,694","2,232","10,655","7,413","7,999","8,781","7,593","21,241","5,722","10,351","14,531","9,316","9,208"
2021년02월_남_연령구간인구수,"168,276","3,782","5,037","4,954","6,461","3,124","6,295","6,090","3,765","7,032","6,694","2,232","10,655","7,413","7,999","8,781","7,593","21,241","5,722","10,351","14,531","9,316","9,208"
2021년02월_남_0~9세,"12,732",146,529,502,205,108,391,460,80,303,322,87,"1,119",334,430,432,362,"1,969",314,"1,228","1,297","1,556",558
2021년02월_남_10~19세,"13,847",235,438,346,373,216,496,578,199,442,496,145,"1,166",487,498,658,498,"1,939",353,"1,320","1,525",747,692
2021년02월_남_20~29세,"22,182",497,527,554,961,447,815,868,612,"1,025",945,403,"1,219","1,084","1,172","1,289","1,015","2,788",802,"1,095","2,054",916,"1,094"
2021년02월_남_30~39세,"22,970",390,685,852,833,312,790,751,618,804,835,278,"1,354",881,"1,077",941,902,"2,879",758,"1,498","2,122","2,356","1,054"
2021년02월_남_40~49세,"26,381",517,958,713,940,433,978,923,569,886,984,277,"2,018",981,"1,104","1,139","1,050","3,482",771,"2,059","2,456","1,867","1,276"
2021년02월_남_50~59세,"27,672",697,711,754,"1,280",563,"1,037","1,089",661,"1,277","1,132",374,"1,614","1,408","1,413","1,633","1,422","3,376","1,079","1,456","2,249",793,"1,654"
2021년02월_남_60~69세,"24,173",666,619,673,"1,093",570,932,811,556,"1,222","1,097",374,"1,317","1,338","1,353","1,517","1,333","2,952",938,893,"1,698",702,"1,519"
2021년02월_남_70~79세,"13,180",430,397,397,559,337,579,405,335,752,624,203,633,675,688,833,750,"1,382",500,584,845,302,970
2021년02월_남_80~89세,"4,761",193,155,156,193,129,257,187,127,299,231,87,199,210,250,317,246,438,190,204,260,71,362
2021년02월_남_90~99세,339,11,14,7,20,7,18,14,6,20,25,4,16,14,14,22,13,34,15,14,20,6,25
2021년02월_남_100세 이상,39,0,4,0,4,2,2,4,2,2,3,0,0,1,0,0,2,2,2,0,5,0,4
2021년02월_여_총인구수,"173,385","3,825","5,601","5,053","6,307","3,414","6,894","6,281","3,732","7,122","7,247","1,963","11,051","7,495","7,893","9,428","7,530","22,088","5,614","10,949","14,821","9,557","9,520"
2021년02월_여_연령구간인구수,"173,385","3,825","5,601","5,053","6,307","3,414","6,894","6,281","3,732","7,122","7,247","1,963","11,051","7,495","7,893","9,428","7,530","22,088","5,614","10,949","14,821","9,557","9,520"
2021년02월_여_0~9세,"12,133",125,472,443,183,107,364,428,79,233,357,105,"1,127",335,397,431,362,"1,784",319,"1,208","1,202","1,497",575
2021년02월_여_10~19세,"12,609",192,392,305,309,181,403,451,152,381,474,105,"1,122",439,445,598,424,"1,761",310,"1,354","1,435",736,640
2021년02월_여_20~29세,"19,282",387,487,554,888,336,719,738,681,827,827,205,"1,033",884,977,"1,065",844,"2,431",623,"1,063","1,807","1,057",849
