,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2020년05월_계_총인구수,"62,566","19,619","9,532","14,155","5,545","9,760","3,955"
2020년05월_계_연령구간인구수,"62,566","19,619","9,532","14,155","5,545","9,760","3,955"
2020년05월_계_0~9세,"3,529","1,203",555,684,167,769,151
2020년05월_계_10~19세,"4,794","1,738",822,"1,028",331,656,219
2020년05월_계_20~29세,"6,194","2,236",847,"1,329",515,"1,014",253
2020년05월_계_30~39세,"5,917","1,970",814,"1,267",375,"1,204",287
2020년05월_계_40~49세,"8,007","2,676","1,129","1,993",567,"1,225",417
2020년05월_계_50~59세,"11,487","3,516","1,778","2,692","1,121","1,651",729
2020년05월_계_60~69세,"11,665","3,139","1,919","2,609","1,326","1,719",953
2020년05월_계_70~79세,"6,843","1,935","1,006","1,646",713,972,571
2020년05월_계_80~89세,"3,577","1,053",558,784,376,481,325
2020년05월_계_90~99세,507,137,100,113,50,60,47
2020년05월_계_100세 이상,46,16,4,10,4,9,3
2020년05월_남_총인구수,"32,175","9,976","4,888","7,210","2,885","5,185","2,031"
2020년05월_남_연령구간인구수,"32,175","9,976","4,888","7,210","2,885","5,185","2,031"
2020년05월_남_0~9세,"1,745",608,256,342,88,386,65
2020년05월_남_10~19세,"2,547",943,421,549,171,343,120
2020년05월_남_20~29세,"3,521","1,217",464,746,324,628,142
2020년05월_남_30~39세,"3,185","1,051",447,666,201,664,156
2020년05월_남_40~49세,"4,312","1,418",603,"1,069",316,657,249
2020년05월_남_50~59세,"6,098","1,862",943,"1,426",590,876,401
2020년05월_남_60~69세,"6,009","1,575",995,"1,302",690,960,487
2020년05월_남_70~79세,"3,233",867,511,771,353,457,274
2020년05월_남_80~89세,"1,374",390,222,306,141,194,121
2020년05월_남_90~99세,133,42,24,28,8,16,15
2020년05월_남_100세 이상,18,3,2,5,3,4,1
2020년05월_여_총인구수,"30,391","9,643","4,644","6,945","2,660","4,575","1,924"
2020년05월_여_연령구간인구수,"30,391","9,643","4,644","6,945","2,660","4,575","1,924"
2020년05월_여_0~9세,"1,784",595,299,342,79,383,86
2020년05월_여_10~19세,"2,247",795,401,479,160,313,99
2020년05월_여_20~29세,"2,673","1,019",383,583,191,386,111
2020년05월_여_30~39세,"2,732",919,367,601,174,540,131
2020년05월_여_40~49세,"3,695","1,258",526,924,251,568,168
2020년05월_여_50~59세,"5,389","1,654",835,"1,266",531,775,328
2020년05월_여_60~69세,"5,656","1,564",924,"1,307",636,759,466
2020년05월_여_70~79세,"3,610","1,068",495,875,360,515,297
2020년05월_여_80~89세,"2,203",663,336,478,235,287,204
2020년05월_여_90~99세,374,95,76,85,42,44,32
2020년05월_여_100세 이상,28,13,2,5,1,5,2
