,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년08월_계_총인구수,"52,455","20,956","1,995","2,932","2,292","3,497","2,488","4,561","2,349","2,598","2,231","2,727","2,656","1,173"
2020년08월_계_연령구간인구수,"52,455","20,956","1,995","2,932","2,292","3,497","2,488","4,561","2,349","2,598","2,231","2,727","2,656","1,173"
2020년08월_계_0~9세,"2,625","1,674",44,65,84,111,50,221,79,50,70,64,85,28
2020년08월_계_10~19세,"3,818","2,395",73,119,132,150,87,288,121,98,91,116,114,34
2020년08월_계_20~29세,"4,319","2,177",123,206,178,214,139,384,147,147,162,186,187,69
2020년08월_계_30~39세,"3,981","2,072",119,170,182,237,109,365,148,109,131,139,129,71
2020년08월_계_40~49세,"6,243","3,123",157,269,251,385,201,552,219,243,185,264,277,117
2020년08월_계_50~59세,"8,972","3,444",321,498,403,541,463,878,429,423,417,459,480,216
2020년08월_계_60~69세,"9,496","2,889",451,566,432,762,556,867,567,542,447,574,562,281
2020년08월_계_70~79세,"7,711","1,978",383,575,348,721,501,628,415,517,414,525,495,211
2020년08월_계_80~89세,"4,648","1,078",279,410,239,340,343,331,193,413,278,352,271,121
2020년08월_계_90~99세,606,120,41,52,42,34,37,45,28,54,33,46,50,24
2020년08월_계_100세 이상,36,6,4,2,1,2,2,2,3,2,3,2,6,1
2020년08월_남_총인구수,"26,060","10,263",966,"1,490","1,177","1,773","1,234","2,322","1,194","1,274","1,100","1,347","1,303",617
2020년08월_남_연령구간인구수,"26,060","10,263",966,"1,490","1,177","1,773","1,234","2,322","1,194","1,274","1,100","1,347","1,303",617
2020년08월_남_0~9세,"1,375",875,22,42,31,47,25,123,46,26,40,36,48,14
2020년08월_남_10~19세,"2,023","1,255",44,63,72,76,51,150,71,51,47,61,66,16
2020년08월_남_20~29세,"2,411","1,180",69,120,95,120,80,213,92,84,85,107,124,42
2020년08월_남_30~39세,"2,157","1,020",72,102,113,150,66,203,81,73,84,80,66,47
2020년08월_남_40~49세,"3,502","1,543",99,187,162,250,134,344,128,153,108,152,166,76
2020년08월_남_50~59세,"4,874","1,709",181,285,238,321,255,475,229,251,248,284,260,138
2020년08월_남_60~69세,"4,759","1,439",223,303,236,357,285,432,280,267,240,286,262,149
2020년08월_남_70~79세,"3,329",855,155,244,153,318,215,282,199,217,170,207,224,90
2020년08월_남_80~89세,"1,502",363,94,133,68,123,115,93,62,137,74,122,79,39
2020년08월_남_90~99세,125,23,7,11,9,11,8,7,6,15,3,12,7,6
2020년08월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,1,0,1,0
2020년08월_여_총인구수,"26,395","10,693","1,029","1,442","1,115","1,724","1,254","2,239","1,155","1,324","1,131","1,380","1,353",556
2020년08월_여_연령구간인구수,"26,395","10,693","1,029","1,442","1,115","1,724","1,254","2,239","1,155","1,324","1,131","1,380","1,353",556
2020년08월_여_0~9세,"1,250",799,22,23,53,64,25,98,33,24,30,28,37,14
2020년08월_여_10~19세,"1,795","1,140",29,56,60,74,36,138,50,47,44,55,48,18
2020년08월_여_20~29세,"1,908",997,54,86,83,94,59,171,55,63,77,79,63,27
2020년08월_여_30~39세,"1,824","1,052",47,68,69,87,43,162,67,36,47,59,63,24
2020년08월_여_40~49세,"2,741","1,580",58,82,89,135,67,208,91,90,77,112,111,41
2020년08월_여_50~59세,"4,098","1,735",140,213,165,220,208,403,200,172,169,175,220,78
2020년08월_여_60~69세,"4,737","1,450",228,263,196,405,271,435,287,275,207,288,300,132
2020년08월_여_70~79세,"4,382","1,123",228,331,195,403,286,346,216,300,244,318,271,121
2020년08월_여_80~89세,"3,146",715,185,277,171,217,228,238,131,276,204,230,192,82
2020년08월_여_90~99세,481,97,34,41,33,23,29,38,22,39,30,34,43,18
2020년08월_여_100세 이상,33,5,4,2,1,2,2,2,3,2,2,2,5,1
