,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년11월_계_총인구수,"209,484","4,824","2,009","2,917","9,008","2,929","2,253","3,937","13,614","3,802","3,612","2,250","3,096","1,947","2,670","23,298","6,843","15,170","5,141","9,379","19,857","3,751","9,243","14,502","36,844","6,588"
2021년11월_계_연령구간인구수,"209,484","4,824","2,009","2,917","9,008","2,929","2,253","3,937","13,614","3,802","3,612","2,250","3,096","1,947","2,670","23,298","6,843","15,170","5,141","9,379","19,857","3,751","9,243","14,502","36,844","6,588"
2021년11월_계_0~9세,"13,808",93,32,64,579,35,43,57,"2,036",318,85,45,67,60,85,"1,550",234,"1,148",231,310,"2,107",95,489,937,"2,557",551
2021년11월_계_10~19세,"18,511",201,60,109,432,92,85,113,"1,048",275,171,80,126,71,161,"2,458",511,"1,983",473,659,"2,492",156,719,"1,683","3,682",671
2021년11월_계_20~29세,"23,716",361,108,175,"1,410",158,112,236,"1,489",536,249,117,160,97,268,"2,635",810,"1,794",528,"1,038","2,409",527,"1,085","1,869","4,798",747
2021년11월_계_30~39세,"22,880",295,93,132,"1,434",150,103,170,"3,056",443,160,116,136,115,203,"2,361",579,"1,569",418,763,"3,017",262,962,"1,400","4,166",777
2021년11월_계_40~49세,"30,188",452,154,225,"1,206",194,160,294,"2,230",497,307,180,243,126,342,"3,545",906,"2,762",721,"1,125","3,634",405,"1,364","2,338","5,683","1,095"
2021년11월_계_50~59세,"36,983",994,395,575,"1,493",545,368,766,"1,556",510,701,422,531,339,461,"4,338","1,227","2,651",918,"1,680","2,975",700,"1,712","2,883","7,007","1,236"
2021년11월_계_60~69세,"34,369","1,245",619,831,"1,391",848,664,"1,157","1,249",606,941,607,913,554,548,"3,595","1,293","1,844",911,"2,043","1,979",828,"1,618","1,953","5,293",839
2021년11월_계_70~79세,"17,145",648,326,474,593,469,384,642,547,340,529,360,473,310,348,"1,727",798,880,573,"1,072",784,462,883,897,"2,232",394
