카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년05월_계_총인구수,"404,236","14,750","14,361","16,581","17,242","17,912","7,375","47,938","30,802","18,736","23,189","32,678","20,601","16,600","8,896","13,831","17,276","22,202","12,732","21,257","15,306","13,971"
2021년05월_계_연령구간인구수,"404,236","14,750","14,361","16,581","17,242","17,912","7,375","47,938","30,802","18,736","23,189","32,678","20,601","16,600","8,896","13,831","17,276","22,202","12,732","21,257","15,306","13,971"
2021년05월_계_0~9세,"26,724","1,107","1,097","1,050",620,"1,293",272,"4,015","2,088","1,086","1,586","3,179","1,246",895,439,555,782,"1,933",560,"1,195",981,745
2021년05월_계_10~19세,"31,542",923,860,"1,292",960,"1,305",345,"4,914","3,418","1,710","1,543","2,541",889,"1,070",664,856,"1,133","1,798",945,"1,883","1,317","1,176"
2021년05월_계_20~29세,"56,824","1,940","2,146","2,158","3,973","2,617",862,"6,859","4,044","2,373","3,254","3,943","4,222","2,079","1,202","1,677","2,391","2,814","1,497","2,849","2,016","1,908"
2021년05월_계_30~39세,"55,418","2,208","2,427","2,185","1,811","2,803",857,"6,394","3,117","2,124","3,521","5,774","4,301","2,066",970,"1,499","2,410","3,404","1,312","2,499","1,868","1,868"
2021년05월_계_40~49세,"63,185","2,179","2,057","2,492","2,050","2,592",945,"8,351","5,351","2,893","3,576","5,320","3,133","2,350","1,357","1,858","2,574","3,841","1,899","3,276","2,264","2,827"
2021년05월_계_50~59세,"66,832","2,412","2,278","2,701","2,600","2,776","1,278","7,814","5,532","3,356","3,793","4,758","3,133","2,822","1,482","2,352","3,054","3,290","2,292","3,898","2,665","2,546"
2021년05월_계_60~69세,"57,218","2,097","1,882","2,480","2,600","2,384","1,411","5,549","4,169","2,783","3,196","4,201","2,265","2,864","1,461","2,597","2,709","2,901","2,276","3,227","2,468","1,698"
2021년05월_계_70~79세,"31,192","1,230","1,014","1,492","1,781","1,489",907,"2,712","2,114","1,592","1,832","2,009",945,"1,648",912,"1,656","1,451","1,464","1,296","1,661","1,165",822
2021년05월_계_80~89세,"13,227",559,513,632,731,551,438,"1,164",847,704,775,824,402,698,350,681,667,651,566,679,473,322
2021년05월_계_90~99세,"1,986",90,83,97,115,89,54,164,115,111,110,118,61,107,53,99,101,103,86,88,86,56
2021년05월_계_100세 이상,88,5,4,2,1,13,6,2,7,4,3,11,4,1,6,1,4,3,3,2,3,3
2021년05월_남_총인구수,"203,564","7,463","7,209","8,312","9,329","8,987","3,868","23,786","15,330","9,234","11,587","16,591","10,805","8,392","4,494","6,911","8,646","11,070","6,176","10,378","7,511","7,485"
2021년05월_남_연령구간인구수,"203,564","7,463","7,209","8,312","9,329","8,987","3,868","23,786","15,330","9,234","11,587","16,591","10,805","8,392","4,494","6,911","8,646","11,070","6,176","10,378","7,511","7,485"
2021년05월_남_0~9세,"13,657",566,572,529,322,677,139,"2,057","1,032",533,840,"1,619",665,445,224,283,380,994,274,603,529,374
2021년05월_남_10~19세,"16,269",469,439,693,504,710,170,"2,545","1,817",881,754,"1,317",452,562,354,414,556,918,513,930,671,600
2021년05월_남_20~29세,"29,945","1,032","1,059","1,139","2,519","1,304",519,"3,458","2,140","1,291","1,649","2,026","2,093","1,148",645,914,"1,242","1,418",797,"1,506","1,026","1,020"
2021년05월_남_30~39세,"29,752","1,217","1,296","1,178","1,084","1,492",514,"3,234","1,585","1,120","1,879","3,090","2,433","1,094",535,832,"1,366","1,761",704,"1,336",948,"1,054"
2021년05월_남_40~49세,"33,428","1,191","1,142","1,277","1,177","1,346",557,"4,254","2,635","1,447","1,910","2,865","1,801","1,284",721,"1,031","1,401","2,051",967,"1,645","1,133","1,593"
2021년05월_남_50~59세,"33,679","1,226","1,138","1,374","1,354","1,413",711,"3,858","2,778","1,669","1,896","2,349","1,609","1,463",766,"1,219","1,537","1,653","1,091","1,857","1,249","1,469"
2021년05월_남_60~69세,"27,371","1,009",926,"1,187","1,240","1,130",657,"2,703","2,033","1,300","1,516","2,087","1,132","1,348",708,"1,179","1,277","1,319","1,051","1,488","1,201",880
2021년05월_남_70~79세,"14,160",535,447,689,801,698,416,"1,223",971,725,821,916,451,771,401,757,636,678,548,738,568,370
2021년05월_남_80~89세,"4,825",193,178,213,299,194,167,420,315,239,292,300,157,253,118,263,230,258,207,249,163,117
2021년05월_남_90~99세,453,24,12,33,29,19,17,34,21,28,30,18,9,24,20,18,19,20,23,26,22,7
2021년05월_남_100세 이상,25,1,0,0,0,4,1,0,3,1,0,4,3,0,2,1,2,0,1,0,1,1
2021년05월_여_총인구수,"200,672","7,287","7,152","8,269","7,913","8,925","3,507","24,152","15,472","9,502","11,602","16,087","9,796","8,208","4,402","6,920","8,630","11,132","6,556","10,879","7,795","6,486"
2021년05월_여_연령구간인구수,"200,672","7,287","7,152","8,269","7,913","8,925","3,507","24,152","15,472","9,502","11,602","16,087","9,796","8,208","4,402","6,920","8,630","11,132","6,556","10,879","7,795","6,486"
2021년05월_여_0~9세,"13,067",541,525,521,298,616,133,"1,958","1,056",553,746,"1,560",581,450,215,272,402,939,286,592,452,371
2021년05월_여_10~19세,"15,273",454,421,599,456,595,175,"2,369","1,601",829,789,"1,224",437,508,310,442,577,880,432,953,646,576
2021년05월_여_20~29세,"26,879",908,"1,087","1,019","1,454","1,313",343,"3,401","1,904","1,082","1,605","1,917","2,129",931,557,763,"1,149","1,396",700,"1,343",990,888
2021년05월_여_30~39세,"25,666",991,"1,131","1,007",727,"1,311",343,"3,160","1,532","1,004","1,642","2,684","1,868",972,435,667,"1,044","1,643",608,"1,163",920,814
