카테고리,전라남도 무안군,전라남도 무안군 무안읍,전라남도 무안군 일로읍,전라남도 무안군 삼향읍,전라남도 무안군 삼향읍남악출장소,전라남도 무안군 몽탄면,전라남도 무안군 청계면,전라남도 무안군 현경면,전라남도 무안군 망운면,전라남도 무안군 해제면,전라남도 무안군 운남면
2020년07월_계_총인구수,"81,522","10,727","6,567","5,621","34,199","3,127","6,413","4,737","2,036","5,080","3,015"
2020년07월_계_연령구간인구수,"81,522","10,727","6,567","5,621","34,199","3,127","6,413","4,737","2,036","5,080","3,015"
2020년07월_계_0~9세,"7,004",754,274,183,"5,125",47,214,120,60,135,92
2020년07월_계_10~19세,"8,790","1,128",399,324,"5,560",151,458,217,92,280,181
2020년07월_계_20~29세,"8,290","1,300",543,515,"3,860",240,708,331,160,375,258
2020년07월_계_30~39세,"9,256","1,007",407,364,"6,069",148,458,257,131,249,166
2020년07월_계_40~49세,"12,688","1,538",753,616,"7,343",271,709,446,203,519,290
2020년07월_계_50~59세,"12,447","1,859","1,177","1,169","3,743",599,"1,149",912,361,881,597
2020년07월_계_60~69세,"10,482","1,549","1,249","1,138","1,559",590,"1,230",998,485,"1,046",638
2020년07월_계_70~79세,"7,815","1,057","1,077",808,644,592,886,905,361,980,505
2020년07월_계_80~89세,"4,139",483,603,427,260,435,512,476,146,540,257
2020년07월_계_90~99세,575,52,83,71,34,53,73,74,34,73,28
2020년07월_계_100세 이상,36,0,2,6,2,1,16,1,3,2,3
2020년07월_남_총인구수,"40,886","5,349","3,310","2,947","16,874","1,551","3,299","2,383","1,052","2,567","1,554"
2020년07월_남_연령구간인구수,"40,886","5,349","3,310","2,947","16,874","1,551","3,299","2,383","1,052","2,567","1,554"
2020년07월_남_0~9세,"3,581",393,152,91,"2,595",20,113,66,34,75,42
2020년07월_남_10~19세,"4,495",589,206,154,"2,854",84,228,97,47,147,89
2020년07월_남_20~29세,"4,469",743,308,297,"1,908",136,418,190,89,244,136
2020년07월_남_30~39세,"4,742",533,243,218,"2,864",108,262,170,86,145,113
2020년07월_남_40~49세,"6,755",780,466,367,"3,612",167,427,302,131,322,181
2020년07월_남_50~59세,"6,813",974,660,679,"1,970",349,635,514,193,484,355
2020년07월_남_60~69세,"5,242",744,607,615,730,297,651,496,249,523,330
2020년07월_남_70~79세,"3,449",439,478,391,267,258,396,387,163,445,225
2020년07월_남_80~89세,"1,240",145,174,123,69,121,160,147,54,173,74
2020년07월_남_90~99세,96,9,16,11,4,11,9,14,6,9,7
2020년07월_남_100세 이상,4,0,0,1,1,0,0,0,0,0,2
2020년07월_여_총인구수,"40,636","5,378","3,257","2,674","17,325","1,576","3,114","2,354",984,"2,513","1,461"
2020년07월_여_연령구간인구수,"40,636","5,378","3,257","2,674","17,325","1,576","3,114","2,354",984,"2,513","1,461"
2020년07월_여_0~9세,"3,423",361,122,92,"2,530",27,101,54,26,60,50
2020년07월_여_10~19세,"4,295",539,193,170,"2,706",67,230,120,45,133,92
2020년07월_여_20~29세,"3,821",557,235,218,"1,952",104,290,141,71,131,122
2020년07월_여_30~39세,"4,514",474,164,146,"3,205",40,196,87,45,104,53
2020년07월_여_40~49세,"5,933",758,287,249,"3,731",104,282,144,72,197,109
2020년07월_여_50~59세,"5,634",885,517,490,"1,773",250,514,398,168,397,242
2020년07월_여_60~69세,"5,240",805,642,523,829,293,579,502,236,523,308
2020년07월_여_70~79세,"4,366",618,599,417,377,334,490,518,198,535,280
2020년07월_여_80~89세,"2,899",338,429,304,191,314,352,329,92,367,183
2020년07월_여_90~99세,479,43,67,60,30,42,64,60,28,64,21
2020년07월_여_100세 이상,32,0,2,5,1,1,16,1,3,2,1
