카테고리,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2021년05월_계_총인구수,"107,489","5,445","4,234","2,855","2,074","2,791","1,780","1,788","2,069","2,575","3,411","2,791","1,665","2,318","1,227","2,085","17,306","2,982","20,455","3,288","10,319","6,043","4,092","3,896"
2021년05월_계_연령구간인구수,"107,489","5,445","4,234","2,855","2,074","2,791","1,780","1,788","2,069","2,575","3,411","2,791","1,665","2,318","1,227","2,085","17,306","2,982","20,455","3,288","10,319","6,043","4,092","3,896"
2021년05월_계_0~9세,"6,124",239,171,57,62,71,48,36,42,77,71,51,48,84,31,55,"1,372",144,"1,578",155,956,465,186,125
2021년05월_계_10~19세,"9,463",367,271,148,75,114,73,97,84,111,142,65,66,143,53,90,"1,970",286,"2,705",261,"1,317",498,305,222
2021년05월_계_20~29세,"10,430",371,367,191,111,149,109,134,115,159,230,133,83,145,74,115,"2,173",324,"2,446",338,"1,209",610,418,426
2021년05월_계_30~39세,"8,652",366,297,137,114,196,87,84,96,141,168,167,102,113,47,94,"1,890",231,"1,827",244,"1,031",624,298,298
2021년05월_계_40~49세,"14,463",613,451,242,178,260,150,177,171,230,329,217,144,234,79,184,"3,077",469,"3,366",356,"1,721",923,473,419
2021년05월_계_50~59세,"18,228",875,826,543,343,434,259,341,328,448,569,432,260,397,242,358,"3,016",540,"3,388",526,"1,674",964,778,687
2021년05월_계_60~69세,"17,382","1,029",821,604,415,620,382,368,437,547,719,671,348,445,293,447,"1,998",424,"2,594",631,"1,236",896,759,698
2021년05월_계_70~79세,"13,208",928,573,479,416,519,371,296,409,465,618,600,327,406,228,404,"1,182",330,"1,621",489,774,710,505,558
2021년05월_계_80~89세,"8,286",575,401,396,324,375,254,214,339,347,490,392,237,311,157,291,557,208,805,240,364,291,324,394
2021년05월_계_90~99세,"1,191",78,51,56,35,51,45,40,47,47,72,59,48,37,22,47,63,25,121,47,36,60,40,64
2021년05월_계_100세 이상,62,4,5,2,1,2,2,1,1,3,3,4,2,3,1,0,8,1,4,1,1,2,6,5
2021년05월_남_총인구수,"53,394","2,676","2,140","1,430","1,069","1,394",879,905,"1,023","1,288","1,700","1,397",838,"1,193",624,"1,049","8,791","1,468","9,854","1,591","5,085","3,029","1,969","2,002"
2021년05월_남_연령구간인구수,"53,394","2,676","2,140","1,430","1,069","1,394",879,905,"1,023","1,288","1,700","1,397",838,"1,193",624,"1,049","8,791","1,468","9,854","1,591","5,085","3,029","1,969","2,002"
2021년05월_남_0~9세,"3,133",118,77,28,38,32,29,17,23,44,42,27,23,38,15,25,697,67,795,82,517,240,91,68
2021년05월_남_10~19세,"5,029",222,145,84,43,54,36,56,52,51,77,41,35,92,29,42,"1,061",143,"1,363",135,735,254,161,118
2021년05월_남_20~29세,"5,780",208,213,118,69,100,61,80,73,99,133,71,47,87,46,60,"1,221",174,"1,274",194,657,328,230,237
2021년05월_남_30~39세,"4,610",212,159,78,69,127,56,57,56,78,110,105,68,77,32,57,"1,002",113,889,120,492,323,154,176
2021년05월_남_40~49세,"7,610",353,252,144,118,177,97,107,107,143,207,149,97,134,48,115,"1,560",246,"1,567",197,807,501,246,238
2021년05월_남_50~59세,"9,846",476,462,325,212,251,151,193,200,270,328,259,151,242,142,234,"1,593",297,"1,701",256,811,500,407,385
2021년05월_남_60~69세,"8,639",510,433,316,210,315,197,186,224,284,355,324,179,240,166,234,972,219,"1,231",289,590,433,362,370
2021년05월_남_70~79세,"5,757",389,266,198,195,215,165,138,175,196,263,285,145,173,92,176,505,134,734,205,334,321,207,246
2021년05월_남_80~89세,"2,722",165,125,129,107,113,80,60,100,113,157,124,82,104,50,95,170,71,276,101,136,117,98,149
2021년05월_남_90~99세,259,23,8,10,8,9,7,11,13,10,26,12,11,6,4,11,10,4,22,12,6,11,11,14
2021년05월_남_100세 이상,9,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,2,1
2021년05월_여_총인구수,"54,095","2,769","2,094","1,425","1,005","1,397",901,883,"1,046","1,287","1,711","1,394",827,"1,125",603,"1,036","8,515","1,514","10,601","1,697","5,234","3,014","2,123","1,894"
2021년05월_여_연령구간인구수,"54,095","2,769","2,094","1,425","1,005","1,397",901,883,"1,046","1,287","1,711","1,394",827,"1,125",603,"1,036","8,515","1,514","10,601","1,697","5,234","3,014","2,123","1,894"
2021년05월_여_0~9세,"2,991",121,94,29,24,39,19,19,19,33,29,24,25,46,16,30,675,77,783,73,439,225,95,57
2021년05월_여_10~19세,"4,434",145,126,64,32,60,37,41,32,60,65,24,31,51,24,48,909,143,"1,342",126,582,244,144,104
2021년05월_여_20~29세,"4,650",163,154,73,42,49,48,54,42,60,97,62,36,58,28,55,952,150,"1,172",144,552,282,188,189
2021년05월_여_30~39세,"4,042",154,138,59,45,69,31,27,40,63,58,62,34,36,15,37,888,118,938,124,539,301,144,122
2021년05월_여_40~49세,"6,853",260,199,98,60,83,53,70,64,87,122,68,47,100,31,69,"1,517",223,"1,799",159,914,422,227,181
2021년05월_여_50~59세,"8,382",399,364,218,131,183,108,148,128,178,241,173,109,155,100,124,"1,423",243,"1,687",270,863,464,371,302
2021년05월_여_60~69세,"8,743",519,388,288,205,305,185,182,213,263,364,347,169,205,127,213,"1,026",205,"1,363",342,646,463,397,328
2021년05월_여_70~79세,"7,451",539,307,281,221,304,206,158,234,269,355,315,182,233,136,228,677,196,887,284,440,389,298,312
2021년05월_여_80~89세,"5,564",410,276,267,217,262,174,154,239,234,333,268,155,207,107,196,387,137,529,139,228,174,226,245
2021년05월_여_90~99세,932,55,43,46,27,42,38,29,34,37,46,47,37,31,18,36,53,21,99,35,30,49,29,50
2021년05월_여_100세 이상,53,4,5,2,1,1,2,1,1,3,1,4,2,3,1,0,8,1,2,1,1,1,4,4
