카테고리,충청남도 금산군,충청남도 금산군 금산읍,충청남도 금산군 금성면,충청남도 금산군 제원면,충청남도 금산군 부리면,충청남도 금산군 군북면,충청남도 금산군 남일면,충청남도 금산군 남이면,충청남도 금산군 진산면,충청남도 금산군 복수면,충청남도 금산군 추부면
2021년08월_계_총인구수,"50,783","22,517","3,278","2,782","2,463","2,518","2,844","2,110","3,237","3,017","6,017"
2021년08월_계_연령구간인구수,"50,783","22,517","3,278","2,782","2,463","2,518","2,844","2,110","3,237","3,017","6,017"
2021년08월_계_0~9세,"2,399","1,536",85,75,65,120,80,54,73,77,234
2021년08월_계_10~19세,"4,199","2,452",148,97,73,137,381,149,216,142,404
2021년08월_계_20~29세,"3,814","2,117",202,174,98,125,156,103,172,191,476
2021년08월_계_30~39세,"3,458","1,956",188,141,110,143,108,70,148,178,416
2021년08월_계_40~49세,"6,035","3,493",284,225,170,237,239,155,279,283,670
2021년08월_계_50~59세,"8,868","3,754",600,480,389,418,417,408,643,554,"1,205"
2021년08월_계_60~69세,"10,314","3,529",772,740,660,592,620,508,740,764,"1,389"
2021년08월_계_70~79세,"6,805","2,370",539,460,453,423,450,365,556,488,701
2021년08월_계_80~89세,"4,308","1,168",387,342,390,286,352,268,366,293,456
2021년08월_계_90~99세,573,139,71,48,53,37,40,30,44,47,64
2021년08월_계_100세 이상,10,3,2,0,2,0,1,0,0,0,2
2021년08월_남_총인구수,"25,632","11,051","1,697","1,454","1,236","1,256","1,444","1,087","1,625","1,583","3,199"
2021년08월_남_연령구간인구수,"25,632","11,051","1,697","1,454","1,236","1,256","1,444","1,087","1,625","1,583","3,199"
2021년08월_남_0~9세,"1,219",758,52,42,32,54,45,27,44,38,127
2021년08월_남_10~19세,"2,185","1,246",81,63,34,71,187,80,121,81,221
2021년08월_남_20~29세,"2,203","1,198",129,108,54,71,100,66,84,113,280
2021년08월_남_30~39세,"1,825",986,106,84,73,81,52,34,69,86,254
2021년08월_남_40~49세,"3,310","1,812",162,146,110,129,142,92,157,176,384
2021년08월_남_50~59세,"4,906","1,930",356,276,247,250,250,234,371,320,672
2021년08월_남_60~69세,"5,293","1,678",400,387,339,313,333,286,396,413,748
2021년08월_남_70~79세,"3,129","1,006",259,229,211,190,211,168,258,248,349
2021년08월_남_80~89세,"1,426",409,134,107,122,90,112,95,115,96,146
2021년08월_남_90~99세,135,28,17,12,14,7,12,5,10,12,18
2021년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"25,151","11,466","1,581","1,328","1,227","1,262","1,400","1,023","1,612","1,434","2,818"
2021년08월_여_연령구간인구수,"25,151","11,466","1,581","1,328","1,227","1,262","1,400","1,023","1,612","1,434","2,818"
2021년08월_여_0~9세,"1,180",778,33,33,33,66,35,27,29,39,107
2021년08월_여_10~19세,"2,014","1,206",67,34,39,66,194,69,95,61,183
2021년08월_여_20~29세,"1,611",919,73,66,44,54,56,37,88,78,196
2021년08월_여_30~39세,"1,633",970,82,57,37,62,56,36,79,92,162
2021년08월_여_40~49세,"2,725","1,681",122,79,60,108,97,63,122,107,286
2021년08월_여_50~59세,"3,962","1,824",244,204,142,168,167,174,272,234,533
2021년08월_여_60~69세,"5,021","1,851",372,353,321,279,287,222,344,351,641
2021년08월_여_70~79세,"3,676","1,364",280,231,242,233,239,197,298,240,352
2021년08월_여_80~89세,"2,882",759,253,235,268,196,240,173,251,197,310
2021년08월_여_90~99세,438,111,54,36,39,30,28,25,34,35,46
2021년08월_여_100세 이상,9,3,1,0,2,0,1,0,0,0,2
