,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2021년11월_계_총인구수,"114,662","7,990","13,362","4,042","4,147","2,957","3,502","3,524","6,058","2,415","6,172","3,376","3,995","2,164","34,950","16,008"
2021년11월_계_연령구간인구수,"114,662","7,990","13,362","4,042","4,147","2,957","3,502","3,524","6,058","2,415","6,172","3,376","3,995","2,164","34,950","16,008"
2021년11월_계_0~9세,"6,801",279,867,112,98,101,62,81,181,59,383,61,119,60,"3,178","1,160"
2021년11월_계_10~19세,"9,471",616,"1,053",168,238,141,155,160,317,107,396,123,206,129,"3,894","1,768"
2021년11월_계_20~29세,"10,828",665,"1,207",261,257,203,205,223,356,110,418,212,401,135,"4,467","1,708"
2021년11월_계_30~39세,"10,241",493,"1,232",221,245,213,199,210,329,113,551,162,266,108,"4,427","1,472"
2021년11월_계_40~49세,"14,683",922,"1,631",320,383,273,357,323,502,207,597,270,418,185,"5,808","2,487"
2021년11월_계_50~59세,"19,263","1,391","2,068",649,699,472,656,621,"1,164",422,"1,048",592,704,343,"5,565","2,869"
2021년11월_계_60~69세,"20,899","1,709","2,481",970,997,646,869,886,"1,556",628,"1,214",883,868,537,"4,227","2,428"
2021년11월_계_70~79세,"12,886","1,173","1,591",707,694,494,533,553,926,428,849,590,550,363,"2,128","1,307"
2021년11월_계_80~89세,"8,316",642,"1,061",570,482,355,400,397,623,284,619,421,384,256,"1,101",721
2021년11월_계_90~99세,"1,237",99,166,62,53,56,63,66,100,56,97,61,74,48,148,88
2021년11월_계_100세 이상,37,1,5,2,1,3,3,4,4,1,0,1,5,0,7,0
2021년11월_남_총인구수,"57,269","3,944","6,666","2,041","2,090","1,500","1,760","1,793","3,128","1,229","3,134","1,715","2,119","1,034","17,376","7,740"
2021년11월_남_연령구간인구수,"57,269","3,944","6,666","2,041","2,090","1,500","1,760","1,793","3,128","1,229","3,134","1,715","2,119","1,034","17,376","7,740"
2021년11월_남_0~9세,"3,459",149,446,56,46,52,33,43,94,28,202,36,64,31,"1,593",586
2021년11월_남_10~19세,"4,891",311,539,89,119,77,87,75,176,65,230,66,93,61,"1,998",905
2021년11월_남_20~29세,"6,041",383,690,157,148,123,120,121,216,59,238,123,244,70,"2,401",948
2021년11월_남_30~39세,"5,443",271,671,135,141,123,101,118,177,74,292,101,177,58,"2,272",732
2021년11월_남_40~49세,"7,769",489,889,219,239,159,197,200,286,119,319,153,273,105,"2,900","1,222"
2021년11월_남_50~59세,"10,210",729,"1,113",346,394,282,365,359,637,249,565,328,409,193,"2,806","1,435"
2021년11월_남_60~69세,"10,528",839,"1,244",502,524,316,452,464,849,323,643,470,467,270,"2,048","1,117"
2021년11월_남_70~79세,"5,828",508,702,312,325,244,254,264,453,202,388,275,255,158,945,543
2021년11월_남_80~89세,"2,786",238,332,206,141,113,130,136,213,95,230,146,121,75,372,238
2021년11월_남_90~99세,307,26,40,19,13,11,21,12,27,15,27,16,15,13,38,14
2021년11월_남_100세 이상,7,1,0,0,0,0,0,1,0,0,0,1,1,0,3,0
2021년11월_여_총인구수,"57,393","4,046","6,696","2,001","2,057","1,457","1,742","1,731","2,930","1,186","3,038","1,661","1,876","1,130","17,574","8,268"
2021년11월_여_연령구간인구수,"57,393","4,046","6,696","2,001","2,057","1,457","1,742","1,731","2,930","1,186","3,038","1,661","1,876","1,130","17,574","8,268"
2021년11월_여_0~9세,"3,342",130,421,56,52,49,29,38,87,31,181,25,55,29,"1,585",574
2021년11월_여_10~19세,"4,580",305,514,79,119,64,68,85,141,42,166,57,113,68,"1,896",863
2021년11월_여_20~29세,"4,787",282,517,104,109,80,85,102,140,51,180,89,157,65,"2,066",760
2021년11월_여_30~39세,"4,798",222,561,86,104,90,98,92,152,39,259,61,89,50,"2,155",740
2021년11월_여_40~49세,"6,914",433,742,101,144,114,160,123,216,88,278,117,145,80,"2,908","1,265"
2021년11월_여_50~59세,"9,053",662,955,303,305,190,291,262,527,173,483,264,295,150,"2,759","1,434"
2021년11월_여_60~69세,"10,371",870,"1,237",468,473,330,417,422,707,305,571,413,401,267,"2,179","1,311"
2021년11월_여_70~79세,"7,058",665,889,395,369,250,279,289,473,226,461,315,295,205,"1,183",764
2021년11월_여_80~89세,"5,530",404,729,364,341,242,270,261,410,189,389,275,263,181,729,483
2021년11월_여_90~99세,930,73,126,43,40,45,42,54,73,41,70,45,59,35,110,74
2021년11월_여_100세 이상,30,0,5,2,1,3,3,3,4,1,0,0,4,0,4,0
