카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년10월_계_총인구수,"23,351","8,243","2,325","3,764","2,040","2,022","2,405","1,198","1,354"
2020년10월_계_연령구간인구수,"23,351","8,243","2,325","3,764","2,040","2,022","2,405","1,198","1,354"
2020년10월_계_0~9세,696,431,40,89,38,20,44,17,17
2020년10월_계_10~19세,987,594,54,131,54,43,65,23,23
2020년10월_계_20~29세,"1,524",717,114,260,137,111,95,32,58
2020년10월_계_30~39세,"1,347",655,110,186,96,82,110,51,57
2020년10월_계_40~49세,"2,179","1,104",149,300,147,146,172,78,83
2020년10월_계_50~59세,"4,340","1,515",458,703,415,364,413,210,262
2020년10월_계_60~69세,"5,314","1,471",545,975,507,511,600,314,391
2020년10월_계_70~79세,"4,030","1,056",452,683,365,407,515,265,287
2020년10월_계_80~89세,"2,594",616,357,394,242,304,349,183,149
2020년10월_계_90~99세,324,77,43,42,39,31,40,25,27
2020년10월_계_100세 이상,16,7,3,1,0,3,2,0,0
2020년10월_남_총인구수,"11,923","4,265","1,190","1,931","1,042","1,015","1,160",606,714
2020년10월_남_연령구간인구수,"11,923","4,265","1,190","1,931","1,042","1,015","1,160",606,714
2020년10월_남_0~9세,372,235,19,50,23,8,15,11,11
2020년10월_남_10~19세,537,332,30,60,35,20,34,11,15
2020년10월_남_20~29세,923,431,67,161,88,66,53,23,34
2020년10월_남_30~39세,770,360,61,99,60,53,64,35,38
2020년10월_남_40~49세,"1,287",595,97,191,87,102,113,52,50
2020년10월_남_50~59세,"2,445",833,265,396,236,202,231,131,151
2020년10월_남_60~69세,"2,792",753,296,531,257,269,293,164,229
2020년10월_남_70~79세,"1,847",494,209,313,164,186,230,116,135
2020년10월_남_80~89세,884,213,135,124,83,101,120,58,50
2020년10월_남_90~99세,65,18,11,6,9,8,7,5,1
2020년10월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년10월_여_총인구수,"11,428","3,978","1,135","1,833",998,"1,007","1,245",592,640
2020년10월_여_연령구간인구수,"11,428","3,978","1,135","1,833",998,"1,007","1,245",592,640
2020년10월_여_0~9세,324,196,21,39,15,12,29,6,6
2020년10월_여_10~19세,450,262,24,71,19,23,31,12,8
2020년10월_여_20~29세,601,286,47,99,49,45,42,9,24
2020년10월_여_30~39세,577,295,49,87,36,29,46,16,19
2020년10월_여_40~49세,892,509,52,109,60,44,59,26,33
2020년10월_여_50~59세,"1,895",682,193,307,179,162,182,79,111
2020년10월_여_60~69세,"2,522",718,249,444,250,242,307,150,162
2020년10월_여_70~79세,"2,183",562,243,370,201,221,285,149,152
2020년10월_여_80~89세,"1,710",403,222,270,159,203,229,125,99
2020년10월_여_90~99세,259,59,32,36,30,23,33,20,26
2020년10월_여_100세 이상,15,6,3,1,0,3,2,0,0
