,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 문무대왕면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2021년04월_계_총인구수,"252,869","5,429","24,594","9,429","21,646",0,"4,281","6,290","4,712","3,250","3,195","21,703","6,202","5,705","5,178","6,425","13,856","4,670","14,750","5,833","23,430","28,449","22,380","9,727","1,735"
2021년04월_계_연령구간인구수,"252,869","5,429","24,594","9,429","21,646",0,"4,281","6,290","4,712","3,250","3,195","21,703","6,202","5,705","5,178","6,425","13,856","4,670","14,750","5,833","23,430","28,449","22,380","9,727","1,735"
2021년04월_계_0~9세,"15,976",142,"1,126",332,"1,346",0,217,269,95,52,61,"2,372",188,278,203,169,428,90,"1,140",357,"2,826","2,421","1,177",640,47
2021년04월_계_10~19세,"20,589",229,"1,997",515,"1,192",0,186,319,200,87,132,"2,399",317,316,313,312,819,193,"1,645",328,"2,582","3,616","2,204",599,89
2021년04월_계_20~29세,"26,372",350,"2,268",710,"2,147",0,450,596,272,128,169,"2,259",479,517,533,613,"1,950",351,"1,888",467,"2,584","3,697","2,946",821,177
2021년04월_계_30~39세,"25,061",324,"1,710",658,"2,555",0,454,505,250,126,154,"2,957",353,584,485,534,"1,257",273,"1,437",511,"3,306","3,147","2,265","1,097",119
2021년04월_계_40~49세,"36,451",610,"3,296","1,023","2,958",0,370,709,402,190,288,"3,777",710,706,635,738,"1,778",488,"2,516",741,"4,241","5,170","3,570","1,331",204
2021년04월_계_50~59세,"46,652",985,"4,976","1,675","4,335",0,661,"1,300",859,572,554,"3,594","1,236","1,040",854,"1,138","2,353",823,"2,795","1,015","3,981","5,398","4,451","1,739",318
2021년04월_계_60~69세,"42,083","1,256","4,456","2,085","3,837",0,846,"1,361","1,152","1,014",766,"2,482","1,360","1,100","1,049","1,433","2,684","1,069","1,839","1,131","2,415","3,098","3,476","1,783",391
2021년04월_계_70~79세,"24,634",932,"2,926","1,464","1,998",0,604,739,822,646,649,"1,161",904,728,739,980,"1,814",802,938,788,941,"1,204","1,548","1,055",252
2021년04월_계_80~89세,"13,223",523,"1,645",861,"1,110",0,424,410,587,386,375,621,570,390,337,446,681,513,486,427,479,603,662,568,119
2021년04월_계_90~99세,"1,762",74,184,101,163,0,65,80,70,49,45,79,83,45,30,60,90,59,65,66,71,94,79,92,18
2021년04월_계_100세 이상,66,4,10,5,5,0,4,2,3,0,2,2,2,1,0,2,2,9,1,2,4,1,2,2,1
2021년04월_남_총인구수,"126,589","2,728","12,176","4,789","11,437",0,"2,240","3,340","2,366","1,606","1,589","10,715","3,143","2,972","2,567","3,111","6,876","2,315","7,391","2,875","11,589","13,930","11,177","4,800",857
2021년04월_남_연령구간인구수,"126,589","2,728","12,176","4,789","11,437",0,"2,240","3,340","2,366","1,606","1,589","10,715","3,143","2,972","2,567","3,111","6,876","2,315","7,391","2,875","11,589","13,930","11,177","4,800",857
2021년04월_남_0~9세,"8,167",75,584,179,683,0,116,140,53,29,26,"1,249",84,139,100,75,241,47,583,180,"1,433","1,206",600,324,21
2021년04월_남_10~19세,"10,753",121,"1,015",284,644,0,116,160,103,48,92,"1,210",161,157,178,169,430,93,869,178,"1,316","1,909","1,158",301,41
2021년04월_남_20~29세,"14,877",220,"1,290",447,"1,232",0,287,395,159,77,101,"1,206",276,293,292,339,"1,111",212,"1,049",281,"1,435","2,003","1,652",433,87
2021년04월_남_30~39세,"13,374",188,924,382,"1,500",0,270,298,154,62,86,"1,476",208,325,277,304,737,165,751,250,"1,627","1,512","1,235",572,71
2021년04월_남_40~49세,"18,982",385,"1,720",597,"1,729",0,240,422,235,112,169,"1,847",410,408,350,413,966,274,"1,217",402,"2,103","2,378","1,771",722,112
2021년04월_남_50~59세,"24,125",560,"2,577",896,"2,355",0,383,744,479,304,324,"1,787",691,582,429,592,"1,166",461,"1,432",536,"1,914","2,662","2,162",916,173
2021년04월_남_60~69세,"20,770",619,"2,191","1,043","2,011",0,441,679,609,523,368,"1,208",712,578,477,648,"1,171",539,900,538,"1,214","1,565","1,672",863,201
2021년04월_남_70~79세,"11,004",376,"1,313",651,939,0,263,351,384,309,283,535,415,349,332,398,789,345,410,358,403,515,695,478,113
2021년04월_남_80~89세,"4,188",169,524,290,312,0,114,134,173,134,132,189,164,129,127,160,250,163,170,136,130,167,212,174,35
2021년04월_남_90~99세,334,14,37,19,30,0,9,17,16,8,7,6,22,12,5,13,14,13,10,16,14,13,19,17,3
2021년04월_남_100세 이상,15,1,1,1,2,0,1,0,1,0,1,2,0,0,0,0,1,3,0,0,0,0,1,0,0
2021년04월_여_총인구수,"126,280","2,701","12,418","4,640","10,209",0,"2,041","2,950","2,346","1,644","1,606","10,988","3,059","2,733","2,611","3,314","6,980","2,355","7,359","2,958","11,841","14,519","11,203","4,927",878
2021년04월_여_연령구간인구수,"126,280","2,701","12,418","4,640","10,209",0,"2,041","2,950","2,346","1,644","1,606","10,988","3,059","2,733","2,611","3,314","6,980","2,355","7,359","2,958","11,841","14,519","11,203","4,927",878
2021년04월_여_0~9세,"7,809",67,542,153,663,0,101,129,42,23,35,"1,123",104,139,103,94,187,43,557,177,"1,393","1,215",577,316,26
2021년04월_여_10~19세,"9,836",108,982,231,548,0,70,159,97,39,40,"1,189",156,159,135,143,389,100,776,150,"1,266","1,707","1,046",298,48
2021년04월_여_20~29세,"11,495",130,978,263,915,0,163,201,113,51,68,"1,053",203,224,241,274,839,139,839,186,"1,149","1,694","1,294",388,90
2021년04월_여_30~39세,"11,687",136,786,276,"1,055",0,184,207,96,64,68,"1,481",145,259,208,230,520,108,686,261,"1,679","1,635","1,030",525,48
2021년04월_여_40~49세,"17,469",225,"1,576",426,"1,229",0,130,287,167,78,119,"1,930",300,298,285,325,812,214,"1,299",339,"2,138","2,792","1,799",609,92
2021년04월_여_50~59세,"22,527",425,"2,399",779,"1,980",0,278,556,380,268,230,"1,807",545,458,425,546,"1,187",362,"1,363",479,"2,067","2,736","2,289",823,145
2021년04월_여_60~69세,"21,313",637,"2,265","1,042","1,826",0,405,682,543,491,398,"1,274",648,522,572,785,"1,513",530,939,593,"1,201","1,533","1,804",920,190
2021년04월_여_70~79세,"13,630",556,"1,613",813,"1,059",0,341,388,438,337,366,626,489,379,407,582,"1,025",457,528,430,538,689,853,577,139
2021년04월_여_80~89세,"9,035",354,"1,121",571,798,0,310,276,414,252,243,432,406,261,210,286,431,350,316,291,349,436,450,394,84
2021년04월_여_90~99세,"1,428",60,147,82,133,0,56,63,54,41,38,73,61,33,25,47,76,46,55,50,57,81,60,75,15
2021년04월_여_100세 이상,51,3,9,4,3,0,3,2,2,0,1,0,2,1,0,2,1,6,1,2,4,1,1,2,1
