,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년02월_계_총인구수,"102,917","10,642","2,368","1,448","1,968","2,207","3,027","2,743","2,012","1,901","3,103","7,729","6,295","4,037","3,564","6,629","8,238","7,995","19,024","7,987"
2021년02월_계_연령구간인구수,"102,917","10,642","2,368","1,448","1,968","2,207","3,027","2,743","2,012","1,901","3,103","7,729","6,295","4,037","3,564","6,629","8,238","7,995","19,024","7,987"
2021년02월_계_0~9세,"6,029",461,59,24,54,55,87,71,35,25,53,473,344,161,173,492,431,438,"2,062",531
2021년02월_계_10~19세,"8,795",705,100,55,88,102,126,133,75,63,116,928,602,293,248,846,632,698,"2,179",806
2021년02월_계_20~29세,"9,575",924,186,85,139,165,196,165,133,104,131,738,621,309,289,702,945,936,"1,948",859
2021년02월_계_30~39세,"8,404",731,116,49,106,115,154,123,85,82,135,578,469,287,252,515,688,632,"2,514",773
2021년02월_계_40~49세,"13,830","1,223",185,97,171,182,268,256,135,155,208,"1,253",872,479,419,"1,141","1,055","1,050","3,452","1,229"
2021년02월_계_50~59세,"17,840","1,873",480,257,335,368,494,514,364,349,573,"1,331","1,160",677,622,"1,213","1,550","1,595","2,696","1,389"
2021년02월_계_60~69세,"18,559","2,305",557,344,462,518,732,710,561,468,846,"1,169","1,066",872,748,845,"1,493","1,417","2,203","1,243"
2021년02월_계_70~79세,"11,849","1,451",346,289,311,371,529,456,341,333,584,775,728,576,529,556,948,783,"1,250",693
2021년02월_계_80~89세,"6,924",812,294,208,248,269,379,268,241,278,393,409,384,342,248,282,439,382,637,411
2021년02월_계_90~99세,"1,051",144,44,37,51,59,61,40,40,43,60,73,45,38,35,35,53,63,80,50
2021년02월_계_100세 이상,61,13,1,3,3,3,1,7,2,1,4,2,4,3,1,2,4,1,3,3
2021년02월_남_총인구수,"51,011","5,240","1,219",731,"1,001","1,116","1,536","1,392","1,011",950,"1,536","3,865","3,009","1,954","1,711","3,294","4,066","3,981","9,555","3,844"
2021년02월_남_연령구간인구수,"51,011","5,240","1,219",731,"1,001","1,116","1,536","1,392","1,011",950,"1,536","3,865","3,009","1,954","1,711","3,294","4,066","3,981","9,555","3,844"
2021년02월_남_0~9세,"3,110",238,28,17,27,30,44,31,19,13,29,246,177,94,101,245,202,222,"1,071",276
2021년02월_남_10~19세,"4,605",359,49,26,48,52,69,67,41,35,60,494,305,138,141,450,350,381,"1,116",424
2021년02월_남_20~29세,"5,623",575,119,59,87,101,120,100,89,75,76,455,348,183,160,425,532,557,"1,112",450
2021년02월_남_30~39세,"4,492",385,67,27,66,75,104,69,53,51,79,302,254,152,130,257,389,344,"1,284",404
2021년02월_남_40~49세,"7,157",658,105,65,104,107,172,157,76,96,135,613,425,249,207,548,541,505,"1,783",611
2021년02월_남_50~59세,"9,106",927,271,142,181,198,257,269,190,183,304,699,593,370,314,626,732,794,"1,396",660
2021년02월_남_60~69세,"8,898","1,137",291,178,252,271,376,361,289,253,421,554,477,387,324,376,685,657,"1,025",584
2021년02월_남_70~79세,"5,349",642,173,138,143,174,253,232,159,149,280,343,286,249,236,258,438,369,524,303
2021년02월_남_80~89세,"2,430",286,105,68,83,96,130,92,88,85,138,153,131,119,91,96,182,136,227,124
2021년02월_남_90~99세,230,30,11,11,10,12,11,12,6,9,13,6,12,13,7,13,14,16,16,8
2021년02월_남_100세 이상,11,3,0,0,0,0,0,2,1,1,1,0,1,0,0,0,1,0,1,0
2021년02월_여_총인구수,"51,906","5,402","1,149",717,967,"1,091","1,491","1,351","1,001",951,"1,567","3,864","3,286","2,083","1,853","3,335","4,172","4,014","9,469","4,143"
2021년02월_여_연령구간인구수,"51,906","5,402","1,149",717,967,"1,091","1,491","1,351","1,001",951,"1,567","3,864","3,286","2,083","1,853","3,335","4,172","4,014","9,469","4,143"
2021년02월_여_0~9세,"2,919",223,31,7,27,25,43,40,16,12,24,227,167,67,72,247,229,216,991,255
2021년02월_여_10~19세,"4,190",346,51,29,40,50,57,66,34,28,56,434,297,155,107,396,282,317,"1,063",382
2021년02월_여_20~29세,"3,952",349,67,26,52,64,76,65,44,29,55,283,273,126,129,277,413,379,836,409
2021년02월_여_30~39세,"3,912",346,49,22,40,40,50,54,32,31,56,276,215,135,122,258,299,288,"1,230",369
2021년02월_여_40~49세,"6,673",565,80,32,67,75,96,99,59,59,73,640,447,230,212,593,514,545,"1,669",618
2021년02월_여_50~59세,"8,734",946,209,115,154,170,237,245,174,166,269,632,567,307,308,587,818,801,"1,300",729
2021년02월_여_60~69세,"9,661","1,168",266,166,210,247,356,349,272,215,425,615,589,485,424,469,808,760,"1,178",659
2021년02월_여_70~79세,"6,500",809,173,151,168,197,276,224,182,184,304,432,442,327,293,298,510,414,726,390
2021년02월_여_80~89세,"4,494",526,189,140,165,173,249,176,153,193,255,256,253,223,157,186,257,246,410,287
2021년02월_여_90~99세,821,114,33,26,41,47,50,28,34,34,47,67,33,25,28,22,39,47,64,42
2021년02월_여_100세 이상,50,10,1,3,3,3,1,5,1,0,3,2,3,3,1,2,3,1,2,3
