,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년03월_계_총인구수,"277,431","7,720","6,440","45,794","16,430","19,496","25,621","29,047","8,619","19,200","4,062","3,691","43,044","48,267"
2020년03월_계_연령구간인구수,"277,431","7,720","6,440","45,794","16,430","19,496","25,621","29,047","8,619","19,200","4,062","3,691","43,044","48,267"
2020년03월_계_0~9세,"29,853",366,315,"3,994",997,"1,127","2,218","4,634","1,045","2,619",139,178,"4,954","7,267"
2020년03월_계_10~19세,"23,988",437,405,"4,052","1,196","1,307","2,638","2,758",653,"1,748",206,201,"3,522","4,865"
2020년03월_계_20~29세,"33,203",986,968,"5,228","2,236","2,575","3,060","3,139",853,"2,255",481,462,"6,855","4,105"
2020년03월_계_30~39세,"47,552","1,009",978,"6,864","2,338","2,923","3,480","5,569","1,651","3,475",443,445,"9,851","8,526"
2020년03월_계_40~49세,"48,463","1,028",874,"7,335","2,362","2,644","4,450","5,552","1,368","3,644",577,495,"7,984","10,150"
2020년03월_계_50~59세,"40,603","1,504","1,246","7,248","3,031","3,627","4,149","3,660","1,329","2,860",811,765,"4,578","5,795"
2020년03월_계_60~69세,"32,324","1,455",952,"6,479","2,580","3,200","3,256","2,325",997,"1,808",768,692,"3,248","4,564"
2020년03월_계_70~79세,"15,029",622,480,"3,319","1,196","1,451","1,664",891,463,590,396,305,"1,479","2,173"
2020년03월_계_80~89세,"5,352",259,192,"1,086",419,537,603,383,219,161,202,133,477,681
2020년03월_계_90~99세,954,46,24,175,62,96,96,110,31,38,32,13,94,137
2020년03월_계_100세 이상,110,8,6,14,13,9,7,26,10,2,7,2,2,4
2020년03월_남_총인구수,"139,324","4,215","3,317","22,592","8,317","9,804","12,753","14,462","4,485","9,359","2,281","2,103","21,853","23,783"
2020년03월_남_연령구간인구수,"139,324","4,215","3,317","22,592","8,317","9,804","12,753","14,462","4,485","9,359","2,281","2,103","21,853","23,783"
2020년03월_남_0~9세,"15,223",181,160,"1,994",519,587,"1,159","2,355",530,"1,290",68,96,"2,568","3,716"
2020년03월_남_10~19세,"12,278",231,214,"2,117",648,658,"1,367","1,405",340,850,111,103,"1,778","2,456"
2020년03월_남_20~29세,"17,050",562,515,"2,698","1,195","1,399","1,649","1,586",458,"1,124",269,259,"3,266","2,070"
2020년03월_남_30~39세,"23,919",598,571,"3,486","1,266","1,594","1,785","2,597",839,"1,539",277,278,"5,179","3,910"
2020년03월_남_40~49세,"25,506",614,475,"3,695","1,240","1,363","2,201","2,927",755,"1,884",366,316,"4,323","5,347"
2020년03월_남_50~59세,"20,023",844,636,"3,424","1,420","1,776","1,998","1,804",687,"1,359",485,438,"2,332","2,820"
2020년03월_남_60~69세,"15,723",775,460,"3,084","1,246","1,563","1,542","1,145",547,930,421,398,"1,470","2,142"
2020년03월_남_70~79세,"7,487",306,210,"1,625",599,689,799,480,235,324,192,159,762,"1,107"
2020년03월_남_80~89세,"1,867",91,70,419,166,159,228,130,76,49,86,52,153,188
2020년03월_남_90~99세,218,11,4,46,15,13,24,23,15,10,5,4,22,26
2020년03월_남_100세 이상,30,2,2,4,3,3,1,10,3,0,1,0,0,1
2020년03월_여_총인구수,"138,107","3,505","3,123","23,202","8,113","9,692","12,868","14,585","4,134","9,841","1,781","1,588","21,191","24,484"
2020년03월_여_연령구간인구수,"138,107","3,505","3,123","23,202","8,113","9,692","12,868","14,585","4,134","9,841","1,781","1,588","21,191","24,484"
2020년03월_여_0~9세,"14,630",185,155,"2,000",478,540,"1,059","2,279",515,"1,329",71,82,"2,386","3,551"
2020년03월_여_10~19세,"11,710",206,191,"1,935",548,649,"1,271","1,353",313,898,95,98,"1,744","2,409"
2020년03월_여_20~29세,"16,153",424,453,"2,530","1,041","1,176","1,411","1,553",395,"1,131",212,203,"3,589","2,035"
2020년03월_여_30~39세,"23,633",411,407,"3,378","1,072","1,329","1,695","2,972",812,"1,936",166,167,"4,672","4,616"
2020년03월_여_40~49세,"22,957",414,399,"3,640","1,122","1,281","2,249","2,625",613,"1,760",211,179,"3,661","4,803"
2020년03월_여_50~59세,"20,580",660,610,"3,824","1,611","1,851","2,151","1,856",642,"1,501",326,327,"2,246","2,975"
2020년03월_여_60~69세,"16,601",680,492,"3,395","1,334","1,637","1,714","1,180",450,878,347,294,"1,778","2,422"
2020년03월_여_70~79세,"7,542",316,270,"1,694",597,762,865,411,228,266,204,146,717,"1,066"
2020년03월_여_80~89세,"3,485",168,122,667,253,378,375,253,143,112,116,81,324,493
2020년03월_여_90~99세,736,35,20,129,47,83,72,87,16,28,27,9,72,111
2020년03월_여_100세 이상,80,6,4,10,10,6,6,16,7,2,6,2,2,3
