카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년04월_계_총인구수,"68,688","34,736","4,600","2,373","2,366","3,778","3,914","5,965","3,788","3,923","3,245"
2020년04월_계_연령구간인구수,"68,688","34,736","4,600","2,373","2,366","3,778","3,914","5,965","3,788","3,923","3,245"
2020년04월_계_0~9세,"3,897","2,770",126,35,49,137,89,359,92,121,119
2020년04월_계_10~19세,"5,326","3,672",163,91,109,209,162,419,140,193,168
2020년04월_계_20~29세,"6,520","3,988",344,148,126,279,247,665,256,287,180
2020년04월_계_30~39세,"6,221","3,997",317,96,96,210,205,573,257,266,204
2020년04월_계_40~49세,"8,381","5,380",391,167,196,341,346,555,355,356,294
2020년04월_계_50~59세,"12,949","6,013",856,477,499,828,798,"1,036",772,865,805
2020년04월_계_60~69세,"13,170","4,830","1,191",647,656,913,"1,051","1,150","1,013",915,804
2020년04월_계_70~79세,"7,321","2,533",705,415,378,494,604,686,556,527,423
2020년04월_계_80~89세,"4,269","1,347",424,255,233,324,366,464,292,350,214
2020년04월_계_90~99세,594,190,79,42,24,40,39,57,52,38,33
2020년04월_계_100세 이상,40,16,4,0,0,3,7,1,3,5,1
2020년04월_남_총인구수,"35,194","17,476","2,398","1,176","1,239","1,929","2,022","3,170","1,991","2,067","1,726"
2020년04월_남_연령구간인구수,"35,194","17,476","2,398","1,176","1,239","1,929","2,022","3,170","1,991","2,067","1,726"
2020년04월_남_0~9세,"1,960","1,373",57,21,31,74,45,189,44,61,65
2020년04월_남_10~19세,"2,733","1,884",88,42,67,108,95,181,75,105,88
2020년04월_남_20~29세,"3,868","2,280",215,89,69,176,143,473,151,166,106
2020년04월_남_30~39세,"3,394","2,109",195,49,61,107,116,328,163,156,110
2020년04월_남_40~49세,"4,489","2,707",246,96,126,192,210,319,212,215,166
2020년04월_남_50~59세,"6,784","3,101",459,244,253,424,427,553,405,469,449
2020년04월_남_60~69세,"6,854","2,423",629,338,344,480,538,622,547,504,429
2020년04월_남_70~79세,"3,453","1,090",349,186,204,247,315,326,268,253,215
2020년04월_남_80~89세,"1,483",460,134,100,77,108,121,163,108,126,86
2020년04월_남_90~99세,168,48,23,11,7,13,11,16,18,10,11
2020년04월_남_100세 이상,8,1,3,0,0,0,1,0,0,2,1
2020년04월_여_총인구수,"33,494","17,260","2,202","1,197","1,127","1,849","1,892","2,795","1,797","1,856","1,519"
2020년04월_여_연령구간인구수,"33,494","17,260","2,202","1,197","1,127","1,849","1,892","2,795","1,797","1,856","1,519"
2020년04월_여_0~9세,"1,937","1,397",69,14,18,63,44,170,48,60,54
2020년04월_여_10~19세,"2,593","1,788",75,49,42,101,67,238,65,88,80
2020년04월_여_20~29세,"2,652","1,708",129,59,57,103,104,192,105,121,74
2020년04월_여_30~39세,"2,827","1,888",122,47,35,103,89,245,94,110,94
2020년04월_여_40~49세,"3,892","2,673",145,71,70,149,136,236,143,141,128
2020년04월_여_50~59세,"6,165","2,912",397,233,246,404,371,483,367,396,356
2020년04월_여_60~69세,"6,316","2,407",562,309,312,433,513,528,466,411,375
2020년04월_여_70~79세,"3,868","1,443",356,229,174,247,289,360,288,274,208
2020년04월_여_80~89세,"2,786",887,290,155,156,216,245,301,184,224,128
2020년04월_여_90~99세,426,142,56,31,17,27,28,41,34,28,22
2020년04월_여_100세 이상,32,15,1,0,0,3,6,1,3,3,0
