,서울특별시 중랑구,서울특별시 중랑구 면목제2동,서울특별시 중랑구 면목제4동,서울특별시 중랑구 면목제5동,서울특별시 중랑구 면목본동,서울특별시 중랑구 면목제7동,서울특별시 중랑구 면목제3.8동,서울특별시 중랑구 상봉제1동,서울특별시 중랑구 상봉제2동,서울특별시 중랑구 중화제1동,서울특별시 중랑구 중화제2동,서울특별시 중랑구 묵제1동,서울특별시 중랑구 묵제2동,서울특별시 중랑구 망우본동,서울특별시 중랑구 망우제3동,서울특별시 중랑구 신내1동,서울특별시 중랑구 신내2동
2021년09월_계_총인구수,"388,554","24,171","19,136","14,753","33,769","21,804","24,957","24,281","20,363","19,793","25,077","34,677","18,944","31,236","16,453","38,524","20,616"
2021년09월_계_연령구간인구수,"388,554","24,171","19,136","14,753","33,769","21,804","24,957","24,281","20,363","19,793","25,077","34,677","18,944","31,236","16,453","38,524","20,616"
2021년09월_계_0~9세,"21,669","1,160","1,032","1,365","1,431","1,112","1,039","1,733",762,"1,168","1,036","2,193",992,"1,690",690,"3,031","1,235"
2021년09월_계_10~19세,"25,714","1,513","1,200",883,"1,842","1,185","1,401","1,894",756,"1,289","1,138","3,042","1,161","1,960","1,074","3,732","1,644"
2021년09월_계_20~29세,"54,857","3,243","2,483","1,770","5,289","2,996","3,708","3,463","4,271","2,794","3,652","4,906","2,659","4,182","2,223","4,753","2,465"
2021년09월_계_30~39세,"56,905","3,211","2,674","2,674","5,191","3,285","3,502","3,590","4,413","3,129","3,678","4,728","2,938","4,339","2,020","4,702","2,831"
2021년09월_계_40~49세,"55,995","3,527","2,939","2,271","4,853","3,079","3,373","3,504","2,585","2,770","3,355","5,611","2,780","4,243","2,244","5,816","3,045"
2021년09월_계_50~59세,"67,843","4,776","3,308","2,441","6,187","3,801","4,578","4,213","3,077","3,245","4,768","5,530","3,196","5,659","3,216","6,367","3,481"
2021년09월_계_60~69세,"60,365","3,800","3,013","1,965","5,064","3,632","4,143","3,532","2,570","3,166","4,258","4,873","3,010","5,322","2,854","5,784","3,379"
2021년09월_계_70~79세,"31,107","2,052","1,821",990,"2,743","1,921","2,237","1,568","1,346","1,588","2,166","2,592","1,546","2,617","1,464","2,837","1,619"
2021년09월_계_80~89세,"12,411",773,594,359,"1,060",699,859,688,505,578,930,"1,062",592,"1,056",576,"1,279",801
2021년09월_계_90~99세,"1,606",111,69,34,105,93,112,94,67,64,91,126,67,160,89,213,111
2021년09월_계_100세 이상,82,5,3,1,4,1,5,2,11,2,5,14,3,8,3,10,5
2021년09월_남_총인구수,"191,832","12,068","9,527","7,431","16,721","10,962","12,392","11,862","9,822","9,702","12,873","16,724","9,319","15,636","8,260","18,713","9,820"
2021년09월_남_연령구간인구수,"191,832","12,068","9,527","7,431","16,721","10,962","12,392","11,862","9,822","9,702","12,873","16,724","9,319","15,636","8,260","18,713","9,820"
2021년09월_남_0~9세,"11,161",594,549,671,722,612,537,888,375,594,564,"1,126",509,848,369,"1,567",636
2021년09월_남_10~19세,"13,059",746,616,458,895,619,729,"1,007",411,629,598,"1,521",600,990,493,"1,921",826
2021년09월_남_20~29세,"27,053","1,635","1,280",903,"2,665","1,506","1,847","1,711","1,796","1,376","1,814","2,320","1,290","2,101","1,141","2,423","1,245"
2021년09월_남_30~39세,"29,283","1,691","1,400","1,352","2,717","1,690","1,867","1,817","2,219","1,637","1,948","2,392","1,509","2,259","1,103","2,282","1,400"
2021년09월_남_40~49세,"28,971","1,862","1,555","1,238","2,551","1,648","1,776","1,738","1,354","1,441","1,817","2,745","1,435","2,254","1,146","2,884","1,527"
2021년09월_남_50~59세,"33,586","2,433","1,657","1,237","3,093","1,884","2,248","2,020","1,545","1,539","2,558","2,665","1,581","2,863","1,623","3,016","1,624"
2021년09월_남_60~69세,"29,269","1,854","1,423",971,"2,445","1,789","1,987","1,708","1,244","1,505","2,184","2,281","1,413","2,667","1,449","2,796","1,553"
2021년09월_남_70~79세,"14,175",919,792,453,"1,193",911,"1,016",691,639,733,989,"1,192",719,"1,243",682,"1,306",697
2021년09월_남_80~89세,"4,905",310,234,138,419,283,353,265,219,235,375,452,249,373,238,485,277
2021년09월_남_90~99세,349,24,20,9,20,20,31,17,18,12,25,24,13,36,15,32,33
2021년09월_남_100세 이상,21,0,1,1,1,0,1,0,2,1,1,6,1,2,1,1,2
2021년09월_여_총인구수,"196,722","12,103","9,609","7,322","17,048","10,842","12,565","12,419","10,541","10,091","12,204","17,953","9,625","15,600","8,193","19,811","10,796"
2021년09월_여_연령구간인구수,"196,722","12,103","9,609","7,322","17,048","10,842","12,565","12,419","10,541","10,091","12,204","17,953","9,625","15,600","8,193","19,811","10,796"
2021년09월_여_0~9세,"10,508",566,483,694,709,500,502,845,387,574,472,"1,067",483,842,321,"1,464",599
2021년09월_여_10~19세,"12,655",767,584,425,947,566,672,887,345,660,540,"1,521",561,970,581,"1,811",818
2021년09월_여_20~29세,"27,804","1,608","1,203",867,"2,624","1,490","1,861","1,752","2,475","1,418","1,838","2,586","1,369","2,081","1,082","2,330","1,220"
2021년09월_여_30~39세,"27,622","1,520","1,274","1,322","2,474","1,595","1,635","1,773","2,194","1,492","1,730","2,336","1,429","2,080",917,"2,420","1,431"
2021년09월_여_40~49세,"27,024","1,665","1,384","1,033","2,302","1,431","1,597","1,766","1,231","1,329","1,538","2,866","1,345","1,989","1,098","2,932","1,518"
2021년09월_여_50~59세,"34,257","2,343","1,651","1,204","3,094","1,917","2,330","2,193","1,532","1,706","2,210","2,865","1,615","2,796","1,593","3,351","1,857"
2021년09월_여_60~69세,"31,096","1,946","1,590",994,"2,619","1,843","2,156","1,824","1,326","1,661","2,074","2,592","1,597","2,655","1,405","2,988","1,826"
2021년09월_여_70~79세,"16,932","1,133","1,029",537,"1,550","1,010","1,221",877,707,855,"1,177","1,400",827,"1,374",782,"1,531",922
2021년09월_여_80~89세,"7,506",463,360,221,641,416,506,423,286,343,555,610,343,683,338,794,524
2021년09월_여_90~99세,"1,257",87,49,25,85,73,81,77,49,52,66,102,54,124,74,181,78
2021년09월_여_100세 이상,61,5,2,0,3,1,4,2,9,1,4,8,2,6,2,9,3
