카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년10월_계_총인구수,"1,080,240","481,840","14,626","23,679","48,540","21,858","11,341","14,054","24,409","23,109","29,871","36,699","15,454","37,559","32,850","18,817","21,622","31,882","45,277","27,740","2,453","299,757","37,210","46,764","23,414","38,854","30,428","20,899","24,052","16,317","11,510","27,095","23,214","298,643","27,060","18,384","35,346","51,568","27,889","28,881","36,334","21,581","51,600"
2021년10월_계_연령구간인구수,"1,080,240","481,840","14,626","23,679","48,540","21,858","11,341","14,054","24,409","23,109","29,871","36,699","15,454","37,559","32,850","18,817","21,622","31,882","45,277","27,740","2,453","299,757","37,210","46,764","23,414","38,854","30,428","20,899","24,052","16,317","11,510","27,095","23,214","298,643","27,060","18,384","35,346","51,568","27,889","28,881","36,334","21,581","51,600"
2021년10월_계_0~9세,"78,715","37,411",518,"2,903","5,317","1,240",578,"2,052","2,466","2,709","1,997","1,989",830,"1,841","2,405",679,"1,238","2,175","2,469","3,929",76,"20,041","3,568","3,251","1,230","3,014","1,910",878,"1,346","1,140","1,384","1,004","1,316","21,263","1,807",834,"2,465","4,384","1,703","1,918","2,208","1,612","4,332"
2021년10월_계_10~19세,"102,619","41,186","1,087","2,102","4,373","1,796",999,"1,030","1,604","1,673","3,110","2,763","1,180","3,514","3,588","1,134","1,949","2,665","4,633","1,860",126,"28,781","4,861","4,252","2,050","4,354","2,624","1,248","3,212","2,193",956,"1,538","1,493","32,652","2,586","1,430","5,660","5,383","3,117","3,122","2,934","2,227","6,193"
2021년10월_계_20~29세,"147,485","62,030","2,014","2,181","5,523","2,950","1,444","1,640","2,732","2,455","3,512","4,268","2,104","6,030","4,559","2,807","2,975","4,746","6,757","2,901",432,"44,179","5,015","6,716","3,782","5,330","4,763","3,442","3,663","2,178","1,336","5,067","2,887","41,276","3,821","2,625","4,564","7,185","3,706","3,681","6,167","2,909","6,618"
2021년10월_계_30~39세,"142,665","68,710","1,535","3,778","8,170","2,576","1,287","2,989","4,607","5,319","3,062","3,959","1,768","4,348","4,188","2,296","2,679","4,903","5,072","5,908",266,"38,279","4,097","5,376","2,943","4,576","4,477","3,364","2,273","1,539","1,820","4,843","2,971","35,676","3,147","1,879","3,433","6,899","3,271","3,310","5,346","2,810","5,581"
2021년10월_계_40~49세,"178,201","78,395","1,970","4,393","9,166","3,322","1,666","2,500","4,124","4,095","5,047","5,598","2,185","5,497","5,922","2,535","3,348","4,733","7,031","4,976",287,"49,871","7,222","7,082","3,462","6,621","4,818","3,588","3,965","2,851","2,138","4,689","3,435","49,935","4,087","2,463","6,876","8,874","4,478","4,631","5,493","3,603","9,430"
2021년10월_계_50~59세,"196,722","83,782","3,138","3,307","6,840","4,272","2,070","1,724","3,536","2,924","5,216","7,037","3,111","7,498","5,860","3,913","4,203","5,890","9,277","3,522",444,"56,528","6,750","9,160","4,449","6,990","5,800","3,922","4,772","3,124","1,971","4,989","4,601","56,412","5,194","4,108","6,602","9,707","5,058","5,135","6,816","4,063","9,729"
2021년10월_계_60~69세,"131,858","61,795","2,490","3,015","5,230","3,155","1,719","1,275","3,020","2,334","4,210","6,218","2,466","4,553","3,365","3,143","2,988","3,751","5,631","2,779",453,"35,734","3,444","6,186","3,153","4,627","3,628","2,488","2,805","1,684","1,240","2,738","3,741","34,329","3,551","2,972","3,367","5,097","3,339","3,438","4,335","2,528","5,702"
2021년10월_계_70~79세,"61,556","30,310","1,165","1,372","2,632","1,580",918,543,"1,537","1,067","2,439","3,133","1,135","2,481","1,689","1,407","1,358","1,805","2,594","1,211",244,"15,513","1,388","2,727","1,448","2,033","1,482","1,152","1,140",807,443,"1,231","1,662","15,733","1,752","1,237","1,359","2,320","1,670","1,940","1,855","1,096","2,504"
