,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2020년06월_계_총인구수,"29,387","10,717","5,478","2,504","2,109","3,337","1,942","1,545","1,755"
2020년06월_계_연령구간인구수,"29,387","10,717","5,478","2,504","2,109","3,337","1,942","1,545","1,755"
2020년06월_계_0~9세,"1,246",663,272,63,59,87,48,21,33
2020년06월_계_10~19세,"2,042",974,421,101,146,176,80,36,108
2020년06월_계_20~29세,"2,322","1,153",498,122,109,157,96,79,108
2020년06월_계_30~39세,"2,089","1,068",431,108,88,155,81,75,83
2020년06월_계_40~49세,"3,406","1,513",721,200,192,350,157,127,146
2020년06월_계_50~59세,"5,768","2,025",998,541,409,701,415,310,369
2020년06월_계_60~69세,"6,186","1,778",993,634,539,816,538,436,452
2020년06월_계_70~79세,"3,922",974,747,439,371,549,318,264,260
2020년06월_계_80~89세,"2,117",496,357,247,175,308,190,172,172
2020년06월_계_90~99세,268,71,39,43,18,37,18,25,17
2020년06월_계_100세 이상,21,2,1,6,3,1,1,0,7
2020년06월_남_총인구수,"14,894","5,386","2,830","1,240","1,132","1,610","1,051",787,858
2020년06월_남_연령구간인구수,"14,894","5,386","2,830","1,240","1,132","1,610","1,051",787,858
2020년06월_남_0~9세,647,338,146,32,38,42,24,11,16
2020년06월_남_10~19세,"1,085",497,220,55,101,97,52,15,48
2020년06월_남_20~29세,"1,346",646,306,59,61,94,68,42,70
2020년06월_남_30~39세,"1,116",556,237,53,53,86,46,46,39
2020년06월_남_40~49세,"1,885",804,420,114,111,177,99,80,80
2020년06월_남_50~59세,"3,071","1,073",537,296,219,361,219,172,194
2020년06월_남_60~69세,"3,181",870,495,337,278,392,318,246,245
2020년06월_남_70~79세,"1,744",415,321,189,199,247,149,116,108
2020년06월_남_80~89세,744,172,137,92,67,106,67,52,51
2020년06월_남_90~99세,67,13,10,11,5,7,8,7,6
2020년06월_남_100세 이상,8,2,1,2,0,1,1,0,1
2020년06월_여_총인구수,"14,493","5,331","2,648","1,264",977,"1,727",891,758,897
2020년06월_여_연령구간인구수,"14,493","5,331","2,648","1,264",977,"1,727",891,758,897
2020년06월_여_0~9세,599,325,126,31,21,45,24,10,17
2020년06월_여_10~19세,957,477,201,46,45,79,28,21,60
2020년06월_여_20~29세,976,507,192,63,48,63,28,37,38
2020년06월_여_30~39세,973,512,194,55,35,69,35,29,44
2020년06월_여_40~49세,"1,521",709,301,86,81,173,58,47,66
2020년06월_여_50~59세,"2,697",952,461,245,190,340,196,138,175
2020년06월_여_60~69세,"3,005",908,498,297,261,424,220,190,207
2020년06월_여_70~79세,"2,178",559,426,250,172,302,169,148,152
2020년06월_여_80~89세,"1,373",324,220,155,108,202,123,120,121
2020년06월_여_90~99세,201,58,29,32,13,30,10,18,11
2020년06월_여_100세 이상,13,0,0,4,3,0,0,0,6
