,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2021년11월_계_총인구수,"931,063","236,076","13,397","20,273","11,331","15,434","15,403","13,309","13,251","12,400","15,884","15,627","5,428","9,891","10,983","45,391","4,645","10,370","3,059","211,658","33,832","12,437","6,760","25,824","10,339","23,873","25,310","13,013","12,258","20,601","27,411","483,329","25,782","17,672","10,441","13,825","19,387","30,456","15,429","16,039","31,938","18,353","25,398","13,309","17,285","16,440","28,266","26,407","24,490","26,974","27,976","17,222","30,631","29,609"
2021년11월_계_연령구간인구수,"931,063","236,076","13,397","20,273","11,331","15,434","15,403","13,309","13,251","12,400","15,884","15,627","5,428","9,891","10,983","45,391","4,645","10,370","3,059","211,658","33,832","12,437","6,760","25,824","10,339","23,873","25,310","13,013","12,258","20,601","27,411","483,329","25,782","17,672","10,441","13,825","19,387","30,456","15,429","16,039","31,938","18,353","25,398","13,309","17,285","16,440","28,266","26,407","24,490","26,974","27,976","17,222","30,631","29,609"
2021년11월_계_0~9세,"65,796","14,956",461,"1,774",409,490,704,553,634,338,706,990,299,508,640,"4,691",490,"1,117",152,"12,325","1,482",807,386,"1,370",575,"1,177","1,540",454,514,"1,330","2,690","38,515","1,843","1,194","1,098",922,"1,383","1,937",842,"1,426","2,306","1,340","2,134",930,"1,224","1,204","2,035","3,088","2,517","2,551","1,772","1,241","2,076","3,452"
2021년11월_계_10~19세,"85,646","16,870",701,"1,571",640,701,"1,039",891,"1,102",622,"1,040","1,275",473,917,454,"4,225",432,643,144,"15,706","1,849",801,418,"1,918",973,"1,838","1,743",877,822,"1,675","2,792","53,070","2,833","2,163","1,979","2,414","1,858","3,237","1,291","1,828","4,254","2,213","3,061","1,761","1,250","1,745","1,915","3,661","3,004","3,021","2,272","1,559","2,566","3,185"
2021년11월_계_20~29세,"128,017","33,760","1,930","2,564","1,682","2,814","2,463","1,871","2,072","1,713","2,306","2,078",660,"1,354","2,260","5,363",747,"1,409",474,"30,072","5,848","1,390",871,"3,821","1,805","3,534","3,319","1,617","1,733","2,948","3,186","64,185","3,623","2,361",920,"1,866","3,012","4,604","1,959","2,021","4,413","2,648","3,242","1,744","2,627","2,004","3,907","2,687","3,001","3,693","3,819","2,623","4,261","3,150"
2021년11월_계_30~39세,"135,165","35,024","1,839","3,298","1,536","2,186","2,122","1,694","1,636","1,455","2,030","2,190",680,"1,053","2,467","7,052",870,"2,385",531,"30,783","5,826","1,704","1,083","3,805","1,332","2,996","3,995","1,516","1,545","2,871","4,110","69,358","3,534","2,339",796,"1,427","3,351","4,805","2,857","2,342","4,196","2,337","3,466","1,311","2,771","2,046","5,156","3,494","3,432","3,517","4,425","2,654","4,482","4,620"
2021년11월_계_40~49세,"153,069","36,263","1,971","3,087","1,695","2,040","2,134","1,907","2,023","1,659","2,243","2,347",896,"1,610","1,968","8,146",725,"1,399",413,"31,695","4,744","1,988",966,"3,840","1,526","3,464","3,810","1,833","1,698","2,906","4,920","85,111","4,370","3,555","2,538","3,045","3,130","5,780","2,490","2,931","6,084","3,091","4,386","2,203","2,619","2,699","4,118","5,587","4,573","4,582","4,184","2,808","4,709","5,629"
2021년11월_계_50~59세,"155,206","40,054","2,518","3,461","2,177","2,635","2,759","2,503","2,326","2,514","2,813","2,692",892,"1,762","1,435","7,086",584,"1,456",441,"36,884","5,469","2,265","1,175","4,356","1,739","4,335","4,455","2,734","2,432","3,740","4,184","78,268","4,225","2,923","1,550","2,208","2,925","4,799","2,330","2,543","5,117","3,304","4,166","2,406","2,680","2,553","4,424","4,083","3,980","4,810","4,526","2,879","5,145","4,692"
2021년11월_계_60~69세,"120,140","34,800","2,353","2,929","1,830","2,524","2,322","2,265","1,906","2,374","2,737","2,294",833,"1,487","1,092","5,682",491,"1,164",517,"32,122","4,873","2,085","1,138","3,993","1,348","3,600","3,932","2,363","2,129","3,306","3,355","53,218","3,044","1,436",782,"1,155","2,157","2,620","1,844","1,502","2,946","2,075","2,781","1,697","2,369","2,309","4,007","2,402","2,492","3,011","3,676","1,926","3,759","3,228"
2021년11월_계_70~79세,"57,585","16,851","1,128","1,152",977,"1,409","1,236","1,117","1,035","1,196","1,452","1,178",491,834,487,"2,099",207,576,277,"15,179","2,550",986,490,"1,866",712,"2,009","1,730","1,116",986,"1,248","1,486","25,555","1,403",910,461,494,"1,061","1,597","1,039",800,"1,539",799,"1,356",778,"1,170","1,178","1,743",952,974,"1,212","1,980",931,"2,074","1,104"
