카테고리,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년12월_계_총인구수,"212,965","16,627","3,449","1,574","4,225","4,223","3,495","4,652","6,355","15,169","4,792","3,366","25,882","7,746","10,448","12,792","4,743","10,075","16,364","17,718","28,067","11,203"
2021년12월_계_연령구간인구수,"212,965","16,627","3,449","1,574","4,225","4,223","3,495","4,652","6,355","15,169","4,792","3,366","25,882","7,746","10,448","12,792","4,743","10,075","16,364","17,718","28,067","11,203"
2021년12월_계_0~9세,"12,837",644,129,28,212,102,92,185,313,"1,274",149,84,"1,668",335,414,520,272,893,"1,328",886,"2,220","1,089"
2021년12월_계_10~19세,"18,449",944,199,31,270,178,144,237,431,"1,462",283,151,"2,905",597,741,"1,112",388,994,"1,488","1,470","3,356","1,068"
2021년12월_계_20~29세,"24,560","1,428",267,89,338,404,260,419,481,"1,716",527,324,"3,574",934,"1,274","1,606",533,"1,139","2,325","1,945","3,358","1,619"
2021년12월_계_30~39세,"21,221","1,216",202,77,326,286,206,388,538,"1,952",411,264,"2,595",757,881,"1,247",544,"1,256","2,019","1,522","3,118","1,416"
2021년12월_계_40~49세,"31,762","2,025",378,93,493,411,309,577,922,"2,564",601,391,"4,394","1,005","1,407","1,774",693,"1,648","2,687","2,434","5,011","1,945"
2021년12월_계_50~59세,"36,670","3,000",671,315,712,748,645,849,"1,064","2,491",764,613,"4,460","1,397","1,985","2,365",922,"1,663","2,551","3,092","4,629","1,734"
2021년12월_계_60~69세,"35,766","3,655",787,505,982,983,906,"1,082","1,394","2,005",995,701,"3,394","1,466","2,043","2,407",776,"1,463","2,255","3,084","3,555","1,328"
2021년12월_계_70~79세,"19,512","2,289",440,259,500,644,548,540,761,"1,070",633,549,"1,777",786,"1,123","1,120",366,641,"1,085","2,024","1,719",638
