카테고리,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2021년07월_계_총인구수,"1,125,727","214,584","316,241","154,922","218,065","221,915"
2021년07월_계_연령구간인구수,"1,125,727","214,584","316,241","154,922","218,065","221,915"
2021년07월_계_0~9세,"94,428","15,859","23,010","14,124","24,426","17,009"
2021년07월_계_10~19세,"110,546","19,668","29,554","15,603","23,644","22,077"
2021년07월_계_20~29세,"140,710","25,864","44,543","17,233","26,784","26,286"
2021년07월_계_30~39세,"147,449","25,662","41,408","21,932","33,234","25,213"
2021년07월_계_40~49세,"184,951","33,548","50,262","26,000","38,704","36,437"
2021년07월_계_50~59세,"206,594","40,402","60,870","24,947","38,458","41,917"
2021년07월_계_60~69세,"152,653","33,052","43,231","23,556","21,527","31,287"
2021년07월_계_70~79세,"61,642","14,559","16,844","8,576","7,666","13,997"
2021년07월_계_80~89세,"23,542","5,329","5,838","2,576","3,141","6,658"
2021년07월_계_90~99세,"3,129",626,662,366,463,"1,012"
2021년07월_계_100세 이상,83,15,19,9,18,22
2021년07월_남_총인구수,"578,511","108,678","161,343","80,868","112,942","114,680"
2021년07월_남_연령구간인구수,"578,511","108,678","161,343","80,868","112,942","114,680"
2021년07월_남_0~9세,"48,509","8,161","11,816","7,203","12,573","8,756"
2021년07월_남_10~19세,"58,108","10,478","15,632","8,271","12,256","11,471"
2021년07월_남_20~29세,"79,327","14,447","24,835","9,645","15,351","15,049"
2021년07월_남_30~39세,"78,464","13,516","22,167","12,044","17,279","13,458"
2021년07월_남_40~49세,"94,480","17,145","24,703","14,155","19,844","18,633"
2021년07월_남_50~59세,"104,911","20,097","30,462","12,524","19,697","22,131"
2021년07월_남_60~69세,"76,866","16,112","21,507","11,718","11,325","16,204"
2021년07월_남_70~79세,"29,381","6,738","8,041","4,377","3,597","6,628"
2021년07월_남_80~89세,"7,934","1,884","2,066",876,947,"2,161"
2021년07월_남_90~99세,520,98,113,53,69,187
2021년07월_남_100세 이상,11,2,1,2,4,2
2021년07월_여_총인구수,"547,216","105,906","154,898","74,054","105,123","107,235"
2021년07월_여_연령구간인구수,"547,216","105,906","154,898","74,054","105,123","107,235"
2021년07월_여_0~9세,"45,919","7,698","11,194","6,921","11,853","8,253"
2021년07월_여_10~19세,"52,438","9,190","13,922","7,332","11,388","10,606"
2021년07월_여_20~29세,"61,383","11,417","19,708","7,588","11,433","11,237"
2021년07월_여_30~39세,"68,985","12,146","19,241","9,888","15,955","11,755"
2021년07월_여_40~49세,"90,471","16,403","25,559","11,845","18,860","17,804"
2021년07월_여_50~59세,"101,683","20,305","30,408","12,423","18,761","19,786"
2021년07월_여_60~69세,"75,787","16,940","21,724","11,838","10,202","15,083"
2021년07월_여_70~79세,"32,261","7,821","8,803","4,199","4,069","7,369"
2021년07월_여_80~89세,"15,608","3,445","3,772","1,700","2,194","4,497"
2021년07월_여_90~99세,"2,609",528,549,313,394,825
2021년07월_여_100세 이상,72,13,18,7,14,20
