,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년08월_계_총인구수,"230,555","35,780","20,638","61,182","32,033","16,174","64,748"
2021년08월_계_연령구간인구수,"230,555","35,780","20,638","61,182","32,033","16,174","64,748"
2021년08월_계_0~9세,"22,422","3,795",848,"6,718","3,885","1,300","5,876"
2021년08월_계_10~19세,"24,894","4,153","1,155","7,148","3,346","1,930","7,162"
2021년08월_계_20~29세,"31,461","4,445","3,837","7,106","4,081","2,201","9,791"
2021년08월_계_30~39세,"37,883","5,331","4,995","9,581","5,792","2,321","9,863"
2021년08월_계_40~49세,"43,794","6,724","3,889","11,810","6,185","3,081","12,105"
2021년08월_계_50~59세,"33,803","5,460","2,906","8,538","4,305","2,539","10,055"
2021년08월_계_60~69세,"21,526","3,423","1,822","6,054","2,811","1,611","5,805"
2021년08월_계_70~79세,"9,925","1,614",803,"2,846","1,119",778,"2,765"
2021년08월_계_80~89세,"4,284",754,348,"1,211",436,370,"1,165"
2021년08월_계_90~99세,537,81,31,158,71,38,158
2021년08월_계_100세 이상,26,0,4,12,2,5,3
2021년08월_남_총인구수,"119,590","17,935","12,271","30,942","16,409","8,312","33,721"
2021년08월_남_연령구간인구수,"119,590","17,935","12,271","30,942","16,409","8,312","33,721"
2021년08월_남_0~9세,"11,460","1,966",419,"3,426","1,959",676,"3,014"
2021년08월_남_10~19세,"12,725","2,051",578,"3,626","1,701",996,"3,773"
2021년08월_남_20~29세,"17,030","2,312","2,209","3,748","2,168","1,212","5,381"
2021년08월_남_30~39세,"20,600","2,709","3,239","4,982","3,035","1,268","5,367"
2021년08월_남_40~49세,"23,314","3,417","2,456","6,237","3,239","1,585","6,380"
2021년08월_남_50~59세,"17,697","2,792","1,832","4,329","2,178","1,307","5,259"
2021년08월_남_60~69세,"10,664","1,693","1,010","2,889","1,412",795,"2,865"
2021년08월_남_70~79세,"4,395",690,381,"1,257",552,335,"1,180"
2021년08월_남_80~89세,"1,590",292,144,409,158,126,461
2021년08월_남_90~99세,108,13,3,36,7,9,40
2021년08월_남_100세 이상,7,0,0,3,0,3,1
2021년08월_여_총인구수,"110,965","17,845","8,367","30,240","15,624","7,862","31,027"
2021년08월_여_연령구간인구수,"110,965","17,845","8,367","30,240","15,624","7,862","31,027"
2021년08월_여_0~9세,"10,962","1,829",429,"3,292","1,926",624,"2,862"
2021년08월_여_10~19세,"12,169","2,102",577,"3,522","1,645",934,"3,389"
2021년08월_여_20~29세,"14,431","2,133","1,628","3,358","1,913",989,"4,410"
2021년08월_여_30~39세,"17,283","2,622","1,756","4,599","2,757","1,053","4,496"
2021년08월_여_40~49세,"20,480","3,307","1,433","5,573","2,946","1,496","5,725"
2021년08월_여_50~59세,"16,106","2,668","1,074","4,209","2,127","1,232","4,796"
2021년08월_여_60~69세,"10,862","1,730",812,"3,165","1,399",816,"2,940"
2021년08월_여_70~79세,"5,530",924,422,"1,589",567,443,"1,585"
2021년08월_여_80~89세,"2,694",462,204,802,278,244,704
2021년08월_여_90~99세,429,68,28,122,64,29,118
2021년08월_여_100세 이상,19,0,4,9,2,2,2
