,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년02월_계_총인구수,"55,807","14,757","2,307","2,649","1,686","19,507","2,530","2,455","1,517","2,716","3,135","1,190","1,358"
2021년02월_계_연령구간인구수,"55,807","14,757","2,307","2,649","1,686","19,507","2,530","2,455","1,517","2,716","3,135","1,190","1,358"
2021년02월_계_0~9세,"4,606",797,59,55,52,"3,272",148,48,19,49,51,22,34
2021년02월_계_10~19세,"4,411","1,202",113,82,55,"2,396",109,89,38,82,114,56,75
2021년02월_계_20~29세,"4,126","1,334",87,136,56,"1,734",207,119,54,92,187,50,70
2021년02월_계_30~39세,"5,448","1,139",71,111,80,"3,354",223,105,44,109,118,40,54
2021년02월_계_40~49세,"7,134","1,877",179,162,114,"3,663",231,204,95,191,230,82,106
2021년02월_계_50~59세,"8,075","2,464",347,415,260,"2,331",326,357,221,415,489,239,211
2021년02월_계_60~69세,"9,530","2,889",514,694,412,"1,475",453,588,394,695,748,353,315
2021년02월_계_70~79세,"6,773","1,820",495,503,343,724,417,515,330,567,618,176,265
2021년02월_계_80~89세,"4,994","1,066",396,429,278,481,359,377,291,457,520,146,194
2021년02월_계_90~99세,677,163,43,60,36,74,54,49,29,55,58,25,31
2021년02월_계_100세 이상,33,6,3,2,0,3,3,4,2,4,2,1,3
2021년02월_남_총인구수,"27,441","7,294","1,146","1,318",829,"9,584","1,253","1,194",729,"1,337","1,495",584,678
2021년02월_남_연령구간인구수,"27,441","7,294","1,146","1,318",829,"9,584","1,253","1,194",729,"1,337","1,495",584,678
2021년02월_남_0~9세,"2,332",392,32,29,26,"1,665",79,24,6,26,25,11,17
2021년02월_남_10~19세,"2,359",675,70,40,35,"1,247",57,48,22,42,53,35,35
2021년02월_남_20~29세,"2,337",791,50,94,30,903,132,65,35,54,116,24,43
2021년02월_남_30~39세,"2,747",594,39,67,43,"1,578",128,66,27,72,82,18,33
2021년02월_남_40~49세,"3,864","1,015",115,113,77,"1,805",154,137,64,134,138,48,64
2021년02월_남_50~59세,"4,221","1,214",203,226,159,"1,166",192,193,131,235,261,117,124
2021년02월_남_60~69세,"4,736","1,373",271,366,218,723,208,282,200,357,375,199,164
2021년02월_남_70~79세,"3,035",829,219,214,144,334,186,229,144,266,267,87,116
2021년02월_남_80~89세,"1,687",381,137,154,88,153,107,141,97,143,171,39,76
2021년02월_남_90~99세,120,29,10,14,9,10,10,9,3,7,7,6,6
2021년02월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0
2021년02월_여_총인구수,"28,366","7,463","1,161","1,331",857,"9,923","1,277","1,261",788,"1,379","1,640",606,680
2021년02월_여_연령구간인구수,"28,366","7,463","1,161","1,331",857,"9,923","1,277","1,261",788,"1,379","1,640",606,680
2021년02월_여_0~9세,"2,274",405,27,26,26,"1,607",69,24,13,23,26,11,17
2021년02월_여_10~19세,"2,052",527,43,42,20,"1,149",52,41,16,40,61,21,40
2021년02월_여_20~29세,"1,789",543,37,42,26,831,75,54,19,38,71,26,27
2021년02월_여_30~39세,"2,701",545,32,44,37,"1,776",95,39,17,37,36,22,21
2021년02월_여_40~49세,"3,270",862,64,49,37,"1,858",77,67,31,57,92,34,42
2021년02월_여_50~59세,"3,854","1,250",144,189,101,"1,165",134,164,90,180,228,122,87
2021년02월_여_60~69세,"4,794","1,516",243,328,194,752,245,306,194,338,373,154,151
2021년02월_여_70~79세,"3,738",991,276,289,199,390,231,286,186,301,351,89,149
2021년02월_여_80~89세,"3,307",685,259,275,190,328,252,236,194,314,349,107,118
2021년02월_여_90~99세,557,134,33,46,27,64,44,40,26,48,51,19,25
2021년02월_여_100세 이상,30,5,3,1,0,3,3,4,2,3,2,1,3
