카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년04월_계_총인구수,"76,955","8,957","6,719","5,038","4,643","5,246","8,247","5,220","3,434","7,126","12,115","7,689","2,521"
2020년04월_계_연령구간인구수,"76,955","8,957","6,719","5,038","4,643","5,246","8,247","5,220","3,434","7,126","12,115","7,689","2,521"
2020년04월_계_0~9세,"5,325",349,515,178,139,568,926,282,118,629,980,562,79
2020년04월_계_10~19세,"5,129",493,387,246,207,242,566,322,223,529,"1,104",641,169
2020년04월_계_20~29세,"11,805","1,533","1,788","1,384",835,653,849,891,530,725,"1,357",998,262
2020년04월_계_30~39세,"10,952","1,198","1,245",765,529,"1,064","1,451",673,379,"1,020","1,458",954,216
2020년04월_계_40~49세,"10,907","1,183",911,574,525,700,"1,184",682,486,"1,131","1,966","1,180",385
2020년04월_계_50~59세,"11,431","1,391",700,640,754,749,"1,258",844,565,"1,095","1,820","1,201",414
2020년04월_계_60~69세,"10,152","1,297",587,572,805,659,"1,034",708,490,964,"1,671",946,419
2020년04월_계_70~79세,"7,371","1,004",365,439,566,412,659,547,407,683,"1,140",748,401
2020년04월_계_80~89세,"3,302",424,185,189,224,165,275,249,192,309,544,397,149
2020년04월_계_90~99세,484,72,29,46,44,29,34,20,30,37,67,55,21
2020년04월_계_100세 이상,97,13,7,5,15,5,11,2,14,4,8,7,6
2020년04월_남_총인구수,"37,064","4,445","3,196","2,377","2,363","2,624","4,007","2,505","1,649","3,299","5,735","3,621","1,243"
2020년04월_남_연령구간인구수,"37,064","4,445","3,196","2,377","2,363","2,624","4,007","2,505","1,649","3,299","5,735","3,621","1,243"
2020년04월_남_0~9세,"2,758",169,261,94,74,282,444,150,58,346,529,309,42
2020년04월_남_10~19세,"2,614",242,182,113,105,128,316,153,116,264,586,313,96
2020년04월_남_20~29세,"5,682",751,813,559,412,326,443,430,261,339,705,502,141
2020년04월_남_30~39세,"5,638",670,642,437,311,549,704,331,194,503,724,453,120
2020년04월_남_40~49세,"5,599",653,481,289,292,374,617,360,242,556,966,571,198
2020년04월_남_50~59세,"5,623",722,331,347,396,382,598,423,292,509,836,572,215
2020년04월_남_60~69세,"4,699",638,252,285,416,324,498,334,228,396,706,426,196
2020년04월_남_70~79세,"3,113",427,155,174,255,193,273,238,179,274,486,289,170
2020년04월_남_80~89세,"1,204",155,73,63,88,57,106,79,73,105,180,165,60
2020년04월_남_90~99세,115,16,5,13,10,8,7,6,3,7,15,20,5
2020년04월_남_100세 이상,19,2,1,3,4,1,1,1,3,0,2,1,0
2020년04월_여_총인구수,"39,891","4,512","3,523","2,661","2,280","2,622","4,240","2,715","1,785","3,827","6,380","4,068","1,278"
2020년04월_여_연령구간인구수,"39,891","4,512","3,523","2,661","2,280","2,622","4,240","2,715","1,785","3,827","6,380","4,068","1,278"
2020년04월_여_0~9세,"2,567",180,254,84,65,286,482,132,60,283,451,253,37
2020년04월_여_10~19세,"2,515",251,205,133,102,114,250,169,107,265,518,328,73
2020년04월_여_20~29세,"6,123",782,975,825,423,327,406,461,269,386,652,496,121
2020년04월_여_30~39세,"5,314",528,603,328,218,515,747,342,185,517,734,501,96
2020년04월_여_40~49세,"5,308",530,430,285,233,326,567,322,244,575,"1,000",609,187
2020년04월_여_50~59세,"5,808",669,369,293,358,367,660,421,273,586,984,629,199
2020년04월_여_60~69세,"5,453",659,335,287,389,335,536,374,262,568,965,520,223
2020년04월_여_70~79세,"4,258",577,210,265,311,219,386,309,228,409,654,459,231
2020년04월_여_80~89세,"2,098",269,112,126,136,108,169,170,119,204,364,232,89
2020년04월_여_90~99세,369,56,24,33,34,21,27,14,27,30,52,35,16
2020년04월_여_100세 이상,78,11,6,2,11,4,10,1,11,4,6,6,6
