,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년11월_계_총인구수,"436,567","4,901","23,335","4,121","18,969","20,016","9,239","10,933","9,086","8,420","17,871","7,654","30,222","6,499","36,522","36,741","22,266","24,668","35,548","16,649","26,963","28,356","11,677","25,911"
2021년11월_계_연령구간인구수,"436,567","4,901","23,335","4,121","18,969","20,016","9,239","10,933","9,086","8,420","17,871","7,654","30,222","6,499","36,522","36,741","22,266","24,668","35,548","16,649","26,963","28,356","11,677","25,911"
2021년11월_계_0~9세,"31,964",359,"2,259",162,"2,055","1,665",239,561,256,277,"1,058",167,"2,328",268,"3,372","4,320","1,255","1,510","2,427",795,"1,641","2,106",583,"2,301"
2021년11월_계_10~19세,"41,815",342,"2,023",196,"2,296","2,198",407,864,452,454,"1,122",330,"3,094",389,"3,824","3,207","1,663","2,342","4,756","1,466","2,402","4,181",573,"3,234"
2021년11월_계_20~29세,"61,263",552,"2,831",462,"2,033","2,334",952,"1,608","2,558","1,270","2,831","2,380","4,356",700,"4,176","3,717","3,916","3,648","5,247","2,328","4,210","4,094","1,278","3,782"
2021년11월_계_30~39세,"52,486",694,"3,560",457,"2,567","2,189",724,"1,164","1,147",999,"2,010","1,066","3,915",752,"4,626","5,949","2,587","2,688","3,283","1,590","3,175","2,738","1,502","3,104"
2021년11월_계_40~49세,"70,201",673,"4,090",466,"3,687","3,386","1,052","1,385","1,039",992,"2,564",805,"4,820",845,"6,828","6,472","3,030","3,790","6,364","2,324","3,651","5,557","1,511","4,870"
2021년11월_계_50~59세,"78,084",778,"3,276",829,"2,812","3,460","1,805","2,180","1,201","1,468","2,849","1,193","5,266","1,140","6,465","5,882","4,162","4,636","7,306","3,495","5,387","5,600","2,218","4,676"
2021년11월_계_60~69세,"57,332",770,"2,722",917,"1,960","2,515","2,038","1,810","1,277","1,619","2,737","1,012","3,994","1,325","4,285","4,461","3,258","3,574","3,622","2,803","3,908","2,237","2,306","2,182"
2021년11월_계_70~79세,"28,834",496,"1,603",430,"1,032","1,508","1,354",935,761,908,"1,722",468,"1,618",704,"2,113","1,922","1,557","1,680","1,678","1,164","1,643","1,166","1,253","1,119"
2021년11월_계_80~89세,"13,034",203,852,174,477,687,618,378,351,384,855,211,729,342,742,714,741,716,775,630,858,628,403,566
2021년11월_계_90~99세,"1,506",33,118,26,48,71,48,47,43,48,110,21,100,34,90,94,96,82,89,51,84,49,48,76
2021년11월_계_100세 이상,48,1,1,2,2,3,2,1,1,1,13,1,2,0,1,3,1,2,1,3,4,0,2,1
2021년11월_남_총인구수,"217,189","2,375","11,222","2,194","9,118","9,656","4,593","5,338","4,725","4,412","9,020","4,190","14,976","3,228","18,591","18,308","11,172","12,122","17,504","8,406","13,375","13,783","6,088","12,793"
2021년11월_남_연령구간인구수,"217,189","2,375","11,222","2,194","9,118","9,656","4,593","5,338","4,725","4,412","9,020","4,190","14,976","3,228","18,591","18,308","11,172","12,122","17,504","8,406","13,375","13,783","6,088","12,793"
2021년11월_남_0~9세,"16,347",173,"1,108",82,"1,031",869,126,274,131,147,522,89,"1,197",133,"1,764","2,243",655,797,"1,190",405,861,"1,087",290,"1,173"
2021년11월_남_10~19세,"21,704",162,"1,022",114,"1,165","1,122",224,445,234,262,570,181,"1,611",198,"1,958","1,615",880,"1,240","2,491",772,"1,298","2,179",290,"1,671"
2021년11월_남_20~29세,"33,054",294,"1,351",263,"1,043","1,241",556,888,"1,378",724,"1,693","1,388","2,368",403,"2,225","2,005","2,057","1,923","2,837","1,310","2,267","2,196",705,"1,939"
2021년11월_남_30~39세,"27,703",358,"1,773",277,"1,190","1,051",422,641,732,627,"1,122",671,"2,075",438,"2,390","2,989","1,450","1,458","1,658",900,"1,712","1,312",879,"1,578"
2021년11월_남_40~49세,"34,461",359,"2,033",263,"1,761","1,588",603,661,591,573,"1,347",474,"2,276",454,"3,452","3,343","1,513","1,836","2,918","1,172","1,686","2,404",850,"2,304"
2021년11월_남_50~59세,"38,678",407,"1,585",438,"1,384","1,675",937,"1,009",612,749,"1,440",598,"2,513",560,"3,426","2,863","2,021","2,184","3,621","1,720","2,546","2,821","1,170","2,399"
2021년11월_남_60~69세,"27,860",337,"1,317",489,901,"1,190",983,869,595,741,"1,269",500,"1,931",614,"2,114","2,156","1,599","1,684","1,838","1,391","1,970","1,130","1,150","1,092"
2021년11월_남_70~79세,"12,499",212,684,209,434,651,517,416,319,423,724,205,720,305,978,855,699,718,691,528,731,435,582,463
2021년11월_남_80~89세,"4,569",62,324,50,194,252,217,122,120,160,302,77,273,120,272,228,281,267,243,200,283,205,158,159
2021년11월_남_90~99세,308,11,25,9,15,17,8,13,13,6,26,6,12,3,12,11,17,15,17,8,21,14,14,15
2021년11월_남_100세 이상,6,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"219,378","2,526","12,113","1,927","9,851","10,360","4,646","5,595","4,361","4,008","8,851","3,464","15,246","3,271","17,931","18,433","11,094","12,546","18,044","8,243","13,588","14,573","5,589","13,118"
2021년11월_여_연령구간인구수,"219,378","2,526","12,113","1,927","9,851","10,360","4,646","5,595","4,361","4,008","8,851","3,464","15,246","3,271","17,931","18,433","11,094","12,546","18,044","8,243","13,588","14,573","5,589","13,118"
2021년11월_여_0~9세,"15,617",186,"1,151",80,"1,024",796,113,287,125,130,536,78,"1,131",135,"1,608","2,077",600,713,"1,237",390,780,"1,019",293,"1,128"
2021년11월_여_10~19세,"20,111",180,"1,001",82,"1,131","1,076",183,419,218,192,552,149,"1,483",191,"1,866","1,592",783,"1,102","2,265",694,"1,104","2,002",283,"1,563"
2021년11월_여_20~29세,"28,209",258,"1,480",199,990,"1,093",396,720,"1,180",546,"1,138",992,"1,988",297,"1,951","1,712","1,859","1,725","2,410","1,018","1,943","1,898",573,"1,843"
2021년11월_여_30~39세,"24,783",336,"1,787",180,"1,377","1,138",302,523,415,372,888,395,"1,840",314,"2,236","2,960","1,137","1,230","1,625",690,"1,463","1,426",623,"1,526"
2021년11월_여_40~49세,"35,740",314,"2,057",203,"1,926","1,798",449,724,448,419,"1,217",331,"2,544",391,"3,376","3,129","1,517","1,954","3,446","1,152","1,965","3,153",661,"2,566"
2021년11월_여_50~59세,"39,406",371,"1,691",391,"1,428","1,785",868,"1,171",589,719,"1,409",595,"2,753",580,"3,039","3,019","2,141","2,452","3,685","1,775","2,841","2,779","1,048","2,277"
2021년11월_여_60~69세,"29,472",433,"1,405",428,"1,059","1,325","1,055",941,682,878,"1,468",512,"2,063",711,"2,171","2,305","1,659","1,890","1,784","1,412","1,938","1,107","1,156","1,090"
2021년11월_여_70~79세,"16,335",284,919,221,598,857,837,519,442,485,998,263,898,399,"1,135","1,067",858,962,987,636,912,731,671,656
2021년11월_여_80~89세,"8,465",141,528,124,283,435,401,256,231,224,553,134,456,222,470,486,460,449,532,430,575,423,245,407
2021년11월_여_90~99세,"1,198",22,93,17,33,54,40,34,30,42,84,15,88,31,78,83,79,67,72,43,63,35,34,61
2021년11월_여_100세 이상,42,1,1,2,2,3,2,1,1,1,8,0,2,0,1,3,1,2,1,3,4,0,2,1
