,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2020년11월_계_총인구수,"405,194","36,255","21,314","24,666","23,892","20,463","29,399","9,316","23,205","27,476","34,286","31,910","20,900","22,613","39,258","23,989","16,252"
2020년11월_계_연령구간인구수,"405,194","36,255","21,314","24,666","23,892","20,463","29,399","9,316","23,205","27,476","34,286","31,910","20,900","22,613","39,258","23,989","16,252"
2020년11월_계_0~9세,"28,470","3,631","1,905",908,"1,368",846,"1,859",235,"1,340","1,864","2,184","2,224","1,214","1,251","3,399","1,487","2,755"
2020년11월_계_10~19세,"30,290","3,538","1,969","1,457","1,429","1,131","1,612",297,"1,967","2,242","2,480","2,343","1,483","1,244","3,914","2,031","1,153"
2020년11월_계_20~29세,"55,482","4,345","2,844","3,252","4,152","2,839","5,045","1,500","3,319","3,643","4,629","3,896","2,623","3,919","4,666","3,083","1,727"
2020년11월_계_30~39세,"63,390","6,277","3,912","2,946","5,014","2,968","5,495","1,259","2,906","3,334","5,049","4,601","2,808","4,349","5,217","3,329","3,926"
2020년11월_계_40~49세,"63,477","6,544","3,651","3,535","4,036","2,990","4,129","1,185","3,520","4,313","4,968","4,906","3,239","3,199","6,766","3,850","2,646"
2020년11월_계_50~59세,"63,519","5,104","3,047","4,729","3,067","3,541","4,567","1,889","3,959","4,817","5,882","4,965","3,506","3,062","5,705","3,939","1,740"
2020년11월_계_60~69세,"55,769","4,022","2,594","4,028","2,564","3,121","3,748","1,627","3,523","3,944","5,099","5,045","3,432","2,993","5,008","3,570","1,451"
2020년11월_계_70~79세,"31,723","1,983",963,"2,678","1,575","2,108","2,093",872,"1,938","2,338","2,840","2,887","1,819","1,824","3,245","1,963",597
2020년11월_계_80~89세,"11,390",711,356,979,597,806,768,370,638,872,"1,009",910,686,675,"1,168",632,213
2020년11월_계_90~99세,"1,509",91,69,124,69,96,81,59,89,101,137,124,79,92,161,94,43
2020년11월_계_100세 이상,175,9,4,30,21,17,2,23,6,8,9,9,11,5,9,11,1
2020년11월_남_총인구수,"200,063","17,698","10,453","12,442","12,185","9,928","14,282","5,054","11,575","13,597","17,164","15,565","10,222","11,072","18,944","11,869","8,013"
2020년11월_남_연령구간인구수,"200,063","17,698","10,453","12,442","12,185","9,928","14,282","5,054","11,575","13,597","17,164","15,565","10,222","11,072","18,944","11,869","8,013"
2020년11월_남_0~9세,"14,554","1,804",995,473,714,438,952,130,699,932,"1,097","1,146",598,618,"1,736",771,"1,451"
2020년11월_남_10~19세,"15,657","1,828","1,037",782,739,567,825,160,"1,010","1,165","1,263","1,180",793,638,"1,982","1,118",570
2020년11월_남_20~29세,"27,210","2,099","1,346","1,690","2,031","1,357","2,199",789,"1,738","1,867","2,363","1,966","1,341","1,734","2,277","1,602",811
2020년11월_남_30~39세,"32,314","2,990","1,964","1,628","2,706","1,526","2,745",730,"1,512","1,681","2,653","2,309","1,448","2,252","2,566","1,704","1,900"
2020년11월_남_40~49세,"32,564","3,219","1,834","1,870","2,225","1,525","2,114",672,"1,785","2,181","2,558","2,512","1,661","1,668","3,406","1,918","1,416"
2020년11월_남_50~59세,"31,420","2,519","1,447","2,464","1,617","1,777","2,314","1,124","1,934","2,386","2,929","2,326","1,642","1,544","2,728","1,867",802
2020년11월_남_60~69세,"26,300","1,920","1,197","1,920","1,167","1,420","1,808",885,"1,699","1,907","2,463","2,317","1,570","1,440","2,239","1,696",652
2020년11월_남_70~79세,"15,075","1,020",477,"1,183",731,956,994,407,938,"1,090","1,381","1,396",868,889,"1,491",932,322
2020년11월_남_80~89세,"4,549",279,135,400,229,329,309,135,236,362,424,373,275,272,476,236,79
2020년11월_남_90~99세,381,19,20,26,24,28,22,17,23,24,31,37,22,16,40,22,10
2020년11월_남_100세 이상,39,1,1,6,2,5,0,5,1,2,2,3,4,1,3,3,0
2020년11월_여_총인구수,"205,131","18,557","10,861","12,224","11,707","10,535","15,117","4,262","11,630","13,879","17,122","16,345","10,678","11,541","20,314","12,120","8,239"
2020년11월_여_연령구간인구수,"205,131","18,557","10,861","12,224","11,707","10,535","15,117","4,262","11,630","13,879","17,122","16,345","10,678","11,541","20,314","12,120","8,239"
2020년11월_여_0~9세,"13,916","1,827",910,435,654,408,907,105,641,932,"1,087","1,078",616,633,"1,663",716,"1,304"
2020년11월_여_10~19세,"14,633","1,710",932,675,690,564,787,137,957,"1,077","1,217","1,163",690,606,"1,932",913,583
2020년11월_여_20~29세,"28,272","2,246","1,498","1,562","2,121","1,482","2,846",711,"1,581","1,776","2,266","1,930","1,282","2,185","2,389","1,481",916
2020년11월_여_30~39세,"31,076","3,287","1,948","1,318","2,308","1,442","2,750",529,"1,394","1,653","2,396","2,292","1,360","2,097","2,651","1,625","2,026"
2020년11월_여_40~49세,"30,913","3,325","1,817","1,665","1,811","1,465","2,015",513,"1,735","2,132","2,410","2,394","1,578","1,531","3,360","1,932","1,230"
2020년11월_여_50~59세,"32,099","2,585","1,600","2,265","1,450","1,764","2,253",765,"2,025","2,431","2,953","2,639","1,864","1,518","2,977","2,072",938
2020년11월_여_60~69세,"29,469","2,102","1,397","2,108","1,397","1,701","1,940",742,"1,824","2,037","2,636","2,728","1,862","1,553","2,769","1,874",799
2020년11월_여_70~79세,"16,648",963,486,"1,495",844,"1,152","1,099",465,"1,000","1,248","1,459","1,491",951,935,"1,754","1,031",275
2020년11월_여_80~89세,"6,841",432,221,579,368,477,459,235,402,510,585,537,411,403,692,396,134
2020년11월_여_90~99세,"1,128",72,49,98,45,68,59,42,66,77,106,87,57,76,121,72,33
2020년11월_여_100세 이상,136,8,3,24,19,12,2,18,5,6,7,6,7,4,6,8,1
