카테고리,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2020년12월_계_총인구수,"293,556","17,085","27,081","22,785","11,932","14,077","24,063","15,764","15,711","23,409","14,704","26,661","16,553","13,452","16,589","11,177","10,725","11,788"
2020년12월_계_연령구간인구수,"293,556","17,085","27,081","22,785","11,932","14,077","24,063","15,764","15,711","23,409","14,704","26,661","16,553","13,452","16,589","11,177","10,725","11,788"
2020년12월_계_0~9세,"20,449","1,227","2,376","1,207",423,"1,011","1,820","1,190","1,310","1,750","1,391","2,584","1,037",767,830,576,531,419
2020년12월_계_10~19세,"19,815","1,208","1,570","1,623",780,995,"2,113","1,685","1,058","1,497",959,"1,655","1,111",905,896,540,599,621
2020년12월_계_20~29세,"45,043","2,498","4,404","4,372","4,642","2,215","3,027","1,754","1,823","2,931","1,507","3,010","2,555","2,153","2,351","2,019","1,713","2,069"
2020년12월_계_30~39세,"48,905","2,942","4,765","3,274","1,592","2,286","3,713","2,254","2,765","4,172","2,804","5,087","2,904","2,477","2,610","1,967","1,641","1,652"
2020년12월_계_40~49세,"45,020","2,647","4,032","3,023","1,153","2,172","4,079","2,937","2,547","3,760","2,574","4,504","2,404","2,098","2,320","1,465","1,558","1,747"
2020년12월_계_50~59세,"47,248","2,749","4,414","3,712","1,287","2,270","3,927","2,482","2,385","3,695","2,118","3,943","3,048","2,059","3,151","1,849","1,966","2,193"
2020년12월_계_60~69세,"36,534","2,094","3,053","3,006",953,"1,683","2,804","1,681","2,109","2,981","1,786","3,205","2,115","1,689","2,617","1,524","1,616","1,618"
2020년12월_계_70~79세,"20,586","1,191","1,623","1,743",754,977,"1,741","1,181","1,125","1,756","1,060","1,766",942,896,"1,242",824,748,"1,017"
2020년12월_계_80~89세,"8,520",444,710,709,301,389,718,522,513,741,442,743,383,351,486,359,299,410
