카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년07월_계_총인구수,"93,447","6,938","11,979","4,960","2,937","27,094","25,394","8,838","5,307"
2021년07월_계_연령구간인구수,"93,447","6,938","11,979","4,960","2,937","27,094","25,394","8,838","5,307"
2021년07월_계_0~9세,"5,992",475,737,147,137,"1,802","2,034",405,255
2021년07월_계_10~19세,"8,482",596,"1,228",195,200,"2,572","2,897",520,274
2021년07월_계_20~29세,"11,115",757,"1,319",469,332,"3,428","3,321",893,596
2021년07월_계_30~39세,"9,977",767,"1,209",431,280,"2,918","2,975",782,615
2021년07월_계_40~49세,"13,938",897,"1,882",545,359,"4,035","4,430","1,167",623
2021년07월_계_50~59세,"16,386","1,254","2,017",994,554,"4,841","4,165","1,600",961
2021년07월_계_60~69세,"13,742","1,132","1,722","1,088",520,"3,880","2,707","1,707",986
2021년07월_계_70~79세,"8,609",656,"1,139",648,354,"2,293","1,812","1,103",604
2021년07월_계_80~89세,"4,583",370,657,359,185,"1,175",922,583,332
2021년07월_계_90~99세,598,33,68,77,16,147,129,70,58
2021년07월_계_100세 이상,25,1,1,7,0,3,2,8,3
2021년07월_남_총인구수,"46,675","3,470","5,864","2,609","1,434","13,358","12,516","4,588","2,836"
2021년07월_남_연령구간인구수,"46,675","3,470","5,864","2,609","1,434","13,358","12,516","4,588","2,836"
2021년07월_남_0~9세,"3,083",257,386,83,62,911,"1,031",212,141
2021년07월_남_10~19세,"4,274",289,627,102,91,"1,291","1,467",270,137
2021년07월_남_20~29세,"6,040",413,722,257,198,"1,842","1,768",509,331
2021년07월_남_30~39세,"5,197",392,599,245,149,"1,476","1,530",435,371
2021년07월_남_40~49세,"7,199",474,948,335,193,"2,003","2,214",666,366
2021년07월_남_50~59세,"8,633",653,"1,054",581,272,"2,481","2,160",881,551
2021년07월_남_60~69세,"6,777",566,798,594,268,"1,935","1,226",865,525
2021년07월_남_70~79세,"3,624",280,458,273,139,946,723,526,279
2021년07월_남_80~89세,"1,682",134,253,113,60,432,364,205,121
2021년07월_남_90~99세,163,12,19,25,2,40,33,19,13
2021년07월_남_100세 이상,3,0,0,1,0,1,0,0,1
2021년07월_여_총인구수,"46,772","3,468","6,115","2,351","1,503","13,736","12,878","4,250","2,471"
2021년07월_여_연령구간인구수,"46,772","3,468","6,115","2,351","1,503","13,736","12,878","4,250","2,471"
2021년07월_여_0~9세,"2,909",218,351,64,75,891,"1,003",193,114
2021년07월_여_10~19세,"4,208",307,601,93,109,"1,281","1,430",250,137
2021년07월_여_20~29세,"5,075",344,597,212,134,"1,586","1,553",384,265
2021년07월_여_30~39세,"4,780",375,610,186,131,"1,442","1,445",347,244
2021년07월_여_40~49세,"6,739",423,934,210,166,"2,032","2,216",501,257
2021년07월_여_50~59세,"7,753",601,963,413,282,"2,360","2,005",719,410
2021년07월_여_60~69세,"6,965",566,924,494,252,"1,945","1,481",842,461
2021년07월_여_70~79세,"4,985",376,681,375,215,"1,347","1,089",577,325
2021년07월_여_80~89세,"2,901",236,404,246,125,743,558,378,211
2021년07월_여_90~99세,435,21,49,52,14,107,96,51,45
2021년07월_여_100세 이상,22,1,1,6,0,2,2,8,2
