,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년08월_계_총인구수,"563,730","24,430","14,926","8,731","28,167","14,641","17,700","32,005","29,703","23,826","16,812","32,042","21,821","44,011","16,752","77,293","39,942","20,571","11,630","36,792","19,831","18,749","13,355"
2020년08월_계_연령구간인구수,"563,730","24,430","14,926","8,731","28,167","14,641","17,700","32,005","29,703","23,826","16,812","32,042","21,821","44,011","16,752","77,293","39,942","20,571","11,630","36,792","19,831","18,749","13,355"
2020년08월_계_0~9세,"41,447","1,766",631,402,"2,204",707,"1,372","2,104","1,914","1,386",903,"1,469","2,080","5,274",645,"9,143","3,098","1,174",401,"2,423",870,795,686
2020년08월_계_10~19세,"56,382","2,077",752,599,"2,373","1,026","1,744","3,687","3,037","2,597","1,431","2,554","2,143","8,327","1,189","8,469","4,925","1,521",610,"3,723","1,345","1,294",959
2020년08월_계_20~29세,"80,288","3,007","2,387","1,306","4,348","2,433","2,533","5,156","4,803","4,161","2,583","6,745","2,701","4,240","1,880","9,275","5,463","3,572","1,305","5,148","2,926","2,578","1,738"
2020년08월_계_30~39세,"67,995","2,905","1,929",970,"3,924","1,829","2,301","3,457","3,404","2,545","2,161","3,670","2,935","4,750","1,358","11,664","4,263","2,931","1,154","3,973","2,321","1,999","1,552"
2020년08월_계_40~49세,"90,718","3,690","1,894","1,170","4,212","2,056","2,825","5,370","4,749","3,815","2,403","4,697","3,938","10,757","2,345","13,792","6,546","2,652","1,266","5,343","2,750","2,453","1,995"
2020년08월_계_50~59세,"104,670","4,278","2,654","1,542","5,263","2,981","3,374","6,705","6,522","5,290","3,588","6,486","3,905","5,882","3,109","11,954","7,443","3,899","2,325","7,444","3,867","3,515","2,644"
2020년08월_계_60~69세,"72,021","3,791","2,484","1,401","3,653","2,218","2,175","3,381","3,269","2,443","2,499","3,613","2,637","2,858","3,124","7,831","4,956","2,961","2,567","5,411","3,230","3,337","2,182"
2020년08월_계_70~79세,"34,030","2,044","1,518",894,"1,594",966,980,"1,482","1,365","1,049",871,"1,859","1,044","1,296","2,081","3,545","2,118","1,258","1,309","2,169","1,720","1,821","1,047"
