,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년10월_계_총인구수,"116,711","12,049","2,565","2,846","1,420","2,283","2,427","3,524","1,927","4,540","4,206","3,321","1,840","4,150","7,778","2,643","4,838","8,702","3,197","3,357","39,098"
2021년10월_계_연령구간인구수,"116,711","12,049","2,565","2,846","1,420","2,283","2,427","3,524","1,927","4,540","4,206","3,321","1,840","4,150","7,778","2,643","4,838","8,702","3,197","3,357","39,098"
2021년10월_계_0~9세,"9,964","1,075",40,55,20,74,46,58,29,84,104,69,26,92,584,130,207,658,104,105,"6,404"
2021년10월_계_10~19세,"9,659",798,131,121,49,125,71,151,52,155,204,134,55,176,827,185,351,904,219,194,"4,757"
2021년10월_계_20~29세,"12,212","1,113",177,239,87,139,160,226,99,308,355,268,95,286,"1,245",315,481,"1,286",251,380,"4,702"
2021년10월_계_30~39세,"14,490","1,593",125,156,65,112,112,183,94,251,297,223,87,216,943,261,366,848,212,281,"8,065"
2021년10월_계_40~49세,"16,722","1,663",205,243,117,217,187,300,143,362,424,341,137,337,"1,201",347,559,"1,326",304,394,"7,915"
2021년10월_계_50~59세,"17,342","1,970",454,498,248,347,363,579,325,867,719,645,364,721,"1,315",474,829,"1,465",557,597,"4,005"
2021년10월_계_60~69세,"16,910","2,013",580,646,315,515,583,850,454,"1,093",895,744,453,939,863,433,887,"1,102",659,678,"2,208"
2021년10월_계_70~79세,"11,403","1,133",473,464,278,416,497,646,372,757,740,512,343,802,488,299,728,706,525,459,765
2021년10월_계_80~89세,"6,910",602,328,372,205,301,356,460,310,552,399,338,241,504,275,171,369,347,312,230,238
2021년10월_계_90~99세,"1,064",87,50,50,36,33,52,67,45,109,66,47,37,73,35,28,60,59,54,38,38
2021년10월_계_100세 이상,35,2,2,2,0,4,0,4,4,2,3,0,2,4,2,0,1,1,0,1,1
2021년10월_남_총인구수,"58,861","6,048","1,290","1,492",700,"1,152","1,212","1,773",945,"2,339","2,206","1,740",948,"2,148","3,868","1,311","2,438","4,376","1,601","1,800","19,474"
2021년10월_남_연령구간인구수,"58,861","6,048","1,290","1,492",700,"1,152","1,212","1,773",945,"2,339","2,206","1,740",948,"2,148","3,868","1,311","2,438","4,376","1,601","1,800","19,474"
2021년10월_남_0~9세,"5,131",550,17,29,9,34,17,26,12,49,54,30,16,52,303,64,115,356,58,51,"3,289"
2021년10월_남_10~19세,"4,957",393,70,68,24,69,43,93,28,84,114,72,24,99,416,98,214,472,99,96,"2,381"
2021년10월_남_20~29세,"6,462",613,104,143,56,84,103,131,61,173,201,158,50,166,667,182,276,711,136,225,"2,222"
