,경기도 남양주시,경기도 남양주시 와부읍,경기도 남양주시 진접읍,경기도 남양주시 화도읍,경기도 남양주시 화도읍동부출장소,경기도 남양주시 진건읍,경기도 남양주시 오남읍,경기도 남양주시 퇴계원읍,경기도 남양주시 별내면,경기도 남양주시 수동면,경기도 남양주시 조안면,경기도 남양주시 호평동,경기도 남양주시 평내동,경기도 남양주시 금곡동,경기도 남양주시 양정동,경기도 남양주시 다산1동,경기도 남양주시 다산2동,경기도 남양주시 별내동
2020년10월_계_총인구수,"711,815","62,694","93,124","102,404","14,650","24,493","53,564","29,879","19,728","9,296","4,214","50,801","36,462","18,955","4,637","76,942","36,216","73,756"
2020년10월_계_연령구간인구수,"711,815","62,694","93,124","102,404","14,650","24,493","53,564","29,879","19,728","9,296","4,214","50,801","36,462","18,955","4,637","76,942","36,216","73,756"
2020년10월_계_0~9세,"65,489","4,241","8,512","8,791","1,618","1,098","4,137","1,794","1,243",357,200,"5,475","3,301",757,168,"10,263","4,880","8,654"
2020년10월_계_10~19세,"77,566","7,476","11,491","11,463","1,352","1,973","6,658","2,651","1,995",773,253,"6,732","5,057","1,201",201,"7,865","3,705","6,720"
2020년10월_계_20~29세,"84,625","7,826","10,486","12,012","1,591","3,334","6,624","4,154","2,478",883,400,"5,538","4,420","2,514",529,"8,949","3,833","9,054"
2020년10월_계_30~39세,"89,861","6,118","10,517","12,368","2,219","2,362","5,498","3,391","1,814",755,419,"6,190","4,265","2,118",490,"13,244","6,066","12,027"
2020년10월_계_40~49세,"129,926","11,205","17,518","19,469","2,466","3,432","10,306","4,315","3,280","1,061",535,"10,834","7,495","2,290",504,"14,749","7,230","13,237"
2020년10월_계_50~59세,"116,538","11,207","15,137","17,150","2,295","5,249","9,485","5,799","3,623","1,790",790,"7,399","5,750","3,930",927,"10,039","5,126","10,842"
2020년10월_계_60~69세,"82,123","7,559","10,762","11,523","1,870","3,990","5,670","4,489","2,696","1,934",870,"4,506","3,351","3,494","1,075","6,906","3,328","8,100"
2020년10월_계_70~79세,"44,475","4,801","5,910","6,699",816,"1,963","3,511","2,223","1,720","1,120",480,"2,867","1,869","1,642",485,"3,406","1,402","3,561"
2020년10월_계_80~89세,"18,371","1,932","2,462","2,552",364,945,"1,484",952,751,486,225,"1,089",831,864,226,"1,320",550,"1,338"
2020년10월_계_90~99세,"2,622",300,313,344,58,134,187,103,108,127,39,162,117,129,24,188,81,208
2020년10월_계_100세 이상,219,29,16,33,1,13,4,8,20,10,3,9,6,16,8,13,15,15
2020년10월_남_총인구수,"354,477","30,890","47,031","51,325","7,389","12,704","26,925","14,900","9,863","4,914","2,190","24,722","17,941","9,659","2,615","37,838","17,669","35,902"
2020년10월_남_연령구간인구수,"354,477","30,890","47,031","51,325","7,389","12,704","26,925","14,900","9,863","4,914","2,190","24,722","17,941","9,659","2,615","37,838","17,669","35,902"
2020년10월_남_0~9세,"33,683","2,212","4,423","4,557",835,605,"2,156",890,633,204,105,"2,816","1,672",378,81,"5,229","2,487","4,400"
2020년10월_남_10~19세,"39,893","3,832","5,963","5,979",667,"1,005","3,400","1,379","1,078",450,126,"3,469","2,599",640,101,"3,962","1,908","3,335"
2020년10월_남_20~29세,"44,111","4,121","5,542","6,306",830,"1,838","3,539","2,200","1,241",520,225,"2,861","2,237","1,401",312,"4,488","1,946","4,504"
2020년10월_남_30~39세,"44,221","2,983","5,204","6,212","1,124","1,274","2,744","1,774",948,407,216,"2,856","2,069","1,195",303,"6,314","2,768","5,830"
2020년10월_남_40~49세,"65,241","5,337","8,839","9,892","1,264","1,835","5,213","2,169","1,630",591,282,"5,215","3,658","1,222",319,"7,536","3,648","6,591"
2020년10월_남_50~59세,"59,529","5,706","8,033","8,849","1,195","2,791","4,991","2,797","1,910",986,436,"3,786","2,965","1,964",524,"4,902","2,517","5,177"
2020년10월_남_60~69세,"39,984","3,600","5,344","5,530",927,"2,103","2,747","2,289","1,306","1,004",451,"2,024","1,585","1,760",644,"3,258","1,537","3,875"
2020년10월_남_70~79세,"20,293","2,245","2,661","2,974",392,874,"1,530","1,027",764,542,247,"1,228",823,765,237,"1,643",644,"1,697"
2020년10월_남_80~89세,"6,865",761,935,938,144,348,561,348,318,180,93,425,304,300,89,476,192,453
2020년10월_남_90~99세,596,85,83,78,10,30,43,24,30,24,6,38,29,29,5,29,17,36
2020년10월_남_100세 이상,61,8,4,10,1,1,1,3,5,6,3,4,0,5,0,1,5,4
2020년10월_여_총인구수,"357,338","31,804","46,093","51,079","7,261","11,789","26,639","14,979","9,865","4,382","2,024","26,079","18,521","9,296","2,022","39,104","18,547","37,854"
2020년10월_여_연령구간인구수,"357,338","31,804","46,093","51,079","7,261","11,789","26,639","14,979","9,865","4,382","2,024","26,079","18,521","9,296","2,022","39,104","18,547","37,854"
2020년10월_여_0~9세,"31,806","2,029","4,089","4,234",783,493,"1,981",904,610,153,95,"2,659","1,629",379,87,"5,034","2,393","4,254"
2020년10월_여_10~19세,"37,673","3,644","5,528","5,484",685,968,"3,258","1,272",917,323,127,"3,263","2,458",561,100,"3,903","1,797","3,385"
2020년10월_여_20~29세,"40,514","3,705","4,944","5,706",761,"1,496","3,085","1,954","1,237",363,175,"2,677","2,183","1,113",217,"4,461","1,887","4,550"
2020년10월_여_30~39세,"45,640","3,135","5,313","6,156","1,095","1,088","2,754","1,617",866,348,203,"3,334","2,196",923,187,"6,930","3,298","6,197"
2020년10월_여_40~49세,"64,685","5,868","8,679","9,577","1,202","1,597","5,093","2,146","1,650",470,253,"5,619","3,837","1,068",185,"7,213","3,582","6,646"
2020년10월_여_50~59세,"57,009","5,501","7,104","8,301","1,100","2,458","4,494","3,002","1,713",804,354,"3,613","2,785","1,966",403,"5,137","2,609","5,665"
