카테고리,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년05월_계_총인구수,"406,602","14,605","14,093","17,094","17,254","18,135","7,613","48,060","32,009","19,471","23,820","26,856","20,799","18,091","8,973","14,299","17,739","23,024","13,277","21,838","15,810","13,742"
2020년05월_계_연령구간인구수,"406,602","14,605","14,093","17,094","17,254","18,135","7,613","48,060","32,009","19,471","23,820","26,856","20,799","18,091","8,973","14,299","17,739","23,024","13,277","21,838","15,810","13,742"
2020년05월_계_0~9세,"28,340","1,175","1,086","1,073",685,"1,376",303,"4,435","2,379","1,277","1,785","2,221","1,415","1,033",512,632,872,"2,166",638,"1,412","1,112",753
2020년05월_계_10~19세,"32,447",962,861,"1,371","1,027","1,376",385,"4,943","3,538","1,870","1,627","2,069",926,"1,189",698,887,"1,249","1,873","1,034","1,986","1,345","1,231"
2020년05월_계_20~29세,"57,294","1,849","2,056","2,169","3,794","2,750",863,"6,698","4,227","2,499","3,381","3,466","4,356","2,295","1,108","1,714","2,596","2,867","1,613","2,960","2,185","1,848"
2020년05월_계_30~39세,"56,862","2,230","2,395","2,297","1,836","2,900",865,"6,661","3,475","2,370","3,801","4,341","4,432","2,254","1,010","1,656","2,432","3,762","1,498","2,687","2,050","1,910"
2020년05월_계_40~49세,"64,019","2,178","2,031","2,546","2,167","2,694","1,043","8,486","5,673","3,072","3,655","4,139","3,138","2,574","1,429","1,948","2,687","3,970","2,012","3,450","2,321","2,806"
2020년05월_계_50~59세,"68,019","2,401","2,249","2,838","2,687","2,734","1,330","7,793","5,645","3,421","3,840","4,320","3,138","3,148","1,556","2,494","3,173","3,452","2,414","4,060","2,827","2,499"
2020년05월_계_60~69세,"54,060","2,018","1,791","2,465","2,485","2,293","1,389","5,159","4,009","2,600","3,041","3,578","2,060","2,927","1,379","2,546","2,554","2,762","2,165","2,982","2,307","1,550"
2020년05월_계_70~79세,"30,976","1,204","1,019","1,569","1,776","1,426",936,"2,651","2,137","1,568","1,829","1,862",922,"1,813",910,"1,681","1,439","1,435","1,278","1,589","1,136",796
2020년05월_계_80~89세,"12,492",508,498,665,674,486,425,"1,072",807,669,734,743,352,738,325,633,627,633,529,629,447,298
2020년05월_계_90~99세,"1,912",76,91,96,108,87,61,160,112,114,119,105,57,108,41,97,101,95,85,78,73,48
2020년05월_계_100세 이상,181,4,16,5,15,13,13,2,7,11,8,12,3,12,5,11,9,9,11,5,7,3
2020년05월_남_총인구수,"204,875","7,386","7,092","8,611","9,303","9,162","3,995","23,896","15,930","9,622","11,839","13,672","10,835","9,183","4,566","7,128","8,848","11,486","6,484","10,693","7,786","7,358"
2020년05월_남_연령구간인구수,"204,875","7,386","7,092","8,611","9,303","9,162","3,995","23,896","15,930","9,622","11,839","13,672","10,835","9,183","4,566","7,128","8,848","11,486","6,484","10,693","7,786","7,358"
2020년05월_남_0~9세,"14,498",594,555,554,361,723,154,"2,272","1,198",630,909,"1,101",758,526,271,316,435,"1,114",314,723,608,382
2020년05월_남_10~19세,"16,743",499,440,748,526,762,195,"2,560","1,837",971,794,"1,074",470,631,349,439,627,968,547,996,678,632
2020년05월_남_20~29세,"30,332",972,"1,026","1,128","2,436","1,383",516,"3,454","2,257","1,377","1,700","1,795","2,161","1,273",623,933,"1,335","1,456",867,"1,567","1,107",966
2020년05월_남_30~39세,"30,469","1,195","1,325","1,263","1,061","1,568",506,"3,336","1,768","1,232","2,018","2,384","2,492","1,216",555,915,"1,344","1,935",804,"1,421","1,040","1,091"
2020년05월_남_40~49세,"33,831","1,223","1,100","1,313","1,257","1,411",626,"4,321","2,782","1,540","1,964","2,241","1,741","1,403",772,"1,055","1,463","2,113","1,055","1,704","1,172","1,575"
2020년05월_남_50~59세,"34,084","1,215","1,128","1,454","1,388","1,368",735,"3,850","2,826","1,661","1,910","2,165","1,589","1,622",798,"1,269","1,569","1,707","1,130","1,930","1,312","1,458"
2020년05월_남_60~69세,"25,935",983,898,"1,163","1,173","1,079",663,"2,487","1,974","1,246","1,432","1,788","1,036","1,377",673,"1,168","1,212","1,261","1,006","1,398","1,130",788
2020년05월_남_70~79세,"14,020",519,438,738,814,672,406,"1,221",963,720,808,832,440,838,395,764,637,662,542,699,561,351
2020년05월_남_80~89세,"4,485",163,168,217,259,171,171,360,294,215,274,268,136,272,112,252,201,250,199,234,158,111
2020년05월_남_90~99세,430,23,11,33,25,21,20,35,27,25,29,20,10,23,16,14,22,17,16,21,19,3
2020년05월_남_100세 이상,48,0,3,0,3,4,3,0,4,5,1,4,2,2,2,3,3,3,4,0,1,1
2020년05월_여_총인구수,"201,727","7,219","7,001","8,483","7,951","8,973","3,618","24,164","16,079","9,849","11,981","13,184","9,964","8,908","4,407","7,171","8,891","11,538","6,793","11,145","8,024","6,384"
2020년05월_여_연령구간인구수,"201,727","7,219","7,001","8,483","7,951","8,973","3,618","24,164","16,079","9,849","11,981","13,184","9,964","8,908","4,407","7,171","8,891","11,538","6,793","11,145","8,024","6,384"
2020년05월_여_0~9세,"13,842",581,531,519,324,653,149,"2,163","1,181",647,876,"1,120",657,507,241,316,437,"1,052",324,689,504,371
2020년05월_여_10~19세,"15,704",463,421,623,501,614,190,"2,383","1,701",899,833,995,456,558,349,448,622,905,487,990,667,599
2020년05월_여_20~29세,"26,962",877,"1,030","1,041","1,358","1,367",347,"3,244","1,970","1,122","1,681","1,671","2,195","1,022",485,781,"1,261","1,411",746,"1,393","1,078",882
2020년05월_여_30~39세,"26,393","1,035","1,070","1,034",775,"1,332",359,"3,325","1,707","1,138","1,783","1,957","1,940","1,038",455,741,"1,088","1,827",694,"1,266","1,010",819
2020년05월_여_40~49세,"30,188",955,931,"1,233",910,"1,283",417,"4,165","2,891","1,532","1,691","1,898","1,397","1,171",657,893,"1,224","1,857",957,"1,746","1,149","1,231"
2020년05월_여_50~59세,"33,935","1,186","1,121","1,384","1,299","1,366",595,"3,943","2,819","1,760","1,930","2,155","1,549","1,526",758,"1,225","1,604","1,745","1,284","2,130","1,515","1,041"
2020년05월_여_60~69세,"28,125","1,035",893,"1,302","1,312","1,214",726,"2,672","2,035","1,354","1,609","1,790","1,024","1,550",706,"1,378","1,342","1,501","1,159","1,584","1,177",762
2020년05월_여_70~79세,"16,956",685,581,831,962,754,530,"1,430","1,174",848,"1,021","1,030",482,975,515,917,802,773,736,890,575,445
2020년05월_여_80~89세,"8,007",345,330,448,415,315,254,712,513,454,460,475,216,466,213,381,426,383,330,395,289,187
2020년05월_여_90~99세,"1,482",53,80,63,83,66,41,125,85,89,90,85,47,85,25,83,79,78,69,57,54,45
2020년05월_여_100세 이상,133,4,13,5,12,9,10,2,3,6,7,8,1,10,3,8,6,6,7,5,6,2
