,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년04월_계_총인구수,"533,579","16,336","22,643","21,522","26,841","26,650","13,168","29,779","24,521","36,675","20,024","35,481","36,322","21,865","33,644","6,493","21,998","23,778","43,906","23,611","15,413","17,893","15,016"
2021년04월_계_연령구간인구수,"533,579","16,336","22,643","21,522","26,841","26,650","13,168","29,779","24,521","36,675","20,024","35,481","36,322","21,865","33,644","6,493","21,998","23,778","43,906","23,611","15,413","17,893","15,016"
2021년04월_계_0~9세,"35,921",929,697,"1,090","2,120","2,105",836,"2,364","1,882","1,956",718,"1,008","2,843","1,723","2,856",378,"1,683","1,701","4,283","2,120",726,"1,306",597
2021년04월_계_10~19세,"58,247","1,638",884,"1,314","2,759","2,234","1,250","3,467","5,461","6,082","2,418","1,360","5,456","2,361","4,764",573,"2,463","2,268","4,638","3,330","1,174","1,782",571
2021년04월_계_20~29세,"72,221","2,204","4,594","3,510","3,104","3,768","1,849","3,806","2,412","4,665","3,364","7,446","4,438","2,916","3,904",719,"2,795","3,317","5,328","2,573","2,128","1,851","1,530"
2021년04월_계_30~39세,"80,020","2,281","5,625","4,429","3,236","4,330","1,915","4,851","1,488","3,273","3,311","10,023","5,126","3,155","3,457",667,"2,744","3,647","6,577","2,837","2,223","2,584","2,241"
2021년04월_계_40~49세,"98,177","2,884","3,839","3,840","4,734","4,748","2,125","6,314","5,961","7,004","3,972","6,065","8,492","3,858","6,496",929,"3,659","4,006","7,854","4,506","2,106","3,136","1,649"
2021년04월_계_50~59세,"80,315","2,494","2,814","2,975","4,161","3,964","2,166","4,241","3,871","6,522","3,228","4,213","4,968","3,498","5,479","1,047","3,752","3,964","5,970","3,711","2,469","2,607","2,201"
2021년04월_계_60~69세,"60,078","1,789","2,252","2,255","3,180","3,006","1,692","2,456","1,931","4,319","1,576","3,056","2,635","2,564","3,614","1,187","3,084","3,061","5,038","2,904","2,542","2,578","3,359"
2021년04월_계_70~79세,"34,230","1,396","1,364","1,514","2,396","1,748",954,"1,650","1,087","2,143","1,084","1,659","1,725","1,219","2,143",705,"1,349","1,322","2,717","1,128","1,400","1,533","1,994"
2021년04월_계_80~89세,"11,995",615,498,511,973,621,314,534,350,598,308,548,551,475,779,236,379,410,"1,231",389,524,440,711
2021년04월_계_90~99세,"2,221",101,71,79,167,116,64,83,68,104,44,93,81,93,143,46,79,77,261,108,114,70,159
2021년04월_계_100세 이상,154,5,5,5,11,10,3,13,10,9,1,10,7,3,9,6,11,5,9,5,7,6,4
2021년04월_남_총인구수,"255,243","7,579","10,675","10,016","12,393","12,488","6,506","14,235","12,353","18,597","9,434","17,156","17,016","10,350","15,653","3,169","10,573","11,538","20,825","11,643","7,556","8,666","6,822"
2021년04월_남_연령구간인구수,"255,243","7,579","10,675","10,016","12,393","12,488","6,506","14,235","12,353","18,597","9,434","17,156","17,016","10,350","15,653","3,169","10,573","11,538","20,825","11,643","7,556","8,666","6,822"
2021년04월_남_0~9세,"18,543",500,335,551,"1,014","1,148",447,"1,273","1,023","1,046",358,505,"1,437",839,"1,460",196,850,865,"2,165","1,165",367,690,309
2021년04월_남_10~19세,"30,340",808,428,675,"1,332","1,180",725,"1,915","3,061","3,611","1,290",671,"2,614","1,089","2,090",296,"1,187","1,146","2,280","1,907",658,"1,096",281
2021년04월_남_20~29세,"34,483","1,016","2,057","1,569","1,462","1,720",984,"1,811","1,252","2,519","1,605","3,223","1,885","1,368","1,789",369,"1,425","1,659","2,545","1,351","1,094",992,788
2021년04월_남_30~39세,"36,698","1,013","2,686","1,997","1,382","1,870",903,"2,046",591,"1,520","1,494","4,932","2,219","1,409","1,421",309,"1,291","1,768","3,008","1,297","1,177","1,230","1,135"
2021년04월_남_40~49세,"45,539","1,267","1,878","1,830","2,145","2,184",989,"2,895","2,594","2,974","1,712","3,069","3,902","1,831","2,881",443,"1,690","1,888","3,852","2,063","1,065","1,519",868
2021년04월_남_50~59세,"40,261","1,216","1,396","1,442","2,032","1,870","1,036","2,153","2,169","3,398","1,624","2,232","2,711","1,721","2,762",528,"1,791","1,979","2,916","1,817","1,202","1,268",998
2021년04월_남_60~69세,"27,511",820,"1,006",984,"1,401","1,373",786,"1,124",921,"2,163",721,"1,448","1,172","1,254","1,728",546,"1,462","1,410","2,247","1,330","1,144","1,089","1,382"
2021년04월_남_70~79세,"16,202",616,648,722,"1,114",827,467,743,561,"1,082",478,795,789,613,"1,092",362,707,628,"1,305",560,660,631,802
2021년04월_남_80~89세,"5,120",293,219,223,465,290,146,256,164,262,145,259,267,196,389,109,156,178,442,137,164,136,224
