,경기도 연천군,경기도 연천군 연천읍,경기도 연천군 전곡읍,경기도 연천군 군남면,경기도 연천군 청산면,경기도 연천군 백학면,경기도 연천군 미산면,경기도 연천군 왕징면,경기도 연천군 신서면,경기도 연천군 중면,경기도 연천군 장남면
2021년05월_계_총인구수,"43,071","7,811","19,214","3,161","3,859","2,611","1,765",999,"2,722",195,734
2021년05월_계_연령구간인구수,"43,071","7,811","19,214","3,161","3,859","2,611","1,765",999,"2,722",195,734
2021년05월_계_0~9세,"2,643",683,"1,513",93,117,80,49,23,58,5,22
2021년05월_계_10~19세,"3,119",434,"1,921",168,191,143,67,45,104,10,36
2021년05월_계_20~29세,"5,288","1,248","2,415",321,445,231,133,75,319,45,56
2021년05월_계_30~39세,"4,146",991,"2,156",186,255,167,127,60,147,13,44
2021년05월_계_40~49세,"4,841",796,"2,631",275,392,239,128,76,226,16,62
2021년05월_계_50~59세,"6,999","1,044","3,173",567,676,495,325,148,408,31,132
2021년05월_계_60~69세,"7,768","1,152","2,847",713,873,579,495,243,662,35,169
2021년05월_계_70~79세,"4,964",858,"1,522",494,550,420,254,212,496,26,132
2021년05월_계_80~89세,"2,870",516,874,310,315,238,161,106,268,13,69
2021년05월_계_90~99세,409,84,155,31,42,18,24,10,32,1,12
2021년05월_계_100세 이상,24,5,7,3,3,1,2,1,2,0,0
2021년05월_남_총인구수,"22,546","4,230","9,771","1,685","2,041","1,399",946,533,"1,451",118,372
2021년05월_남_연령구간인구수,"22,546","4,230","9,771","1,685","2,041","1,399",946,533,"1,451",118,372
2021년05월_남_0~9세,"1,338",334,775,48,50,41,27,16,29,3,15
2021년05월_남_10~19세,"1,646",248,976,92,110,83,39,28,47,5,18
2021년05월_남_20~29세,"3,372",865,"1,375",225,314,146,84,47,241,39,36
2021년05월_남_30~39세,"2,357",586,"1,166",111,162,103,72,33,93,8,23
2021년05월_남_40~49세,"2,641",451,"1,338",168,231,132,78,51,142,9,41
2021년05월_남_50~59세,"3,770",587,"1,648",312,374,278,177,81,231,17,65
2021년05월_남_60~69세,"4,017",581,"1,457",387,443,304,281,127,332,19,86
2021년05월_남_70~79세,"2,254",366,700,226,234,203,112,102,236,14,61
2021년05월_남_80~89세,"1,031",185,289,106,112,103,68,46,91,4,27
2021년05월_남_90~99세,112,26,44,9,11,6,7,1,8,0,0
2021년05월_남_100세 이상,8,1,3,1,0,0,1,1,1,0,0
2021년05월_여_총인구수,"20,525","3,581","9,443","1,476","1,818","1,212",819,466,"1,271",77,362
2021년05월_여_연령구간인구수,"20,525","3,581","9,443","1,476","1,818","1,212",819,466,"1,271",77,362
2021년05월_여_0~9세,"1,305",349,738,45,67,39,22,7,29,2,7
2021년05월_여_10~19세,"1,473",186,945,76,81,60,28,17,57,5,18
2021년05월_여_20~29세,"1,916",383,"1,040",96,131,85,49,28,78,6,20
2021년05월_여_30~39세,"1,789",405,990,75,93,64,55,27,54,5,21
2021년05월_여_40~49세,"2,200",345,"1,293",107,161,107,50,25,84,7,21
2021년05월_여_50~59세,"3,229",457,"1,525",255,302,217,148,67,177,14,67
2021년05월_여_60~69세,"3,751",571,"1,390",326,430,275,214,116,330,16,83
2021년05월_여_70~79세,"2,710",492,822,268,316,217,142,110,260,12,71
2021년05월_여_80~89세,"1,839",331,585,204,203,135,93,60,177,9,42
2021년05월_여_90~99세,297,58,111,22,31,12,17,9,24,1,12
2021년05월_여_100세 이상,16,4,4,2,3,1,1,0,1,0,0
