카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년01월_계_총인구수,"42,855","13,193","3,735","1,614","3,888","2,331","3,530","2,603","3,546","2,859","5,556"
2021년01월_계_연령구간인구수,"42,855","13,193","3,735","1,614","3,888","2,331","3,530","2,603","3,546","2,859","5,556"
2021년01월_계_0~9세,"1,586",860,75,36,125,85,62,50,115,46,132
2021년01월_계_10~19세,"2,919","1,390",235,92,173,176,205,85,181,112,270
2021년01월_계_20~29세,"3,266","1,554",216,107,201,181,192,125,214,161,315
2021년01월_계_30~39세,"2,447","1,129",156,77,198,131,149,100,167,107,233
2021년01월_계_40~49세,"4,577","1,952",340,134,373,252,316,214,310,199,487
2021년01월_계_50~59세,"7,297","2,208",622,310,664,467,584,427,570,468,977
2021년01월_계_60~69세,"8,360","1,978",783,320,852,505,707,542,707,681,"1,285"
2021년01월_계_70~79세,"6,670","1,223",690,273,694,328,704,519,648,544,"1,047"
2021년01월_계_80~89세,"4,874",768,532,231,509,170,520,467,523,441,713
2021년01월_계_90~99세,842,130,85,34,97,35,86,73,110,96,96
2021년01월_계_100세 이상,17,1,1,0,2,1,5,1,1,4,1
2021년01월_남_총인구수,"20,661","6,444","1,796",794,"1,873","1,208","1,666","1,247","1,658","1,345","2,630"
2021년01월_남_연령구간인구수,"20,661","6,444","1,796",794,"1,873","1,208","1,666","1,247","1,658","1,345","2,630"
2021년01월_남_0~9세,835,434,37,22,71,41,35,27,65,26,77
2021년01월_남_10~19세,"1,568",722,151,48,98,90,100,51,108,54,146
2021년01월_남_20~29세,"2,010",931,134,70,122,133,123,94,111,100,192
2021년01월_남_30~39세,"1,271",556,81,42,107,70,87,56,87,60,125
2021년01월_남_40~49세,"2,458",933,186,75,212,141,184,134,188,110,295
2021년01월_남_50~59세,"3,899","1,121",353,177,368,252,319,246,295,254,514
2021년01월_남_60~69세,"4,078",942,375,159,418,258,338,269,339,343,637
2021년01월_남_70~79세,"2,921",542,293,118,309,161,320,221,285,242,430
2021년01월_남_80~89세,"1,468",244,164,78,152,57,140,140,154,139,200
2021년01월_남_90~99세,151,19,21,5,15,5,20,9,26,17,14
2021년01월_남_100세 이상,2,0,1,0,1,0,0,0,0,0,0
2021년01월_여_총인구수,"22,194","6,749","1,939",820,"2,015","1,123","1,864","1,356","1,888","1,514","2,926"
2021년01월_여_연령구간인구수,"22,194","6,749","1,939",820,"2,015","1,123","1,864","1,356","1,888","1,514","2,926"
2021년01월_여_0~9세,751,426,38,14,54,44,27,23,50,20,55
2021년01월_여_10~19세,"1,351",668,84,44,75,86,105,34,73,58,124
2021년01월_여_20~29세,"1,256",623,82,37,79,48,69,31,103,61,123
2021년01월_여_30~39세,"1,176",573,75,35,91,61,62,44,80,47,108
2021년01월_여_40~49세,"2,119","1,019",154,59,161,111,132,80,122,89,192
2021년01월_여_50~59세,"3,398","1,087",269,133,296,215,265,181,275,214,463
2021년01월_여_60~69세,"4,282","1,036",408,161,434,247,369,273,368,338,648
2021년01월_여_70~79세,"3,749",681,397,155,385,167,384,298,363,302,617
2021년01월_여_80~89세,"3,406",524,368,153,357,113,380,327,369,302,513
2021년01월_여_90~99세,691,111,64,29,82,30,66,64,84,79,82
2021년01월_여_100세 이상,15,1,0,0,1,1,5,1,1,4,1
