카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년01월_계_총인구수,"54,484","8,430","14,839","6,734","1,925","2,101","3,880","3,679","2,331","3,222","1,973","3,029","2,341"
2020년01월_계_연령구간인구수,"54,484","8,430","14,839","6,734","1,925","2,101","3,880","3,679","2,331","3,222","1,973","3,029","2,341"
2020년01월_계_0~9세,"3,924",682,"1,690",720,75,54,126,113,72,113,71,129,79
2020년01월_계_10~19세,"4,666",836,"1,813",742,103,86,218,162,110,179,85,216,116
2020년01월_계_20~29세,"5,077",878,"1,499",852,135,128,295,274,194,249,132,268,173
2020년01월_계_30~39세,"5,241",797,"2,010","1,003",112,101,261,202,141,163,115,173,163
2020년01월_계_40~49세,"7,675","1,103","2,873","1,325",186,209,391,350,206,317,168,314,233
2020년01월_계_50~59세,"9,449","1,489","2,409","1,273",319,388,706,629,447,556,313,514,406
2020년01월_계_60~69세,"7,658","1,121","1,333",456,332,417,776,795,449,580,378,548,473
2020년01월_계_70~79세,"6,393",925,806,229,330,417,655,691,404,641,396,491,408
2020년01월_계_80~89세,"3,876",509,365,116,294,264,401,404,283,374,276,321,269
2020년01월_계_90~99세,493,86,38,17,35,37,44,57,23,48,36,52,20
2020년01월_계_100세 이상,32,4,3,1,4,0,7,2,2,2,3,3,1
2020년01월_남_총인구수,"27,993","4,175","7,886","3,869",939,"1,046","1,934","1,831","1,185","1,540",938,"1,479","1,171"
2020년01월_남_연령구간인구수,"27,993","4,175","7,886","3,869",939,"1,046","1,934","1,831","1,185","1,540",938,"1,479","1,171"
2020년01월_남_0~9세,"1,984",356,809,372,41,26,54,70,49,68,28,68,43
2020년01월_남_10~19세,"2,488",435,970,386,48,51,121,96,69,101,50,109,52
2020년01월_남_20~29세,"2,863",484,793,519,79,68,190,161,115,140,71,143,100
2020년01월_남_30~39세,"2,913",403,"1,052",613,73,57,154,125,84,94,68,94,96
2020년01월_남_40~49세,"4,558",586,"1,696",816,113,127,229,239,125,193,110,178,146
2020년01월_남_50~59세,"5,388",794,"1,413",786,201,231,375,353,252,299,176,288,220
2020년01월_남_60~69세,"3,859",538,698,253,151,231,391,388,246,273,182,263,245
2020년01월_남_70~79세,"2,636",402,350,94,124,172,271,290,155,253,152,203,170
2020년01월_남_80~89세,"1,199",157,98,26,96,75,138,101,85,111,97,117,98
2020년01월_남_90~99세,98,19,6,4,12,8,8,8,5,8,3,16,1
2020년01월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년01월_여_총인구수,"26,491","4,255","6,953","2,865",986,"1,055","1,946","1,848","1,146","1,682","1,035","1,550","1,170"
2020년01월_여_연령구간인구수,"26,491","4,255","6,953","2,865",986,"1,055","1,946","1,848","1,146","1,682","1,035","1,550","1,170"
2020년01월_여_0~9세,"1,940",326,881,348,34,28,72,43,23,45,43,61,36
2020년01월_여_10~19세,"2,178",401,843,356,55,35,97,66,41,78,35,107,64
2020년01월_여_20~29세,"2,214",394,706,333,56,60,105,113,79,109,61,125,73
2020년01월_여_30~39세,"2,328",394,958,390,39,44,107,77,57,69,47,79,67
2020년01월_여_40~49세,"3,117",517,"1,177",509,73,82,162,111,81,124,58,136,87
2020년01월_여_50~59세,"4,061",695,996,487,118,157,331,276,195,257,137,226,186
2020년01월_여_60~69세,"3,799",583,635,203,181,186,385,407,203,307,196,285,228
2020년01월_여_70~79세,"3,757",523,456,135,206,245,384,401,249,388,244,288,238
2020년01월_여_80~89세,"2,677",352,267,90,198,189,263,303,198,263,179,204,171
2020년01월_여_90~99세,395,67,32,13,23,29,36,49,18,40,33,36,19
2020년01월_여_100세 이상,25,3,2,1,3,0,4,2,2,2,2,3,1
