,강원도 속초시,강원도 속초시 영랑동,강원도 속초시 동명동,강원도 속초시 금호동,강원도 속초시 교동,강원도 속초시 노학동,강원도 속초시 조양동,강원도 속초시 청호동,강원도 속초시 대포동
2021년04월_계_총인구수,"82,302","4,438","3,700","6,086","9,610","21,501","29,292","4,570","3,105"
2021년04월_계_연령구간인구수,"82,302","4,438","3,700","6,086","9,610","21,501","29,292","4,570","3,105"
2021년04월_계_0~9세,"5,782",164,247,226,537,"1,364","2,913",251,80
2021년04월_계_10~19세,"7,324",234,249,445,840,"2,212","2,979",252,113
2021년04월_계_20~29세,"8,908",411,324,599,"1,117","2,393","3,441",380,243
2021년04월_계_30~39세,"9,082",394,351,452,964,"2,195","3,999",502,225
2021년04월_계_40~49세,"12,326",498,502,740,"1,366","3,382","4,964",556,318
2021년04월_계_50~59세,"15,006",879,713,"1,206","1,727","4,043","4,927",875,636
2021년04월_계_60~69세,"13,190","1,033",673,"1,257","1,727","3,333","3,496",910,761
2021년04월_계_70~79세,"6,783",536,417,705,843,"1,628","1,699",491,464
2021년04월_계_80~89세,"3,277",246,193,373,416,796,748,284,221
2021년04월_계_90~99세,605,40,31,82,70,153,121,66,42
2021년04월_계_100세 이상,19,3,0,1,3,2,5,3,2
2021년04월_남_총인구수,"40,771","2,297","1,869","2,976","4,715","10,699","14,309","2,298","1,608"
2021년04월_남_연령구간인구수,"40,771","2,297","1,869","2,976","4,715","10,699","14,309","2,298","1,608"
2021년04월_남_0~9세,"2,938",82,135,128,269,677,"1,473",133,41
2021년04월_남_10~19세,"3,793",131,133,220,449,"1,124","1,539",123,74
2021년04월_남_20~29세,"5,001",255,183,354,616,"1,359","1,881",217,136
2021년04월_남_30~39세,"4,867",227,186,264,540,"1,183","2,041",279,147
2021년04월_남_40~49세,"6,185",280,271,381,693,"1,660","2,416",302,182
2021년04월_남_50~59세,"7,412",470,365,575,820,"2,012","2,351",483,336
2021년04월_남_60~69세,"6,366",502,324,604,830,"1,667","1,608",456,375
2021년04월_남_70~79세,"2,955",253,201,303,345,733,713,195,212
2021년04월_남_80~89세,"1,133",90,64,136,139,257,258,93,96
2021년04월_남_90~99세,115,6,7,10,14,27,27,16,8
2021년04월_남_100세 이상,6,1,0,1,0,0,2,1,1
2021년04월_여_총인구수,"41,531","2,141","1,831","3,110","4,895","10,802","14,983","2,272","1,497"
2021년04월_여_연령구간인구수,"41,531","2,141","1,831","3,110","4,895","10,802","14,983","2,272","1,497"
2021년04월_여_0~9세,"2,844",82,112,98,268,687,"1,440",118,39
2021년04월_여_10~19세,"3,531",103,116,225,391,"1,088","1,440",129,39
2021년04월_여_20~29세,"3,907",156,141,245,501,"1,034","1,560",163,107
2021년04월_여_30~39세,"4,215",167,165,188,424,"1,012","1,958",223,78
2021년04월_여_40~49세,"6,141",218,231,359,673,"1,722","2,548",254,136
2021년04월_여_50~59세,"7,594",409,348,631,907,"2,031","2,576",392,300
2021년04월_여_60~69세,"6,824",531,349,653,897,"1,666","1,888",454,386
2021년04월_여_70~79세,"3,828",283,216,402,498,895,986,296,252
2021년04월_여_80~89세,"2,144",156,129,237,277,539,490,191,125
2021년04월_여_90~99세,490,34,24,72,56,126,94,50,34
2021년04월_여_100세 이상,13,2,0,0,3,2,3,2,1
