,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2020년06월_계_총인구수,"25,826","10,931","1,284","1,535","2,585","2,729","2,298","1,491","2,973"
2020년06월_계_연령구간인구수,"25,826","10,931","1,284","1,535","2,585","2,729","2,298","1,491","2,973"
2020년06월_계_0~9세,"1,191",700,40,53,58,123,72,51,94
2020년06월_계_10~19세,"1,928","1,108",70,74,158,182,111,63,162
2020년06월_계_20~29세,"2,007","1,070",78,85,156,194,118,104,202
2020년06월_계_30~39세,"1,724",914,61,74,118,177,142,94,144
2020년06월_계_40~49세,"3,020","1,486",147,152,259,349,173,168,286
2020년06월_계_50~59세,"4,679","1,940",248,282,578,453,384,230,564
2020년06월_계_60~69세,"4,539","1,651",264,292,529,493,451,271,588
2020년06월_계_70~79세,"3,905","1,247",207,309,389,428,473,296,556
2020년06월_계_80~89세,"2,462",703,149,191,284,284,324,185,342
2020년06월_계_90~99세,350,107,20,20,53,42,48,28,32
2020년06월_계_100세 이상,21,5,0,3,3,4,2,1,3
2020년06월_남_총인구수,"12,523","5,301",642,752,"1,246","1,355","1,079",710,"1,438"
2020년06월_남_연령구간인구수,"12,523","5,301",642,752,"1,246","1,355","1,079",710,"1,438"
2020년06월_남_0~9세,589,339,21,28,32,61,36,25,47
2020년06월_남_10~19세,"1,026",603,38,32,75,102,60,39,77
2020년06월_남_20~29세,"1,061",556,43,41,91,103,58,53,116
2020년06월_남_30~39세,915,447,30,38,70,106,82,56,86
2020년06월_남_40~49세,"1,653",755,86,98,146,197,105,98,168
2020년06월_남_50~59세,"2,576","1,004",148,173,316,267,228,124,316
2020년06월_남_60~69세,"2,217",806,137,144,256,242,209,133,290
2020년06월_남_70~79세,"1,605",526,84,127,152,177,196,115,228
2020년06월_남_80~89세,801,238,54,66,93,90,96,60,104
2020년06월_남_90~99세,77,26,1,5,15,9,9,7,5
2020년06월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년06월_여_총인구수,"13,303","5,630",642,783,"1,339","1,374","1,219",781,"1,535"
2020년06월_여_연령구간인구수,"13,303","5,630",642,783,"1,339","1,374","1,219",781,"1,535"
2020년06월_여_0~9세,602,361,19,25,26,62,36,26,47
2020년06월_여_10~19세,902,505,32,42,83,80,51,24,85
2020년06월_여_20~29세,946,514,35,44,65,91,60,51,86
2020년06월_여_30~39세,809,467,31,36,48,71,60,38,58
2020년06월_여_40~49세,"1,367",731,61,54,113,152,68,70,118
2020년06월_여_50~59세,"2,103",936,100,109,262,186,156,106,248
2020년06월_여_60~69세,"2,322",845,127,148,273,251,242,138,298
2020년06월_여_70~79세,"2,300",721,123,182,237,251,277,181,328
2020년06월_여_80~89세,"1,661",465,95,125,191,194,228,125,238
2020년06월_여_90~99세,273,81,19,15,38,33,39,21,27
2020년06월_여_100세 이상,18,4,0,3,3,3,2,1,2
